Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
36,10.609171513253308,56.9353016916576,359.0812778347485,10.321092766418996,-9.457845145960363,69.59537772835735,6.345694890423428,25.12319034007326,93.13777878823831,0,0,0,0,0,0,19.992258823810655,-22.777694042079577,5.781128526087347,-118.50652097335387
37,10.844525246500998,54.93657497430348,359.9718759091303,10.127333905260965,-9.14652941203697,69.95487713320945,6.955516150301001,25.607026998092874,93.11098729568963,0,0,0,0,0,0,32.463251991319055,-22.131751253439724,2.9308900011747223,-130.21587043782952
38,11.14503405278412,52.93605761881674,359.83157655584546,9.924468738115147,-8.826079945108768,70.31069071546266,7.594603333981772,26.14737503798287,93.10378672901182,0,0,0,0,0,0,46.89270164878259,-19.395667680679612,-0.8904849340851837,-140.12106823107868
39,11.505670883878382,50.93870548544887,359.01157837085145,9.712751702856403,-8.502667109401058,70.6864059255427,8.28346855322119,26.724822448342977,93.11939831891127,0,0,0,0,0,0,61.22163224015,-14.868812963234936,-4.724529755812742,-147.7461652996481
40,11.912264083202636,48.94714600573463,357.9615431339807,9.493953372466535,-8.182235011439868,71.10336005938504,9.030371433525792,27.32329312804177,93.1548743944318,0,0,0,0,0,0,73.47402630223439,-9.076800368310977,-7.424541462477708,-153.12509420350162
41,12.34384546889174,46.96135716353872,357.12474467800104,9.271138828769843,-7.8694850262330815,71.57559363026766,9.830190297376605,27.933011290040277,93.20062468871625,0,0,0,0,0,0,82.10846297069622,-2.6664212174543103,-7.89133484540367,-156.724224564333
42,12.776119285180174,44.979036681846466,356.79961569776,9.04781602387515,-7.567078076235411,72.106301405285,10.665917909156612,28.55184276599023,93.24141935647133,0,0,0,0,0,0,86.2653807999057,3.7126580343693063,-5.325611838002613,-159.3046674114301
43,13.185341243545567,42.996821863199855,356.9896879286398,8.826805532078994,-7.275272544148464,72.68665738279502,11.5122317917161,29.185085531913373,93.25873838088921,0,0,0,0,0,0,85.86957106580815,9.509508606774329,0.5799864055829679,-161.77090497028442
44,13.551929654191284,41.01233652322492,357.28549798001234,8.60938906334345,-6.9920995300449595,73.29724240521743,12.340182901725884,29.844113328550062,93.23391820984881,0,0,0,0,0,0,81.59037267632539,14.337195495018392,9.566626070125812,-165.02388493836742
45,13.863308143807169,39.02673840097794,356.8351708781954,8.39516801087866,-6.714028814538905,73.91172475066753,13.122016995384179,30.544272696954557,93.15132698726474,0,0,0,0,0,0,74.68744191004194,17.99515237013387,20.870344698954273,-169.81642777785981
46,14.11565956850609,37.04710657591623,354.4514460543233,8.182701679377075,-6.436939413831538,74.50202130026166,13.835300549633313,31.30232229080191,93.00082563847054,0,0,0,0,0,0,66.77756096231086,20.45698803628382,33.396298057277804,-176.6177257787352
47,14.314375536742887,35.08780531031056,348.8652245701678,7.970610350796888,-6.157127403691597,75.04385123703248,14.46573082515653,32.13370673811549,92.77899413447524,0,0,0,0,0,0,59.56138211906916,21.844949769072503,45.954691403564944,-185.5166005327237
48,14.473068145781674,33.170050121488664,339.07828316871473,7.758608003798955,-5.872090851281724,75.52141404583745,15.008305336299744,33.05006410812831,92.4889567857228,0,0,0,0,0,0,54.55317602859004,22.411879140178808,57.48951878582566,-196.20208633476446
49,14.611180636509179,31.319341471473752,324.71409311965726,7.547984398486063,-5.580919319427427,75.93000873452803,15.466916679433664,34.057434052064856,92.1390567272415,0,0,0,0,0,0,52.855850949283806,22.53254075264878,67.2319564723068,-208.04112246527947
50,14.750536236444802,29.56111925776362,306.2423922748953,7.3413472799057935,-5.284247370225975,76.27587492469361,15.852785673508775,35.155540837016794,91.74097361694886,0,0,0,0,0,0,55.01521110327004,22.683420183544534,74.73924497980006,-220.23230475550207
51,14.911504899055064,27.915688804835764,284.9782179242657,7.141766883725135,-4.983858863081222,76.57334040549705,16.182300760019533,36.338231618120915,91.30796830980336,0,0,0,0,0,0,60.97412847411205,23.38592458506223,79.83317497238455,-231.97552657087127
52,15.109658461743718,26.393877458349092,262.8293748912476,6.951654774000598,-4.6821007385900435,76.8402368962503,16.474762639835124,37.59476213690454,90.85368786494101,0,0,0,0,0,0,70.13023559453298,25.108467230416416,82.50107210111187,-242.58996721617282
53,15.353681361091777,24.99476446167284,241.86210662120618,6.77172761458107,-4.381260881042107,77.09311918983656,16.750334296851854,38.911361887525246,90.39151306550863,0,0,0,0,0,0,81.4807564724031,28.153392427976037,82.83008054684245,-251.54702500655986
54,15.64491010466064,23.706170217628138,223.82619126327947,6.600327334088031,-4.08302022052544,77.3438282275597,17.028328089431437,40.27254085582795,89.93409471463399,0,0,0,0,0,0,93.81980879903658,32.57336493293284,81.00273432052916,-258.43802624200276
