Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-0.13488940976385158,106.800072436736,-26.40558725303786,-9.324365840245159,17.54332048885596,16.45786429664043,-156.02784122578333,6.824365391100637,0.6242697532989933,-19.505867481769574,3.200534821813178,-41.2967259706768,-67.34840753628167
1,-0.36599854688315475,106.67731393389376,-26.566578720486223,-9.261378562460527,17.638122417275085,17.137209959397406,-153.5037074713711,6.781303325160062,0.6597344284665313,-26.08489942862763,-2.7876556023815526,-23.741458966375475,-39.80221388983392
2,-0.5819225692589809,106.56974502551128,-26.728266113912134,-9.192383052332435,17.728546153283776,17.848680737766607,-152.36018001014688,6.742450590486994,0.6958142807975632,-31.719989234560604,-8.53630354975951,-8.96090647639277,-15.445298467880754
3,-0.7686285449089212,106.49053217776405,-26.892457789507187,-9.110907597948305,17.81125552810344,18.611332730882918,-153.85377270393244,6.712226794156187,0.7333522217692953,-35.58564440157863,-13.758863393520125,0.9585438579805073,3.319110249250087
4,-0.9157005971260818,106.45102688889506,-27.061637526698714,-9.009219364673992,17.88312097948517,19.43963810445003,-158.70975398750795,6.693940100722245,0.7728735020452235,-37.21086533738559,-18.183122772822205,5.0384899753200445,15.185142401890765
5,-1.0176011552407518,106.45907736804334,-27.236602724849345,-8.881546479117237,17.941857767385226,20.34338977437972,-167.02920705490843,6.68950448325325,0.8145532871017378,-36.55660189846729,-21.584370495103112,3.5799681908216208,20.119142027845683
6,-1.0742069405208945,106.51714940136476,-27.41338918841564,-8.728628106425102,17.986937995565977,21.327807953714153,-178.33799098088073,6.69939586757256,0.8582958234478967,-34.00463036641922,-23.826141580169924,-1.9990236695438768,19.223208129447762
7,-1.0905823758567093,106.6210838005629,-27.58087701762904,-8.561493355699655,18.020461343095487,22.393899983140354,-191.75650799930037,6.722835548950441,0.9038941924217968,-30.266355458905682,-24.891029428210462,-9.6018360840278,14.354174351877148
8,-1.0760867255759319,106.76022982353854,-27.720282269647342,-8.402579161436405,18.047586206244766,23.539179268807548,-206.24182025266703,6.758144517901256,0.9512020533004036,-26.23335800064841,-24.88677643876156,-17.03241810985318,7.617011190444811
9,-1.0429988950515798,106.91925673045895,-27.806899488897415,-8.283402365696086,18.076164273521044,24.75879757931751,-220.83577321789545,6.803195015125526,1.0002266560846906,-22.800450364495774,-24.02372719559619,-22.550534479507633,0.860370956045516
10,-1.0048779332243618,107.08136246127674,-27.813653028248805,-8.239183036323839,18.11538567343164,26.046982355964072,-234.84813878548923,6.855862574147823,1.0510671951692077,-20.69763375142449,-22.572746908773304,-25.253935021953907,-4.7108025417273
11,-0.9748776386369036,107.23205950092759,-27.715674772952074,-8.301604280220957,18.173540325122044,27.398447900073407,-247.91763579059779,6.914345508904259,1.1036830510858695,-20.367193880787994,-20.820776191239023,-25.191140283935173,-8.713458921819377
12,-0.96421834912218,107.36241227446813,-27.49510351839819,-8.491357249606027,18.255407622918373,28.809275937703596,-259.9297377585335,6.977227043718025,1.1575635417054715,-21.912217719092677,-19.039379530423535,-23.190906489328714,-11.510602114874354
13,-0.9809946532882399,107.47070496338803,-27.145255090645716,-8.812352511788417,18.36013530368276,30.27677550455244,-270.8235526223491,7.0432630191102,1.2114463282966872,-25.12360388060975,-17.471112651525793,-20.487439812742462,-13.918130018988123
14,-1.0294632531774206,107.56205401349851,-26.673162175707294,-9.24932232289723,18.48049727596796,31.79812077539501,-280.3715511202915,7.111054832795356,1.2632572288342365,-29.56983561528426,-16.326647008999675,-18.284183571582435,-16.81408000260266
15,-1.1098944659131977,107.64620346707231,-26.0994989781757,-9.769817844986026,18.60400247367512,33.368068672641286,-288.03744198925506,7.178885778493665,1.310391437595265,-34.71467674384911,-15.780093774660223,-17.399006429617636,-20.79569317064769
16,-1.2189681519969757,107.73428544273895,-25.455446335783275,-10.330407159225942,18.715634981715734,34.97655229321907,-292.99067546286017,7.244925803930548,1.350322183744078,-40.02094271761307,-15.953168813973347,-18.07545151331134,-25.977323243577228
