Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-0.20664592253753108,56.35816999082162,491.17919421084014,32.61173085078149,-10.872341216660134,51.12445841698731,-83.3300079216092,44.38394319857553,54.64219459650368,0,0,0,0,0,0,-10.890798476322528,-8.734286219044183,282.62673975630224,-73.69030105325096
1,-0.3296358022133215,53.73733630408998,505.73378416113957,32.77406072076433,-10.87795400737879,50.617777137149545,-82.79313814402089,43.94592539369059,53.74554893154426,0,0,0,0,0,0,6.620962773437139,-7.09137394409753,254.51050592743377,-25.70286072382814
2,-0.4209265844693315,51.0519461761834,521.0409453293333,32.94511598660815,-10.889111295204955,50.15756345844482,-82.25343975931315,43.44117523163016,52.81471588890265,0,0,0,0,0,0,23.810209382151815,-5.041322509284951,230.38067296208214,20.526900457281293
3,-0.45626187362728055,48.257519449516025,537.4615659849029,33.1315939772613,-10.911551924590594,49.78509842690919,-81.70913245100586,42.82377343256258,51.828017543272935,0,0,0,0,0,0,40.25148789109967,-2.2004003861754775,213.29713364311263,63.240348647945105
4,-0.4231530597579409,45.326061349947786,554.530073373046,33.33610925363908,-10.951910362564899,49.53080932008178,-81.15786690681443,42.06037327187068,50.76768424668257,0,0,0,0,0,0,55.29899580830711,1.7441225102101672,205.21529174792505,101.13068255045766
5,-0.3233712958502934,42.24983606062793,570.8678169998499,33.55645449163905,-11.017369435000685,49.41095299416695,-80.5972543848941,41.132446677582784,49.61933157877955,0,0,0,0,0,0,68.13864975720219,6.955469635509398,206.8504468851269,133.4666685991524
6,-0.17238154390197646,39.04270208115411,584.3818359167713,33.786113953347254,-11.114691146188887,49.42679141874824,-80.02628555686822,40.03680909473436,48.370827464333615,0,0,0,0,0,0,77.97015004103154,13.368079758871302,217.80422846861484,160.11114095643148
7,0.004213842350625679,35.738677275612325,592.6883789929406,34.015850754784886,-11.248929634325776,49.56636582017785,-79.44722039110985,38.78443665090222,47.011072381487054,0,0,0,0,0,0,84.2621678112852,20.644828845229046,236.8010476682515,181.46203534154753
8,0.1765271621104408,32.38779266929018,593.643244072534,34.235856196040174,-11.422199801624465,49.80817229572126,-78.86718475790427,37.397652093933694,45.52959046398689,0,0,0,0,0,0,86.98765885895884,28.197717174740063,261.8885729375238,198.35249529614293
9,0.3172834553216912,29.04974012696231,585.8454512525586,34.43778439477805,-11.632817876892576,50.125466686920696,-78.29861175902731,35.90583069635152,43.9177765262953,0,0,0,0,0,0,86.7398802489836,35.28045634300257,290.5536760807199,211.93585969657687
10,0.4081404637350594,25.78619105017776,568.9969624601637,34.61607819372533,-11.875033221393046,50.4899310499005,-77.7578957744573,34.33996273357439,42.171980926575586,0,0,0,0,0,0,84.66086708273413,41.13949640386056,319.8246802037824,223.56087359572922
11,0.4438012869189619,22.652918949211227,544.0324347686819,34.76829849338381,-12.139465981018306,50.874018288099826,-77.26220776749757,32.72676687076965,40.29755087372748,0,0,0,0,0,0,82.18059382044181,45.186621348034386,346.491025509929,234.62476444353803
12,0.43280999235382106,19.693000959269845,512.9754576881578,34.89457416441203,-12.414231633304261,51.252105817842036,-76.82522284836749,31.083503089732815,38.31203681445849,0,0,0,0,0,0,80.64556707698142,47.14114503740248,367.52445353572745,246.39058810550665
13,0.39489445715232685,16.932343300313196,478.53867634005337,34.996619585385346,-12.686572548175777,51.601167172158625,-76.45315965404515,29.414881111381465,36.24563687210723,0,0,0,0,0,0,80.97258590798505,47.09542385968837,380.64853799491857,259.7771158567811
14,0.35580835295307683,14.378440966886723,443.56046634631764,35.0768702532022,-12.944680679803264,51.90170340225014,-76.14257576283815,27.713144319322968,34.13787864880542,0,0,0,0,0,0,83.46103179514523,45.484528671405705,384.85943466270106,275.1602885285352
15,0.3413625561470901,12.022589191522894,410.4294020470719,35.138111862116844,-13.179343852800734,52.13918170389707,-75.88066919045866,25.961509521669033,32.031186303064516,0,0,0,0,0,0,87.82729688319417,42.975676139073315,380.65484270682686,292.23779456192347
16,0.37239300375177553,9.84490184405296,380.65129540685354,35.183622143568314,-13.385099892390382,52.30554867186054,-75.64777878682942,24.140090847859785,29.963476888262743,0,0,0,0,0,0,93.421715068719,40.31732662476531,369.83044471655637,309.99593688247995
17,0.4617974584078247,7.820825583916813,354.6552989583296,35.21751634581851,-13.560711577970112,52.39998564868051,-75.42097776388327,22.23272847297422,27.962401249313153,0,0,0,0,0,0,99.50988893532909,38.191696107441466,354.9006725791521,326.80389955487846
18,0.6138459698907823,5.927636501764693,331.85074710605863,35.24487463203773,-13.708934227640619,52.42823648031414,-75.17749790140643,20.232928540675996,26.043039941782204,0,0,0,0,0,0,105.48891432880224,37.10163221420761,338.3700561454132,340.659545208859
