Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-1.70608359129549,53.790996715681054,441.0876221851278,31.607775658388313,-11.247223445481138,47.113073316947265,-77.55569089230652,36.6805223199443,55.17809258906493,0,0,0,0,0,0,-6.027454592393838,-6.184436621202451,192.58805178126858,189.25052857632443
1,-1.5845103022015974,50.971398996690795,482.05314590552666,31.974613138400834,-11.419209838246251,47.30854055243869,-77.0454845415808,35.74415181075244,54.19778955756868,0,0,0,0,0,0,20.353780616059105,-6.111927359673926,195.79040484449249,177.82158772631323
2,-1.4390405304116565,48.10097481485505,519.839730576494,32.31900669237583,-11.582609679569739,47.49060241497837,-76.54385058598952,34.77881106656761,53.178922664677295,0,0,0,0,0,0,44.9787293228636,-5.570119013956084,200.93289452006562,168.57764742639256
3,-1.25259259086252,45.15017595804937,551.6777770889979,32.6209705942876,-11.730726227459417,47.65092207649513,-76.06060097821577,33.7627086766986,52.093637019884696,0,0,0,0,0,0,66.1783055447667,-4.179693160911304,209.63734819474428,163.1937231150231
4,-1.018545300716417,42.10605261639747,575.4640559158561,32.86629763916801,-11.861102591448017,47.787398098478334,-75.60436888189635,32.6811046625924,50.9160813446547,0,0,0,0,0,0,82.7116130424258,-1.6744770408479028,223.0845157172622,162.68023289022096
5,-0.7421456160386287,38.974058801407644,589.9630336003094,33.04847280079771,-11.976139636355638,47.9054598732644,-75.18240102058314,31.526907696193472,49.62240770395405,0,0,0,0,0,0,93.91830355474467,2.022848450822878,241.77172854956953,167.29195790455935
6,-0.43876870019485725,35.77642558598086,594.8671760342143,33.16926545318825,-12.082300185352826,48.01729853157379,-74.80057447040934,30.299734987044857,48.19196968581383,0,0,0,0,0,0,99.78568779738795,6.741208946689129,265.3209453715807,176.6171320907233
7,-0.12970830484523288,32.54790188741465,590.7085338561379,33.23783957045074,-12.188090878019876,48.13890611022443,-74.46343880494322,29.003953163630925,46.60977075435739,0,0,0,0,0,0,100.91071597794647,12.059602920337367,292.415656258796,189.73613828544592
8,0.16316631583824887,29.330124267627973,578.6570452690171,33.26860695940499,-12.301410008301668,48.285588870377154,-74.17418087177941,27.646653837843864,44.869529285139436,0,0,0,0,0,0,98.35757611355659,17.37985008134585,320.9379298236308,205.35934698774219
9,0.4223641245584629,26.165870167825602,560.2708774960889,33.27839360646087,-12.427084310511727,48.4673271346644,-73.93451438698018,26.236462755615918,42.976224237366395,0,0,0,0,0,0,93.44249312006302,22.060332977941968,348.3106210899835,221.92210797850296
