,Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
76,76,3.4660387442944254,90.07366493192525,2.222298212662366,-25.49985794828429,38.43701641934196,38.45208099632718,263.7379980540931,23.16888325600103,-15.059887982998655,68.83819582582984,4.683389584144404,244.7730748955873,-5.756443881757087
77,77,3.5779992023945906,89.61782716372561,2.0898551403260406,-25.326177534319047,38.474614803681895,37.96534854492633,261.8449069408151,23.244296529154894,-15.072538161058947,69.27146493080205,5.000789617884977,247.48579955027128,-5.238253953229434
78,78,3.689931481481481,89.15699814814816,1.9534462962962962,-25.148664814814815,38.51380555555556,37.48221481481482,259.8467851851852,23.319507407407407,-15.085201851851853,69.67541666666668,5.398442592592594,250.16182962962964,-4.771624074074078
79,79,3.801622726991286,88.69124495370725,1.8129491769381272,-24.96704196554336,38.5546451694138,37.0028841619484,257.74522833657494,23.39448026411206,-15.097963511395266,70.04771746614496,5.8730699980094005,252.80194527960506,-4.354491382880714
80,80,3.912853012129568,88.22063990919196,1.6682172306068612,-24.78101105555788,38.5971683390116,36.52754344820646,255.54232533184398,23.469187324417614,-15.110906931051623,70.38638873915914,6.419900155278082,255.40741544331627,-3.98316009619506
81,81,4.023407407407408,87.7452462962963,1.5190888888888892,-24.590281481481483,38.641407407407414,36.05637222222222,253.24054444444448,23.54361111111111,-15.124105555555557,70.6898925925926,7.033016666666668,257.9797944444445,-3.652737037037036
82,82,4.133085537835969,87.26511798650554,1.365395202743012,-24.394575591270588,38.687395719255036,35.58954905421508,250.8426916620711,23.617737698083562,-15.137620449511703,70.95721996220203,7.705520429139454,260.52082349076244,-3.3573745046359686
83,83,4.241717933125823,86.78031263492058,1.2069723021617749,-24.193617984231924,38.73515792327606,35.12725904409295,248.35188961172148,23.69153534053807,-15.151504072566361,71.18808852853707,8.429705765884771,263.03231706767906,-3.090621275531557
84,84,4.349140740740741,86.29088703703704,1.043648148148148,-23.98713888888889,38.78471481481482,34.669674074074074,245.77148703703702,23.76498888888889,-15.165811111111111,71.38293148148148,9.19741111111111,265.5160777777778,-2.8459203703703686
85,85,4.455198053741072,85.79689217972931,0.875244223878312,-23.77488092129826,38.83608125132258,34.21695033368808,243.1050285263837,23.83809826351591,-15.180588968325443,71.5429353928862,10.000217587446329,267.97385272687046,-2.6169263047937794
86,86,4.559774046144971,85.29836407160253,0.7015937650900897,-23.5566153464599,38.88925541264183,33.76924064508933,240.35624569316101,23.910839679054945,-15.195839796811537,71.67017295116887,10.829740443651886,270.4072756303904,-2.3980349491754036
87,87,4.662766666666667,84.79534814814815,0.5225222222222217,-23.33211851851852,38.944242592592595,33.32669444444445,237.52898148148148,23.9831962962963,-15.211575925925926,71.76746481481483,11.677877777777779,272.8178425925926,-2.184749999999998
88,88,4.764087077364828,84.28789728965002,0.33785397270560413,-23.101177471514035,39.001054487875635,32.88945630328905,234.6271668293861,24.055164465761933,-15.22782538139292,71.83833280843801,12.536978127070798,275.20690480888084,-1.9739578914206959
89,89,4.863684556525148,83.77604198068327,0.14745254901718516,-22.86362958225597,39.05968369733085,32.457661839009454,231.65482142312194,24.12674067377561,-15.24459245179372,71.88698806903398,13.400134587902778,277.575666174795,-1.764450248863737
90,90,4.961522222222222,83.25981666666668,-0.04880555555555569,-22.619314814814818,39.120125925925926,32.031437037037044,228.6160240740741,24.197916666666668,-15.26186666666667,71.91812777777778,14.261272222222225,279.9251592592593,-1.5569814814814822
91,91,5.057575624702592,82.73926219361483,-0.2510368227351126,-22.3680759021204,39.182383636549375,31.610900326624726,225.51488952672221,24.268679497205962,-15.279628922615736,71.93682145611002,15.11523428482329,282.2562279033592,-1.354394531748915
92,92,5.151852817909436,82.21440657977402,-0.4593397660922901,-22.109806898402162,39.24645448442066,31.19616899679062,222.3555262470076,24.33901631073096,-15.297859878094787,71.94834814973771,15.957974651184502,284.56949430096415,-1.1619692893750895
93,93,5.244374074074074,81.68528333333333,-0.6737611111111116,-21.84441851851852,39.31233888888889,30.7873462962963,219.14205555555557,24.40892222222222,-15.31653888888889,71.958,16.78647037037037,286.8653092592592,-0.9871555555555545
94,94,5.335167553245089,81.15193027966791,-0.8943005609560245,-21.57183124870641,39.380045230399894,30.384520697440525,215.8785983417061,24.478394722830622,-15.335645241674493,71.97094679520912,17.59871379461154,289.14369475447126,-0.8394964858487481
95,95,5.4242769106678566,80.61436810597444,-1.1209564622379138,-21.29199079509988,39.44959678003155,29.98777702415239,212.56921242730172,24.54740989867997,-15.355162713961219,71.99199494361747,18.3937736288174,291.40421021154197,-0.7306495691913762
96,96,5.511761111111111,80.0726314814815,-1.3536685185185187,-21.004872222222225,39.521003703703705,29.597201851851853,209.21789444444443,24.615953703703706,-15.375062962962964,72.02547222222222,19.171564814814815,293.645912962963,-0.6739074074074073
97,97,5.597687884789019,79.52676940349173,-1.5923132803063007,-20.710472210770675,39.594267421696536,29.21287880654126,205.82856407472124,24.684021519542103,-15.395309536272999,72.0751231144034,19.93276460105522,295.86728693084365,-0.683952703604032
98,98,5.682114329245747,78.97681521662508,-1.836747893167163,-20.408782614340392,39.66942142367517,28.83486962940861,202.4050089149139,24.751585508099907,-15.415886087183914,72.1438849017846,20.678770144028526,298.06605243291284,-0.7765437465194972
99,99,5.7651,78.42280925925927,-2.086777777777778,-20.099818518518518,39.74650555555556,28.463229629629634,198.950862962963,24.81861851851852,-15.436770370370372,72.2338888888889,21.41143333333334,300.2391666666667,-0.9679370370370369
100,100,5.846709061510347,77.86480378348205,-2.342155116418612,-19.78362154021741,39.82555381738447,28.098011743656873,195.4695709952004,24.885097908783422,-15.457934288095316,72.34642660067696,22.132935064605924,302.38279847761316,-1.2745443824403506
101,101,5.92700271111829,77.30285473473295,-2.6026071148046896,-19.460240977133438,39.90658497583791,27.73926315107988,191.96429537189084,24.95099249592591,-15.479370147217171,72.48183682265645,22.845646179077132,304.4922447683057,-1.7123974499828154
102,102,6.0060314814814815,76.73702962962963,-2.867807407407407,-19.129735185185183,39.98963148148149,27.38702962962963,188.43790555555555,25.01627037037037,-15.501064814814814,72.6396037037037,23.55195185185185,306.5620333333333,-2.296640740740741
103,103,6.0838373302652755,76.16740914824705,-3.1373763879630414,-18.792170093013738,40.07474095995741,27.04135179121178,184.89293904875575,25.080900712342018,-15.522996903097045,72.81839037875005,24.25415229794065,308.58598770910015,-3.0411855229888647
104,104,6.160466630525521,75.59408406003355,-3.410912139338549,-18.447613013401455,40.1619520514985,26.702250082417436,181.33148390472576,25.144850587126136,-15.545154958767265,73.01604947685945,24.954315526288617,310.55733605176096,-3.9580942843784723
105,105,6.235950000000001,75.01715925925926,-3.6879907407407413,-18.09614814814815,40.25130555555556,26.369753703703704,177.75515185185188,25.208074074074077,-15.567537037037038,73.22980555555556,25.654164814814816,312.4689777777778,-5.057298148148151
106,106,6.310303617073197,74.43675248127691,-3.968164726586622,-17.73787608570603,40.34284403902888,26.043899821648225,174.16504111947864,25.270517962495926,-15.590144165962922,73.45633328344255,26.35502749065101,314.3136529065792,-6.346340113615093
107,107,6.383552887158056,73.85298698913854,-4.250959543753906,-17.372896766042434,40.436599300696464,25.724702954753152,170.56164218864504,25.33214891999898,-15.612962101313236,73.69182979027546,27.057779007893444,316.0842260057291,-7.829827469587372
108,108,6.455705555555556,73.26601111111111,-4.5358777777777775,-17.001316666666668,40.532612962962965,25.412187037037043,166.9448555555556,25.392922222222225,-15.635983333333334,73.93221481481481,27.76281851851852,317.77400555555556,-9.509500000000006
109,109,6.526751580364409,72.67599294216723,-4.8224074248532265,-16.623254777652527,40.6309355315771,25.106387481410593,163.31397455261413,25.45277956918525,-15.65921113231799,74.1732303219557,28.470053010130957,319.37695991030535,-11.384147946909147
110,110,6.596689976244192,72.08308529682233,-5.110042666631769,-16.238852959477967,40.73160331600234,24.807325097569763,159.66761469240936,25.511674210555004,-15.682649096106385,74.41056175709313,29.178872614397914,320.88809524380923,-13.44927965884326
111,111,6.665512962962963,71.4874574074074,-5.398266666666666,-15.848266666666666,40.83466111111111,24.515025925925926,156.00382962962962,25.56955925925926,-15.706294444444445,74.63996296296297,29.88822037037037,322.30361111111114,-15.697518518518518
112,112,6.733205613652643,70.88929884623828,-5.686555888025198,-15.451667893336012,40.940161496328834,24.229526221255014,152.32014596416906,25.626383797592645,-15.73013864122138,74.8573364228396,30.596620000976507,323.62102918474494,-18.11872517603471
113,113,6.799760895486941,70.288798112876,-5.974410628597015,-15.049263253754667,41.04814047038694,23.950867066916203,148.61356110453687,25.682093937236047,-15.754175724285847,75.05886629050964,31.302195206845994,324.8394498630176,-20.69999632760654
114,114,6.86515925925926,69.68613333333334,-6.26132962962963,-14.641274074074076,41.15865185185186,23.679094444444445,144.88071666666667,25.736642592592595,-15.778405555555556,75.2410351851852,32.002737037037036,325.95935925925926,-23.426268518518523
115,115,6.9293715238041225,69.08147705057328,-6.546808478007044,-14.227942025347943,41.27176444308955,23.41425945155054,141.11797985110303,25.78998708133669,-15.802828061516559,75.40066745788067,32.69574483618745,326.9825381822965,-26.280609112912558
116,116,6.992388212150449,68.47501825600658,-6.830361346346449,-13.809565857833551,41.387519579428336,23.15641891470282,137.32153075738884,25.842072803753666,-15.827423526748657,75.53505149522688,33.37849073412074,327.91195709083587,-29.244553426962224
117,117,7.054201851851851,67.86693333333334,-7.1115203703703695,-13.386464814814815,41.505974074074075,22.905640740740736,133.4874851851852,25.892853703703704,-15.85217962962963,75.64188148148148,34.04807592592593,328.7512425925926,-32.29872962962963
118,118,7.114802166792982,67.25737951885198,-7.389830911069276,-12.958977731768332,41.62720017194529,22.662001985226134,129.61196701300113,25.94229713810308,-15.877089748131096,75.71925558694089,34.70146477011966,329.50431366644546,-35.42322160913063
119,119,7.174180178871758,66.64650493349313,-7.664839578278005,-12.527496684584442,41.7512424893465,22.42557798583685,125.69121504074512,25.990377029992956,-15.9021212084944,75.76573118587669,35.33554029718189,330.1747394635552,-38.59811763066055
120,120,7.2323314814814825,66.03445925925926,-7.936122222222223,-12.092427777777779,41.87816111111111,22.19645370370371,121.72155370370372,26.03705370370371,-15.927248148148148,75.78026111111113,35.9471462962963,330.76507962962967,-41.803953703703705
121,121,7.2892568222715575,65.42139396369708,-8.20328339904788,-11.654188812001212,42.0080310368468,21.97472609195817,117.69937904421806,26.08228190560431,-15.95245221204441,75.76217331073198,36.53311276853296,331.2763608982815,-45.02202921738572
122,122,7.344961109612461,64.80745341920702,-8.465927523208206,-11.213241155703793,42.14089673918671,21.760499430222836,113.62114298176628,26.12605397005711,-15.977691430581691,75.7111709781028,37.09029791202248,331.70704409578116,-48.23498503465918
123,123,7.399459259259259,64.19278888888888,-8.723688888888889,-10.770055555555555,42.27680185185185,21.55387962962963,109.48322407407407,26.168359259259258,-16.00292222222222,75.62728148148148,37.615625925925926,332.0525425925926,-51.42694814814814
124,124,7.452771602896348,63.57756436796919,-8.976234960923396,-10.325100684259725,42.415791888491704,21.35497585362867,105.28183651963337,26.2091769066125,-16.028104252040762,75.51082796495305,38.106105278779395,332.3047714197841,-54.583694155805375
125,125,7.504904916745219,62.961960768052755,-9.223246295333707,-9.878842252470376,42.55789162607129,21.163910745101845,101.01286955720717,26.2484956289959,-16.053192015808392,75.36238994240495,38.55885132161284,332.45116957834205,-57.69303218241392
126,126,7.55588148148148,62.346181481481466,-9.464437037037035,-9.431729629629627,42.703118518518515,20.980812962962958,96.67180555555552,26.286314814814812,-16.078129629629625,75.1827722222222,38.97111296296295,332.47474074074063,-60.74466666666666
127,127,7.605741708812313,61.73046315494952,-9.69955927747369,-8.984190383547034,42.8514823567696,20.805817751847258,92.2536573335285,26.322641906312246,-16.102853955758064,74.97298431658058,39.340290626834104,332.3539400075028,-63.730180527676374
128,128,7.654522745396755,61.115103574958184,-9.928396125867016,-8.536625481762139,43.00297045653842,20.639076241257904,87.75285297276898,26.357484218601584,-16.12730865630512,74.73420344190383,39.66396791566026,332.0622709475097,-66.64312121186586
129,129,7.702264814814815,60.50045,-10.15077962962963,-8.089387037037037,43.15756296296296,20.480746296296296,83.16338518518518,26.3908537037037,-16.15143148148148,74.46773703703704,39.93993333333333,331.56910740740744,-69.47862962962962
130,130,7.749011977540504,59.88689929377935,-10.366588133584813,-7.642771475522163,43.3152286645817,20.330993385538825,78.47892355717244,26.42276828656007,-16.17515256890136,74.17499444248368,40.16619065739187,330.8401085069288,-72.23326478173274
131,131,7.794807757492499,59.27491218945508,-10.575721551852569,-7.197019636232425,43.47589771471225,20.190002448695324,73.69303070353324,26.453250783964062,-16.198402629253465,73.85743348430348,40.34097288583388,329.837748172391,-74.90480737630138
132,132,7.839707407407406,58.665033333333334,-10.77814074074074,-6.752305555555556,43.639501851851854,20.057968518518518,68.79957407407407,26.482325925925924,-16.221116666666667,73.51655185185184,40.46277962962963,328.5228129629629,-77.49179074074073
133,133,7.883776594038708,58.05788896070527,-10.973871712055255,-6.308731330004777,43.805976491955924,19.935095132664856,63.793066225460414,26.510020827065222,-16.24323447799687,73.15386400987843,40.5303880416728,326.8553370456065,-79.99322429038153
134,134,7.927075502845293,57.45416131609622,-11.162979056859061,-5.866322745107801,43.97522697330131,19.8215988498045,58.66935479164916,26.536368937965236,-16.264698523613745,72.770834131212,40.542851731555864,324.7961342615751,-82.40816861328021
135,135,7.969674074074073,56.854612962962946,-11.345581481481481,-5.42504074074074,44.147153703703694,19.717699999999994,53.42616666666667,26.561399999999995,-16.285446296296293,72.36885740740739,40.49953148148147,322.30841296296285,-84.73534444444444
136,136,8.011650942567938,56.26008264443444,-11.521854175380819,-4.984781616423881,44.32165930099046,19.623622079450847,48.06358343466282,26.585139273148634,-16.305412976278422,71.94924881515568,40.40010509475152,319.35893132497756,-86.97286815055031
