,Time,Hip/Shoulder Separation,Shoulder Abduction,Shoulder Horizontal Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Arm Angular Velocity
0,0,0.8338880952380953,82.65494523809525,104.32653333333334,117.28848571428573,-6.375961904761906,21.511000000000003,3.527583333333334,19.41916904761905,-26.989173809523816,-19.295057142857143,21.788083333333336
1,1,0.8265052630319859,82.63779145688537,104.33510833451618,117.31023419556918,-6.379283263409147,21.526984427512545,3.532435881258147,19.41825197378702,-26.963580058415367,-19.54610136593435,21.75414750441697
2,2,0.8193476475990797,82.62038498361044,104.34344979072648,117.33195931404723,-6.3828422539425995,21.542827771541667,3.5373381476652614,19.417323083329578,-26.93699884444626,-19.794762348582342,21.73616941727895
3,3,0.8124105852187359,82.60273621684281,104.3515689595828,117.35367594701228,-6.386641288426272,21.55854048368966,3.5422906316226705,19.41637930309853,-26.909755286189927,-20.039219754256848,21.734725692883256
4,4,0.8056894121703133,82.58485555515473,104.3594770987035,117.37539897175652,-6.390682778924166,21.574133015558786,3.547293832198362,19.41541755994565,-26.882174502219733,-20.27765324641357,21.75039295219383
5,5,0.7991794647331703,82.56675339711848,104.36718546570707,117.39714326557231,-6.39496913750029,21.589615818751334,3.552348248460328,19.414434780722736,-26.854581611109086,-20.50824248850823,21.783747816174646
6,6,0.792875952240721,82.54844019388584,104.3747054124031,117.41892385275693,-6.399502622974226,21.604999383041118,3.5574544136816804,19.41342791826833,-26.82730197781429,-20.729171286558774,21.835342624554023
7,7,0.7867702339939207,82.52992799124645,104.38205114724153,117.4407602159946,-6.404280846549641,21.620295355873264,3.562613898512764,19.412394713550455,-26.800668439622893,-20.938749082728144,21.90499331271074
8,8,0.7808492182515577,82.51123067855882,104.38924018124871,117.46267699233316,-6.409296046297734,21.63551672308259,3.5678294729210345,19.41133381869764,-26.77502247262274,-21.135430567767354,21.991664455199057
9,9,0.7750993371585128,82.49236278879538,104.39629071520928,117.48469824045766,-6.414540287841006,21.65067685259903,3.573103742311671,19.41024381617263,-26.750704452406325,-21.317693265750627,22.094227586394556
10,10,0.7695043703530525,82.47334514311804,104.4032268297304,117.50683795782297,-6.420007111512369,21.665792687520412,3.578436622423434,19.40912188854221,-26.7280363671647,-21.484186080935707,22.211023955947706
11,11,0.7640463861788537,82.45420261958519,104.4100763988531,117.5291036507679,-6.425691009070813,21.680883477504477,3.583826293726425,19.407964315214453,-26.70732834224926,-21.633668485440644,22.340052694331476
12,12,0.7587073266399644,82.4349595297157,104.4168661797303,117.55150295980162,-6.431584482802056,21.69596887820814,3.5892707993557362,19.406767826307494,-26.68887961341638,-21.764952164581647,22.479246482289483
13,13,0.7534685863796502,82.41563663648773,104.42361632595757,117.57404488158355,-6.4376688137583775,21.711070602025288,3.5947675757946533,19.40553175820914,-26.672929587830108,-21.877130661482152,22.626198074229535
14,14,0.7483113695941026,82.39625347109128,104.43034469790258,117.59673888177255,-6.443921383362878,21.726211075723857,3.600313848869562,19.404256353632288,-26.65969684636246,-21.969395638712346,22.778382024763324
15,15,0.7432167205358777,82.37683139666717,104.43707160274501,117.61959197836268,-6.450320928719544,21.741412091147815,3.605907085173657,19.402942126230442,-26.649372815794827,-22.041071601213545,22.933246423512085
16,16,0.7381652239282614,82.35739704953609,104.44382439256361,117.64260414726293,-6.456850097822894,21.756693611713487,3.6115454444763966,19.401590366402615,-26.642070874072136,-22.091864892818084,23.088163574683993
17,17,0.7331373760536726,82.33797799527194,104.45063163554366,117.6657740623534,-6.463492167100632,21.772075307166567,3.617227161210695,19.400202494773865,-26.637889558958154,-22.121554340597886,23.24049351028387
18,18,0.7281132940511233,82.31860101289388,104.45751932723476,117.68909778461884,-6.470226184396698,21.787578832353727,3.6229475170254375,19.398779416868035,-26.636873877016313,-22.13017349349421,23.38767254019752
19,19,0.723072507387345,82.29929166226087,104.46450947560085,117.71256732505583,-6.477024643250185,21.80322891902808,3.628697216754241,19.39732123980204,-26.638985861449452,-22.11815071934571,23.527255205026254
20,20,0.7179946510930739,82.28007516343389,104.47162366081358,117.73617422187519,-6.483859617399058,21.819050259283177,3.63446659549314,19.395828127105077,-26.64417599235741,-22.085968176170486,23.656822646385223
21,21,0.7128621628017215,82.26097251911558,104.47888194117724,117.75990778006376,-6.4907057658494125,21.83506208170586,3.640246418592821,19.39430248796585,-26.652315480816014,-22.03446396102152,23.77425096855398
22,22,0.7076599043230755,82.24200108410655,104.48630305862144,117.78375537292911,-6.497539983795155,21.851278889095767,3.646027823562745,19.39274867400848,-26.663206972314768,-21.96478404869985,23.877671410630114
23,23,0.7023729612063873,82.22317791105627,104.4939053575204,117.80770356312203,-6.504339077487124,21.867714812561154,3.6518019041771197,19.391171143618028,-26.67663983002416,-21.878126087001743,23.965301635942026
24,24,0.6969875610783016,82.20451860825942,104.50170436968979,117.8317329811333,-6.511078561251916,21.88438226884182,3.657559309425161,19.38957469439766,-26.692315887553853,-21.776017474138524,24.035978853015305
25,25,0.6914904761904761,82.18603809523812,104.50971428571431,117.85582142857145,-6.517733333333335,21.90129285714286,3.663290476190477,19.387964285714286,-26.709895238095243,-21.66014285714286,24.088835714285715
26,26,0.6858699038441142,82.16774987116673,104.51794823860816,117.87994821112224,-6.5242794978137075,21.91845633854874,3.668984954467769,19.386345007207005,-26.729018422601307,-21.53223599688425,24.12319188326283
27,27,0.6801197281221263,82.14966177079665,104.52641516414384,117.90409872046803,-6.53069799730629,21.935875141800903,3.674628751921223,19.384722465618708,-26.749248801318792,-21.39422323585954,24.139107789687575
28,28,0.674235267061395,82.1317801926239,104.53512293727515,117.92825985211991,-6.536970993267813,21.95354985296882,3.680206994240546,19.383102398830662,-26.770130282860702,-21.248079071668535,24.136830938297017
29,29,0.668213829180108,82.11410826337031,104.54407756430837,117.95241563239126,-6.543082142750563,21.97147950156462,3.6857053929893207,19.381490847136796,-26.791181371104553,-21.09577957632099,24.116914657124216
30,30,0.6620568970311477,82.0966422488544,104.5532811329999,117.97654407089357,-6.549018239067236,21.989659853003207,3.69111088830728,19.379894484989602,-26.811867296256143,-20.939304123360564,24.080553584947594
31,31,0.655766507799646,82.07937751064334,104.56273515194145,118.00062263694798,-6.5547665863781575,22.008086085721875,3.6964105958337337,19.378320073765263,-26.831646454335118,-20.780629700942956,24.0290374476268
32,32,0.6493455796152487,82.06230818681561,104.57243852909774,118.0246353907594,-6.5603180049870184,22.02674804132479,3.7015922620332162,19.37677458931586,-26.849973417459875,-20.621648344816883,23.96409071449023
33,33,0.6427980490720506,82.04542700096802,104.58238716583512,118.04857401228706,-6.565667380228784,22.04562939147608,3.706644362670518,19.375265255450135,-26.866298336917026,-20.464153876820014,23.88794046400788
34,34,0.6361284371228797,82.02872620541169,104.59257675032579,118.07243061779926,-6.570809984898482,22.064713235025035,3.7115554308866363,19.373799361519087,-26.88007437816004,-20.309918781172957,23.802879542503995
35,35,0.6293473983738385,82.01219348972393,104.6030024393117,118.09619746140855,-6.5757429636621145,22.083980007255793,3.7163141945551996,19.37238479823573,-26.890792609086507,-20.160531091713793,23.71163987795195
36,36,0.622469544626691,81.99581359978286,104.61365904667653,118.11986688615913,-6.5804646688443755,22.103408425023343,3.720909507183784,19.37102984428855,-26.89796855078376,-20.017459842033798,23.61723667680844
37,37,0.615509389820659,81.97957129758457,104.62454101766586,118.14343305249187,-6.584974685579939,22.12297677776281,3.7253307573572023,19.369742549856074,-26.901136676733387,-19.8821298325688,23.52271646949427
38,38,0.608480531230357,81.9634517098511,104.6356407667103,118.1669002821654,-6.589279384813811,22.142661123458083,3.729570316076756,19.368529650259493,-26.899935231842214,-19.75572944631584,23.431274646995828
39,39,0.6013962485802804,81.94744008835961,104.64695000361091,118.19027643015094,-6.593387497136599,22.162436743337796,3.733621591949977,19.367397423637872,-26.89403858622832,-19.63936479354459,23.346158266139486
40,40,0.5942709395956087,81.93151995223673,104.6584618027706,118.21357004380613,-6.597308352607992,22.182277917141107,3.7374787785643573,19.366352068061445,-26.88317064748784,-19.534058608259617,23.270530134898586
41,41,0.5871222188575642,81.91566983626305,104.67017316591645,118.23679165193967,-6.601052998851007,22.202156046057077,3.7411383245125727,19.365399552602064,-26.86719771388269,-19.44059402950351,23.207310569454688
42,42,0.5799682784020959,81.89986740847121,104.68208177880065,118.25995221797942,-6.60463281396461,22.22204204765058,3.744597104035465,19.36454579351706,-26.84601290294758,-19.359709666177153,23.15937106138137
43,43,0.5728274647675917,81.88409177672723,104.69418425788824,118.28306753636541,-6.608060588008756,22.24190868732532,3.7478533509411482,19.363795993630077,-26.81959170280591,-19.292041378792955,23.129253747181593
44,44,0.5657183639712224,81.86832428063902,104.70647556224925,118.30616088960655,-6.611351299582942,22.261731594635226,3.7509074063670083,19.36315424994255,-26.788037275993567,-19.23806576786125,23.118990262998892
45,45,0.558659527926394,81.85254630105678,104.71895072420268,118.32925613160475,-6.614520195296581,22.281486524592815,3.753759960434912,19.36262450880392,-26.751469732263157,-19.198240071533775,23.13053292559284
46,46,0.5516685264986815,81.8367365128278,104.73160865047733,118.35237581039785,-6.6175839534031,22.301147061456263,3.756414713975847,19.362209719733933,-26.710116255560802,-19.172919873442996,23.165198454438787
47,47,0.5447620801085441,81.8208712501791,104.74445159906288,118.37554134448614,-6.620560490489729,22.320684911839287,3.7588779720036936,19.361911970021303,-26.664296646147033,-19.16237282878026,23.223753794355847
48,48,0.537956769420823,81.80492733577995,104.75748188666827,118.39877446561293,-6.623467896370438,22.34007270868832,3.761156557834685,19.361733295048687,-26.614344670526084,-19.16684855532395,23.306849570356423
49,49,0.5312682876392326,81.78888608426911,104.77070141877509,118.42209968897991,-6.62632531230363,22.35929093327598,3.763260729053555,19.36167554375972,-26.560680758382574,-19.186476448142052,23.414356594909343
50,50,0.524711904761905,81.77273095238095,104.78411190476189,118.44554285714284,-6.629152380952381,22.37832380952381,3.7652023809523807,19.361740476190477,-26.503766666666664,-19.221328571428568,23.54577380952381
51,51,0.5183024909426195,81.75644459094717,104.79771478977548,118.46912970929972,-6.631969156962594,22.397155441924127,3.7669928746711707,19.361928597874485,-26.444081595135085,-19.271414630358322,23.70040607553086
52,52,0.5120533273831319,81.74000637442,104.81151046686671,118.49288553851933,-6.634797330559743,22.415769365054732,3.768641394397875,19.362235398525474,-26.382173496701263,-19.336496306337434,23.876791094342522
53,53,0.5059772888334553,81.7233948723859,104.82549907393951,118.51683549867836,-6.637658992017971,22.43414899201003,3.7701565963242936,19.36265512316921,-26.3186075775385,-19.416272123265898,24.073272741211074
54,54,0.500085753963108,81.70659096489359,104.83968202795194,118.54100025239693,-6.640574795207549,22.45228114499081,3.7715497739162656,19.36318352156477,-26.253959593442833,-19.510253619850356,24.28786426666984
55,55,0.49438696416426664,81.6895803770256,104.85406342803552,118.56539104414038,-6.643562381863127,22.47015979508604,3.772837750997189,19.36381949889349,-26.188827422744783,-19.61756022727875,24.517885601979987
56,56,0.48888868590384055,81.67234948962107,104.8686475405914,118.59001793014652,-6.646639047066915,22.487779924654724,3.7740379463907696,19.36456222971647,-26.123811574184042,-19.737250483437556,24.76055526276056
57,57,0.48359626284681656,81.65488606893057,104.88343346217914,118.61489089645768,-6.6498230754759815,22.505139885449434,3.7751647045595256,19.365407008294504,-26.059507849243055,-19.868033546276568,25.012663700527977
58,58,0.47851223764452444,81.63717948288574,104.89841431247812,118.64001984796289,-6.653133895799943,22.52224192459585,3.7762288156813253,19.366344642853445,-25.996506607320082,-20.008214653818793,25.27050647970631
