,Time,Hip/Shoulder Separation,Shoulder Abduction,Shoulder Horizontal Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Arm Angular Velocity
0,0,6.096043001544863,14.998995344505213,7.256432779119927,7.288236561365521,5.238656927577414,5.120464814028831,5.3789066256328,11.003964788191132,17.014170375968032,13.174749679209308,20.11108881729263
1,1,6.100814724369575,14.985524437067536,7.264697608896166,7.288164584999963,5.240442267857258,5.118453653333756,5.380210772230298,11.004260407508113,16.92881279957361,13.242352159508242,19.979423326750382
2,2,6.105287045012285,14.971865003829587,7.272630559339455,7.288168738263193,5.2420935616036495,5.116566487119609,5.381539085225501,11.00441951961404,16.843033998820847,13.37199984340568,19.843361511928283
3,3,6.109463300417622,14.958022249709364,7.280228012674303,7.288252518403218,5.243611657581344,5.114797144577579,5.382893248476435,11.004443214408871,16.757371344580626,13.56709763976548,19.704938512423368
4,4,6.113347136324272,14.944001523166923,7.287486869508737,7.288419427271877,5.244998169260043,5.1131395685612695,5.384275025377337,11.004332564790971,16.6723387571886,13.827587740859983,19.566936574325425
5,5,6.11694251699855,14.929808312131042,7.294404568060278,7.288672978884221,5.246255489287671,5.11158779506457,5.385686269631213,11.004088631151788,16.58842488350545,14.150026953466767,19.43280119985846
6,6,6.120253885515755,14.91544824664022,7.30097924972915,7.289016706350617,5.247386832446848,5.110135892261384,5.387128960590038,11.003712480306028,16.506095596219602,14.527960450638579,19.30655026226193
7,7,6.123290458800077,14.900927255977615,7.307213923771282,7.289453941011255,5.248396955514829,5.108776678048691,5.3886058725485935,11.00320557638914,16.425830104855965,14.952561540633063,19.19231521014331
8,8,6.126066908951957,14.88625158506946,7.313116994681643,7.289987798424173,5.249292221179457,5.107501404400552,5.3901207104903435,11.002569844828752,16.34814639888712,15.41318283380995,19.093999711094924
9,9,6.128598838561376,14.87142778655183,7.31869781003661,7.290621315701647,5.250079958774027,5.1063007696308444,5.391677383721528,11.001807202470857,16.273576497550657,15.897867583130227,19.0153454901271
10,10,6.130905899499417,14.856464689931917,7.323970059010898,7.291355751712201,5.250770768400871,5.105161499555663,5.393279813607921,11.000919120721209,16.202661111068924,16.394203189310264,18.959207759025013
