,Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,0,6.537624267818535,17.95278337618397,21.73732434690681,22.748606458985957,13.33882616270517,23.9905927420334,194.90111293787197,4.6562934945013605,8.112042135414272,40.57273642365089,34.40846950319641,119.70273899339051,60.400065575708716
1,1,6.536653890452885,18.09799346970318,21.665696202046004,22.676490339861044,13.324384374549258,24.134402904246485,192.60938679417103,4.6672825014692485,8.087994005470485,40.450706116171226,34.67998102398683,120.39646686394873,60.419217754450365
2,2,6.535046833506005,18.244318143813192,21.594518295514195,22.604757519536328,13.309673289787796,24.27714947948251,190.30727785944052,4.678568033559956,8.06414634224107,40.333672559959766,34.9536464654514,121.10590982039244,60.46886468834755
3,3,6.532712104422882,18.39179549099476,21.523798525376332,22.533391645217566,13.294688197955452,24.41860612120036,188.00078556993,4.6901187820160795,8.040461423220586,40.225563240390855,35.23162542244963,121.82587031854972,60.548776438783484
4,4,6.529560008551624,18.540456475332093,21.453537469030497,22.462361158651095,13.279430893869018,24.558555204194217,185.695981414959,4.701906893132926,8.016898765661699,40.12982292534883,35.51683094252541,122.5510392354644,60.65843874081443
5,5,6.525513524984738,18.69030392965897,21.383727270420906,22.391603549705415,13.263924502813452,24.696800918762506,183.3989336748325,4.713917109028568,7.993409164466144,40.04986364782443,35.813111754287824,123.27608046549223,60.79614152006498
6,6,6.520520013248376,18.84133531765804,21.314376420801455,22.321067987908997,13.248185817010718,24.83314851059394,181.1157080411344,4.72613928954035,7.969941785795066,39.98849340072423,36.12456959129472,123.99591023494843,60.95898735080955
7,7,6.514547441217436,18.993546480404607,21.245504300138002,22.250714025573938,13.232228258896868,24.96740276269679,178.8523382670389,4.738564429145406,7.946448051451004,39.947595607917826,36.45504324384029,124.70589721496394,61.14282050162647
8,8,6.5075623712614235,19.146918203629983,21.177097834347588,22.18046696152688,13.216098173744932,25.099384662893804,176.61475268347868,4.751177906377999,7.922885490163787,39.92804444330271,36.80762573272599,125.40208713015545,61.342285369760404
9,9,6.49955348886515,19.301410971896985,21.10916149465267,22.110260800485342,13.199825741063439,25.22891852652402,174.40876787829137,4.763981713590153,7.899210713840509,39.92948777645491,37.18417595691198,126.08141280850174,61.55108987525736
