,Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,0,6.447970214776818,18.44714942933815,21.877353593830538,22.84165589520612,13.428989363995422,23.876221919060573,197.8847663359119,4.743647111070915,8.122364306984988,41.845425633041486,35.53005847018545,121.45031134687227,56.11516137358582
1,1,6.444600881801316,18.91461485275007,21.649119360907324,22.58232093375484,13.389584836292785,24.31355545874971,190.77806915563227,4.778888061330857,8.046823705813676,41.45949915283398,36.36866384220221,123.48780293270481,55.62247292920944
2,2,6.431235902782985,19.39301791889671,21.4192026538676,22.321004574567446,13.346550932597234,24.740285316289878,183.65697922552872,4.816580872597219,7.9725181942071,41.18632267938437,37.275095559658006,125.56233593863496,55.510089299539416
3,3,6.406333433618482,19.88229867831921,21.187660337518558,22.05642283223577,13.30029968526273,25.15088664571717,176.67293510917483,4.856307375530996,7.898141173661415,41.120691320482486,38.350318004300505,127.51843159276666,55.81282928738162
4,4,6.369861303513281,20.381399740980324,20.95527257212653,21.787329159868246,13.251465164155265,25.54028050388537,169.96253955970616,4.8980651831184865,7.822472771866704,41.26186811022636,39.63489397314833,129.25338548203115,56.428467034389115
5,5,6.323408102528448,20.888165967567776,20.72359141278206,21.51312182936028,13.200547538280523,25.90324841421701,163.64938812903935,4.942215780337019,7.744684108648925,41.507717522995286,41.03586846360537,130.7733310144948,57.15681101866285
6,6,6.269732213147187,21.399649110589724,20.494893257657914,21.23433440622099,13.147602929412109,26.234215766328635,157.8720922587437,4.989399887919124,7.664587221357717,41.7277073606779,42.361428771388304,132.22249151523548,57.82061444214529
7,7,6.2120201631984155,21.91270209164557,20.2719899606962,20.95304128202756,13.092170909560682,26.52725774356611,152.83581963140972,5.040314300697155,7.582704068567183,41.86661071330212,43.453208741466796,133.8565351392551,58.36998999290912
8,8,6.153161672599458,22.424600589449586,20.058123264671377,20.672902653264813,13.033461371026693,26.776495578632137,148.85105384708524,5.095539047565158,7.500249258363869,41.99984467662636,44.3239670371186,135.938397225361,58.91549185346214
9,9,6.095277669446828,22.933428630464046,19.856768577516455,20.398609139465613,12.970733873448353,26.976743549061595,146.30660215335607,5.155447442108479,7.418724172260732,42.283625029062776,45.160492116320896,138.58062069692318,59.68334236353931
10,10,6.039680205027753,23.438005836381848,19.67149645916546,20.134889583736012,12.903839664836992,27.124252345927157,145.55416112765653,5.220224975877527,7.339530662464817,42.82156353826938,46.123144510586144,141.6210943219611,60.89664639763279
11,11,5.987090883005822,23.937531844045022,19.50556578295183,19.88553096723795,12.833348694486789,27.217251473252578,146.7541488420729,5.289854935210937,7.263470099475561,43.56714898805371,47.11017682947336,144.62717831246903,62.63492231374013
12,12,5.937639906940282,24.43091568755173,19.361715593224538,19.65272098412838,12.760554297906987,27.256240685588505,149.78431944236146,5.364285022027728,7.1903815731397,44.37178113372603,47.79974027735882,147.04127055254068,64.79920891739684
13,13,5.891005214869218,24.916322492029032,19.241889193061187,19.43704589002712,12.686943071654897,27.24381973917963,154.27776375626826,5.443486256939556,7.11902959649641,45.12286813063537,48.003601509749885,148.38210008504075,67.24954798733216
