,Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,0,-2.480258000000001,112.63210600000004,5.315030000000002,-32.21596400000001,37.98279200000001,77.64124400000003,251.1766440000001,17.694546000000006,-13.109718000000004,16.182602000000006,-8.038010000000003,100.52426200000004,-13.942564000000003
1,1,-2.3462000000000005,112.06107800000001,5.266238,-32.03246000000001,37.878478,76.22949600000001,256.986268,17.880418000000002,-13.206702000000002,20.135594000000005,-7.018706000000001,104.99171400000002,-14.630676000000001
2,2,-2.1949099999999993,111.46549799999997,5.225429999999999,-31.854763999999996,37.783646,74.78611999999998,262.536994,18.068876,-13.302123999999997,24.237405999999996,-6.144013999999999,109.35504799999998,-15.095803999999996
3,3,-2.025466,110.846028,5.191352,-31.682754,37.698366,73.31288,267.712454,18.260126,-13.395836000000001,28.288522000000004,-5.421562,113.60982600000001,-15.402862
4,4,-1.8381180000000001,110.20316000000001,5.1621820000000005,-31.515158000000007,37.622246000000004,71.812286,272.34606800000006,18.454522,-13.487756000000001,32.10454,-4.823812,117.81751400000002,-15.649078000000001
5,5,-1.6341699999999995,109.53684599999998,5.135811999999999,-31.349759999999996,37.554697999999995,70.28785599999998,276.25991999999997,18.652323999999997,-13.577763999999997,35.56249799999999,-4.319081999999997,122.09730999999996,-15.930081999999995
6,6,-1.4154540000000002,108.84625800000002,5.110092000000002,-31.184022000000006,37.49505200000001,68.74400000000001,279.3075980000001,18.853692000000002,-13.665574000000001,38.62011400000001,-3.8953080000000013,126.58423200000003,-16.302318000000003
7,7,-1.1836760000000002,108.129956,5.083158000000001,-31.015624000000003,37.442634,67.185822,281.407936,19.058472,-13.750642000000001,41.302640000000004,-3.5599519999999996,131.36763000000002,-16.761156
8,8,-0.9401060000000002,107.38622800000002,5.053408000000001,-30.842892000000006,37.396834000000005,65.618612,282.56135000000006,19.266238,-13.832058000000002,43.66722600000001,-3.3137239999999997,136.43534200000002,-17.247688000000004
9,9,-0.685664,106.61377200000001,5.019324,-30.664698,37.357136,64.04748000000001,282.847914,19.476368,-13.908814,45.763828000000004,-3.1134779999999993,141.65132000000003,-17.683268
10,10,-0.42142400000000024,105.81238400000002,4.979070000000001,-30.479712000000003,37.323164,62.47687600000001,282.41148200000003,19.688160000000003,-13.980038000000002,47.61202000000001,-2.849426,146.78390000000002,-18.013938000000003
11,11,-0.14921600000000013,104.983232,4.9300999999999995,-30.285639999999997,37.29478,60.910336,281.436656,19.900944,-14.045588,49.204026000000006,-2.3573939999999998,151.582032,-18.240948
12,12,0.12797999999999984,104.12877199999998,4.868988,-30.078559999999996,37.272158,59.35027799999999,280.124262,20.114259999999998,-14.106219999999999,50.53068999999999,-1.4702100000000002,155.872468,-18.421141999999996
13,13,0.4062040000000001,103.25198799999998,4.791645999999999,-29.853039999999996,37.255883999999995,57.79805199999999,278.668324,20.327849999999998,-14.163718,51.61452799999999,-0.08962599999999953,159.63792199999997,-18.636746000000002
14,14,0.6813219999999999,102.355464,4.693946,-29.602937999999998,37.247012,56.25395199999999,277.235736,20.541657999999998,-14.220486,52.530066,1.7531559999999997,163.042476,-18.94937
15,15,0.950148,101.44042999999998,4.572438,-29.322795999999993,37.2469,54.71748399999999,275.94919799999997,20.755809999999997,-14.278925999999997,53.39771999999999,3.8784900000000007,166.39429399999997,-19.358878
16,16,1.2114479999999999,100.506142,4.42476,-29.008993999999998,37.25694,53.187576,274.87420399999996,20.970495999999997,-14.340772,54.35155399999999,5.992976,170.062362,-19.782794
17,17,1.466552,99.549878,4.249992,-28.660576000000002,37.278240000000004,51.663044,274.01119,21.185950000000002,-14.406544000000002,55.49631600000001,7.766428000000001,174.380412,-20.062162
18,18,1.7190800000000002,98.56730400000001,4.048208,-28.279304000000003,37.311322000000004,50.142834,273.29370800000004,21.40239,-14.475358000000002,56.8751,8.923434,179.571158,-19.991775999999998
