Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
10,-2.558402374,56.17012461,-23.24586431,65.49403337,2.697164776,-3.582451409,2.771676588,0.7195856752,-4.986103339,0.2308435811,452.5996094,448.6992188,901.2988281,-0.47932699999986284,1.1072662000000122,17.659440000002746
11,-2.556610729,56.21949204,-23.20505588,65.51190924,2.694555432,-3.587946035,2.771123488,0.7198085618,-4.988901778,0.2320534138,452.9121094,447.9609375,900.8730469,-0.553099999999862,1.2098326999999964,17.875869999997462
12,-2.554819084,56.26885947,-23.16424745,65.5297851,2.691946089,-3.593440661,2.770570387,0.7200314484,-4.991700218,0.2332632465,453.5546875,447.6484375,901.203125,-0.5531010000003889,1.2098326999999964,17.87586000000374
13,-2.553027438,56.3182269,-23.12343902,65.54766097,2.689336745,-3.598935287,2.770017286,0.720254335,-4.994498657,0.2344730793,453.8828125,447.6425781,901.5253906,-0.5531009999999448,1.2098328000000047,17.875869999997462
14,-2.551235793,56.36759433,-23.0826306,65.56553684,2.686727402,-3.604429913,2.769464186,0.7204772216,-4.997297097,0.235682912,454.1875,447.6425781,901.8300781,-0.553099999999862,1.2098326999999964,17.875869999997462
15,-2.549444148,56.41696176,-23.04182217,65.5834127,2.684118058,-3.609924539,2.768911085,0.7207001082,-5.000095536,0.2368927447,454.5078125,446.5996094,901.1074219,-0.5531009999999448,1.2098326999999964,17.87586000000374
16,-2.547466996,56.46534191,-23.00139452,65.60180903,2.681610307,-3.615504873,2.768271267,0.7210736723,-5.003029504,0.2382055018,454.8359375,446.5996094,901.4355469,-0.6398180000002363,1.312757100000006,18.396330000001626
17,-2.545489844,56.51372207,-22.96096688,65.62020536,2.679102556,-3.621085207,2.767631449,0.7214472365,-5.005963471,0.2395182588,455.1425781,445.6796875,900.8222656,-0.6398179999997922,1.3127569999999977,18.396330000001626
18,-2.543512692,56.56210223,-22.92053923,65.63860169,2.676594805,-3.626665542,2.766991631,0.7218208006,-5.008897439,0.2408310158,455.1425781,445.6796875,900.8222656,-0.6398180000002363,1.3127569999999977,18.396330000001626
19,-2.54153554,56.61048238,-22.88011158,65.65699802,2.674087054,-3.632245876,2.766351813,0.7221943648,-5.011831406,0.2421437729,456.1113281,445.6738281,901.7851563,-0.6398179999997922,1.312757100000006,18.396330000001626
20,-2.539558388,56.65886254,-22.83968394,65.67539435,2.671579303,-3.63782621,2.765711995,0.7225679289,-5.014765373,0.2434565299,456.1113281,445.6875,901.7988281,-0.6398179999997922,1.3127569999999977,18.396330000001626
21,-2.537387556,56.70632234,-22.79958128,65.69460933,2.669190475,-3.643514443,2.764977468,0.723102353,-5.017839238,0.2448723091,456.1171875,445.0664063,901.1835938,-0.7345270000000959,1.4157791999999947,19.214980000000992
22,-2.535216723,56.75378214,-22.75947863,65.71382431,2.666801646,-3.649202676,2.764242941,0.7236367771,-5.020913102,0.2462880884,456.4257813,445.0664063,901.4921875,-0.7345270000000959,1.415779300000003,19.214980000000992
23,-2.533045891,56.80124194,-22.71937597,65.73303929,2.664412817,-3.654890908,2.763508414,0.7241712012,-5.023986966,0.2477038676,456.7460938,444.6308594,901.3769531,-0.7345270000000959,1.4157791999999947,19.21497999998678
24,-2.530875059,56.84870175,-22.67927332,65.75225428,2.662023988,-3.660579141,2.762773887,0.7247056253,-5.02706083,0.2491196469,457.0410156,444.6328125,901.6738281,-0.7345270000000959,1.415779300000003,19.214990000008925
25,-2.528704226,56.89616155,-22.63917066,65.77146926,2.65963516,-3.666267374,2.76203936,0.7252400494,-5.030134694,0.2505354261,457.7167969,444.3261719,902.0429688,-0.7345269999996518,1.4157792000000224,19.214980000000992
26,-2.526337681,56.94280004,-22.59933282,65.79176774,2.65738055,-3.672089914,2.761208684,0.7259444453,-5.033348371,0.2520545904,458.0097656,443.71875,901.7285156,-0.8306760000000857,1.5191642999999866,20.2984799999939
27,-2.523971136,56.98943854,-22.55949498,65.81206622,2.65512594,-3.677912454,2.760378009,0.7266488412,-5.036562049,0.2535737546,457.9960938,444.0195313,902.015625,-0.8306750000000029,1.5191641999999783,20.298480000008112
28,-2.521604591,57.03607703,-22.51965715,65.8323647,2.652871331,-3.683734993,2.759547334,0.7273532371,-5.039775726,0.2550929189,458.6445313,443.1054688,901.75,-0.8306750000000029,1.519164300000042,20.2984799999939
29,-2.519238046,57.08271553,-22.47981931,65.85266318,2.650616721,-3.689557533,2.758716659,0.7280576331,-5.042989403,0.2566120831,458.6425781,442.359375,901.0019531,-0.8306750000000029,1.5191641999999783,20.2984799999939
30,-2.516871502,57.12935402,-22.43998147,65.87296166,2.648362111,-3.695380073,2.757885984,0.728762029,-5.04620308,0.2581312474,459.3007813,442.3691406,901.6699219,-0.8306750000000029,1.5191642999999866,20.298480000008112
31,-2.514315219,57.17530067,-22.40035012,65.89454866,2.646251753,-3.701366049,2.756965324,0.7296440559,-5.049553768,0.2597536377,458.9882813,442.3671875,901.3554688,-0.9206600000002396,1.6223902999999984,21.586999999996692
32,-2.511758937,57.22124732,-22.36071877,65.91613566,2.644141394,-3.707352025,2.756044664,0.7305260828,-5.052904456,0.261376028,459.6347656,442.0410156,901.6757813,-0.9206599999997955,1.6223902999999984,21.586999999996692
33,-2.509202654,57.26719397,-22.32108743,65.93772266,2.642031035,-3.713338001,2.755124004,0.7314081097,-5.056255144,0.2629984183,459.6464844,441.4453125,901.0917969,-0.9206600000002396,1.6223902999999984,21.587000000010903
34,-2.506646372,57.31314062,-22.28145608,65.95930967,2.639920676,-3.719323977,2.754203344,0.7322901367,-5.059605832,0.2646208086,459.9707031,440.7148438,900.6855469,-0.9206599999997955,1.6223902999999984,21.587009999990414
35,-2.504090089,57.35908727,-22.24182473,65.98089667,2.637810317,-3.725309953,2.753282684,0.7331721636,-5.06295652,0.2662431989,459.9433594,441.140625,901.0839844,-0.9206599999997955,1.6223902999999984,21.587000000010903
36,-2.501355699,57.40449139,-22.20235358,66.00389539,2.635847228,-3.731489498,2.752283918,0.7342372452,-5.066440345,0.2679686198,459.9277344,440.5078125,900.4355469,-0.9987660000003729,1.7254208999999965,22.998719999989703
37,-2.498621309,57.44989551,-22.16288242,66.0268941,2.633884138,-3.737669043,2.751285152,0.7353023268,-5.069924169,0.2696940407,459.9277344,440.0742188,900.0019531,-0.9987659999999288,1.725420900000052,22.998710000010192
38,-2.495886919,57.49529963,-22.12341126,66.04989282,2.631921048,-3.743848588,2.750286386,0.7363674084,-5.073407994,0.2714194616,460.578125,440.0703125,900.6484375,-0.9987659999999288,1.7254208999999965,22.998719999989703
39,-2.493152529,57.54070374,-22.08394011,66.07289153,2.629957958,-3.750028133,2.74928762,0.73743249,-5.076891819,0.2731448824,460.8847656,440.5136719,901.3984375,-0.9987659999999288,1.7254207999999882,22.998710000010192
40,-2.490418139,57.58610786,-22.04446895,66.09589025,2.627994868,-3.756207678,2.748288854,0.7384975716,-5.080375644,0.2748703033,460.9003906,440.2109375,901.1113281,-0.9987659999999288,1.7254208999999965,22.998719999989703
41,-2.487521981,57.63112691,-22.00513227,66.12032619,2.626174432,-3.762610062,2.747228106,0.7397484822,-5.083988608,0.2766980221,461.2207031,439.4648438,900.6855469,-1.0607480000000002,1.8277187999999889,24.435940000003598
42,-2.484625824,57.67614595,-21.96579558,66.14476214,2.624353996,-3.769012446,2.746167358,0.7409993927,-5.087601573,0.278525741,461.5292969,439.4648438,900.9941406,-1.0607480000000002,1.8277188999999971,24.43594999999732
43,-2.481729666,57.72116499,-21.9264589,66.16919808,2.622533559,-3.77541483,2.74510661,0.7422503032,-5.091214537,0.2803534598,461.5292969,439.1582031,900.6875,-1.0607480000000002,1.8277187999999889,24.435940000003598
44,-2.478833508,57.76618404,-21.88712221,66.19363402,2.620713123,-3.781817214,2.744045861,0.7435012137,-5.094827502,0.2821811786,462.1621094,438.8554688,901.0175781,-1.060749000000083,1.8277188000000444,24.435940000003598
45,-2.475937351,57.81120308,-21.84778552,66.21806997,2.618892687,-3.788219598,2.742985113,0.7447521242,-5.098440466,0.2840088975,462.1640625,438.8496094,901.0136719,-1.0607480000000002,1.8277188999999971,24.43594999999732
46,-2.472899987,57.85598882,-21.80858623,66.24386049,2.617202388,-3.794870824,2.741881061,0.7461886856,-5.102180583,0.2859364926,462.4570313,438.8496094,901.3066406,-1.1040520000000775,1.927595099999957,25.790520000001038
47,-2.469862623,57.90077455,-21.76938693,66.26965101,2.615512089,-3.80152205,2.740777008,0.747625247,-5.1059207,0.2878640877,463.0917969,438.8417969,901.9335938,-1.1040530000001603,1.9275951000000124,25.790520000001038
48,-2.466825259,57.94556029,-21.73018763,66.29544153,2.61382179,-3.808173276,2.739672956,0.7490618084,-5.109660817,0.2897916828,463.4121094,437.4804688,900.8925781,-1.1040519999996334,1.9275951000000124,25.790520000001038
49,-2.463787895,57.99034602,-21.69098833,66.32123205,2.612131491,-3.814824502,2.738568904,0.7504983698,-5.113400934,0.2917192779,463.4121094,437.5,900.9121094,-1.1040520000000775,1.9275951000000124,25.790520000001038
50,-2.460750532,58.03513176,-21.65178903,66.34702257,2.610441192,-3.821475728,2.737464851,0.7519349311,-5.117141051,0.293646873,463.4257813,437.2011719,900.6269531,-1.1040530000001603,1.927595099999957,25.790519999986827
51,-2.457593113,58.07981184,-21.61276696,66.3739746,2.608860253,-3.828396527,2.736335601,0.753553383,-5.121008842,0.2956707619,464.0410156,436.8886719,900.9296875,-1.1292499999999706,2.023888900000048,26.9520300000039
52,-2.454435694,58.12449193,-21.5737449,66.40092664,2.607279315,-3.835317326,2.73520635,0.7551718348,-5.124876633,0.2976946508,464.3535156,437.1933594,901.546875,-1.1292510000000533,2.0238888999999927,26.952039999997623
53,-2.451278275,58.16917202,-21.53472283,66.42787868,2.605698377,-3.842238125,2.7340771,0.7567902867,-5.128744425,0.2997185396,464.6738281,436.8867188,901.5605469,-1.1292499999999706,2.0238887999999844,26.952040000011834
54,-2.448120856,58.2138521,-21.49570076,66.45483072,2.604117438,-3.849158923,2.732947849,0.7584087385,-5.132612216,0.3017424285,465.2871094,436.2734375,901.5605469,-1.1292510000000533,2.0238888999999927,26.952039999997623
55,-2.444963437,58.25853219,-21.4566787,66.48178275,2.6025365,-3.856079722,2.731818599,0.7600271904,-5.136480008,0.3037663174,465.6152344,435.9570313,901.5722656,-1.1292499999999706,2.0238888999999927,26.95202999998969
56,-2.441704289,58.30319416,-21.41791655,66.50959781,2.601035263,-3.863284919,2.730677948,0.761820168,-5.140478023,0.3058814431,465.6269531,435.21875,900.8457031,-1.140651000000048,2.115125699999998,27.815060000008884
57,-2.438445141,58.34785613,-21.3791544,66.53741286,2.599534026,-3.870490116,2.729537298,0.7636131456,-5.144476038,0.3079965688,465.9511719,434.9160156,900.8671875,-1.1406499999999653,2.115125699999998,27.81505000000095
58,-2.435185993,58.3925181,-21.34039225,66.56522791,2.598032789,-3.877695313,2.728396647,0.7654061232,-5.148474053,0.3101116945,465.9511719,434.9160156,900.8671875,-1.140651000000048,2.115125699999998,27.81505000000095
59,-2.431926846,58.43718008,-21.30163009,66.59304297,2.596531552,-3.88490051,2.727255997,0.7671991008,-5.152472069,0.3122268202,466.5976563,434.2988281,900.8964844,-1.1406499999999653,2.115125699999998,27.815059999994673
60,-2.428667698,58.48184205,-21.26286794,66.62085802,2.595030315,-3.892105707,2.726115346,0.7689920784,-5.156470084,0.314341946,467.2402344,433.8652344,901.1054688,-1.140651000000048,2.115125800000006,27.81505000000095
61,-2.425319138,58.52651534,-21.22449577,66.64914518,2.59357094,-3.899603972,2.724969318,0.7709491275,-5.160603394,0.3165415248,467.2402344,434.2988281,901.5390625,-1.1460279999999656,2.1995787999999905,28.287160000004974
62,-2.421970578,58.57118864,-21.18612359,66.67743235,2.592111565,-3.907102236,2.72382329,0.7729061766,-5.164736704,0.3187411036,467.2050781,433.2636719,900.46875,-1.1460279999999656,2.199578800000046,28.287169999998696
63,-2.418622019,58.61586194,-21.14775142,66.70571951,2.59065219,-3.914600501,2.722677262,0.7748632258,-5.168870014,0.3209406825,467.5273438,432.9648438,900.4921875,-1.1460279999999656,2.199578899999999,28.287159999990763
64,-2.415273459,58.66053523,-21.10937924,66.73400668,2.589192814,-3.922098765,2.721531234,0.7768202749,-5.173003324,0.3231402613,467.8476563,432.9609375,900.8085938,-1.1460279999999656,2.1995787999999905,28.287169999998696
65,-2.411924899,58.70520853,-21.07100707,66.76229384,2.587733439,-3.92959703,2.720385206,0.778777324,-5.177136634,0.3253398401,468.1621094,432.5273438,900.6894531,-1.1460279999999656,2.1995787999999905,28.287160000004974
66,-2.408490377,58.74985144,-21.03320108,66.79059221,2.58627206,-3.937389678,2.719230389,0.7808853439,-5.18141206,0.3276165902,468.1894531,432.2246094,900.4140625,-1.1548170000001967,2.2767501000000023,28.298370000001682
67,-2.405055854,58.79449434,-20.99539509,66.81889058,2.584810682,-3.945182327,2.718075572,0.7829933638,-5.185687486,0.3298933402,468.4804688,431.9238281,900.4042969,-1.1548169999997526,2.276749999999994,28.298370000001682
68,-2.401621332,58.83913724,-20.9575891,66.84718895,2.583349303,-3.952974975,2.716920756,0.7851013837,-5.189962912,0.3321700902,468.7871094,431.6054688,900.3925781,-1.154816000000114,2.276749999999994,28.298370000001682
69,-2.39818681,58.88378015,-20.91978311,66.87548732,2.581887924,-3.960767624,2.715765939,0.7872094036,-5.194238338,0.3344468403,469.4355469,431.1640625,900.5996094,-1.1548169999997526,2.2767501000000023,28.298370000001682
70,-2.394752287,58.92842305,-20.88197712,66.90378569,2.580426546,-3.968560272,2.714611122,0.7893174235,-5.198513765,0.3367235903,469.4355469,430.875,900.3105469,-1.1548170000001967,2.276749999999994,28.298370000001682
71,-2.391225729,58.97291287,-20.84495596,66.93159404,2.57891608,-3.976639779,2.713433581,0.7915612173,-5.202938789,0.339069325,469.4628906,430.5722656,900.0351563,-1.1775410000001152,2.3457346999999906,27.808349999986604
72,-2.387699171,59.01740269,-20.8079348,66.95940239,2.577405615,-3.984719286,2.71225604,0.793805011,-5.207363814,0.3414150596,470.4199219,430.5683594,900.9882813,-1.177540999999671,2.345734600000038,27.808350000000814
73,-2.384172613,59.06189251,-20.77091364,66.98721075,2.575895149,-3.992798794,2.711078499,0.7960488047,-5.211788839,0.3437607942,470.3925781,430.2617188,900.6542969,-1.1775410000001152,2.3457345999999824,27.808360000008747
74,-2.380646055,59.10638233,-20.73389248,67.0150191,2.574384684,-4.000878301,2.709900958,0.7982925985,-5.216213864,0.3461065289,470.4023438,430.2617188,900.6640625,-1.1775410000001152,2.3457346999999906,27.808350000000814
75,-2.377119497,59.15087216,-20.69687132,67.04282745,2.572874218,-4.008957808,2.708723417,0.8005363922,-5.220638888,0.3484522635,470.3886719,429.5234375,899.9121094,-1.1775410000001152,2.345734600000038,27.808350000000814
76,-2.373485283,59.19499835,-20.66089139,67.06964005,2.571266338,-4.01730792,2.707498802,0.8028993317,-5.225221448,0.350858053,470.3886719,429.5117188,899.9003906,-1.224614999999929,2.4057894999999774,26.81259999999952
77,-2.369851069,59.23912455,-20.62491147,67.09645265,2.569658457,-4.025658033,2.706274187,0.8052622713,-5.229804007,0.3532638425,470.7089844,428.9179688,899.6269531,-1.224614999999929,2.4057894999999774,26.81259999999952
78,-2.366216855,59.28325075,-20.58893155,67.12326525,2.568050577,-4.034008145,2.705049572,0.8076252108,-5.234386567,0.355669632,471.3574219,429.21875,900.5761719,-1.224614999999929,2.405789500000033,26.81259999999952
