Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque X,Front Torque Y,Back Torque X,Back Torque Y
0,1.779068366,24.43892314,49.85037836,144.54186045,-9.004007407,13.73392138,3.248491011,5.083979058,14.3828125,-8.984375,-24.90625,-51.3125,7.760498047,59.87033081,721.0585938,37.11184692,101.6894531,-0.2283630371,619.3691406,38.42243958,-4.645774841,72.46417236,-1.58996582
1,1.754094084,24.50181941,49.87429963,144.55234719999999,-9.031223493,13.77497443,3.23986031,5.095071592,14.821875,-9.2109375,-24.70625,-51.59375,7.721343994,60.8977356,721.0292969,36.70584106,100.7421875,-0.2118530273,620.2871094,37.78034973,-4.495872498,72.61773682,-1.629272461
2,1.729119801,24.56471567,49.8982209,144.56283396,-9.058439579,13.81602749,3.231229609,5.106164126,15.2609375,-9.4375,-24.50625,-51.875,7.69430542,61.68572998,722.140625,35.88964844,99.76757813,-0.1844787598,622.3730469,37.1209259,-4.344749451,73.0401001,-1.571044922
3,1.704145519,24.62761193,49.92214216,144.57332071,-9.085655665,13.85708055,3.222598908,5.11725666,15.7,-9.6640625,-24.30625,-52.15625,8.237182617,62.73883057,722.5546875,35.47293091,99.13476563,-0.1940002441,623.4199219,37.06282043,-4.381614685,73.24468994,-1.578979492
4,1.679171236,24.6905082,49.94606343,144.58380746,-9.11287175,13.8981336,3.213968207,5.128349194,16.1390625,-9.890625,-24.10625,-52.4375,9.259277344,62.71133423,723.9316406,35.48565674,98.13867188,-0.6340942383,625.7929688,36.88996887,-4.569602966,73.78399658,-1.590576172
5,1.654196953,24.75340446,49.9699847,144.59429421,-9.140087836,13.93918666,3.205337507,5.139441728,16.578125,-10.1171875,-23.90625,-52.71875,10.26022339,63.16259766,725.3496094,35.06872559,97.17382813,-1.092437744,628.1757813,36.23640442,-4.755638123,74.0256958,-1.459228516
6,1.628299211,24.8165948,49.99364188,144.60360155,-9.167088153,13.98050573,3.196707135,5.149871767,17.040625,-10.228125,-23.85,-53.00625,9.730621338,63.59466553,725.9433594,34.64627075,96.85351563,-1.101867676,629.0898438,36.00398254,-4.569847107,73.8772583,-1.532836914
7,1.602401468,24.87978515,50.01729907,144.6129089,-9.194088469,14.02182479,3.188076764,5.160301806,17.503125,-10.3390625,-23.79375,-53.29375,8.716583252,64.38058472,727.2382813,33.84143066,95.88867188,-0.6629333496,631.3496094,35.76325989,-4.389671326,74.10650635,-1.722412109
8,1.576503726,24.94297549,50.04095625,144.62221624,-9.221088786,14.06314386,3.179446392,5.170731845,17.965625,-10.45,-23.7375,-53.58125,9.567687988,66.04718018,728.7617188,33.43557739,94.29101563,-1.538665771,634.4707031,35.12507629,-4.54763031,74.68951416,-1.489379883
9,1.550605983,25.00616584,50.06461344,144.63152358,-9.248089102,14.10446293,3.17081602,5.181161884,18.428125,-10.5609375,-23.68125,-53.86875,10.60232544,66.06210327,728.8222656,33.44863892,93.6171875,-1.988464355,635.2050781,35.15779114,-4.58278656,75.01690674,-1.459716797
