Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
10,0.2566213796,55.40716396,-25.65595688,63.286494,0.5830910631,-5.951422714,-0.1219703417,-0.4122030627,-7.412052109,0.1241640395,493.5839844,400.4492188,894.0332031,1.2362050999999985,-0.2788254999999962,-6.186930000005475,468.0507000000489
11,0.2550288157,55.38809264,-25.67738168,63.28030707,0.580412567,-5.955729981,-0.1207341366,-0.4094297008,-7.415445508,0.123885214,494.2011719,400.1445313,894.3457031,1.2362050999999985,-0.27882550000001005,-6.18692999999837,62.71859999992557
12,0.25336174,55.36963605,-25.69845798,63.274202,0.577737574,-5.960164514,-0.1194341383,-0.4066181155,-7.418937444,0.1235963841,494.859375,400.1484375,895.0078125,1.2999982999999937,-0.28882989999999553,-6.105069999996715,321.5020000000095
13,0.2516946643,55.35117946,-25.71953427,63.26809692,0.575062581,-5.964599046,-0.1181341399,-0.4038065302,-7.422429379,0.1233075542,494.53125,400.1386719,894.6699219,1.299998400000002,-0.28882989999999553,-6.105080000004648,-499.94919999994636
14,0.2500275886,55.33272288,-25.74061057,63.26199184,0.572387588,-5.969033579,-0.1168341416,-0.400994945,-7.425921315,0.1230187243,495.1660156,399.5332031,894.6992188,1.2999983000000075,-0.28882989999999553,-6.1050799999975425,93.84230000000571
15,0.2483605128,55.31426629,-25.76168686,63.25588676,0.569712595,-5.973468112,-0.1155341433,-0.3981833597,-7.429413251,0.1227298945,495.8027344,399.5332031,895.3359375,1.2999982999999937,-0.28882980000000114,-6.1050799999975425,829.3292999999267
16,0.2466934371,55.2958097,-25.78276316,63.24978168,0.5670376021,-5.977902644,-0.1142341449,-0.3953717744,-7.432905186,0.1224410646,496.1113281,399.5175781,895.6289063,1.299998400000002,-0.2888299000000094,-6.105080000004648,404.0946999999733
17,0.2449302262,55.27796676,-25.80349707,63.24375595,0.5643738483,-5.982477537,-0.1128545974,-0.3925253821,-7.436495519,0.1221363315,496.7265625,399.5332031,896.2597656,1.3795474999999946,-0.30473309999999587,-6.025729999997509,283.55530000010276
18,0.2431670152,55.26012381,-25.82423099,63.23773022,0.5617100945,-5.987052429,-0.11147505,-0.3896789898,-7.440085853,0.1218315984,497.3730469,399.2148438,896.5878906,1.3795474,-0.30473309999999587,-6.025729999997509,569.5817999999235
19,0.2414038043,55.24228086,-25.84496491,63.23170449,0.5590463407,-5.991627322,-0.1100955025,-0.3868325974,-7.443676186,0.1215268654,498.0429688,398.9121094,896.9550781,1.3795475000000084,-0.3047330000000015,-6.025730000004614,-90.07199999996374
20,0.2396405933,55.22443792,-25.86569882,63.22567875,0.556382587,-5.996202214,-0.108715955,-0.3839862051,-7.447266519,0.1212221323,498.0429688,398.4804688,896.5234375,1.3795474999999946,-0.30473310000000975,-6.025739999998336,5.266300000016599
21,0.2378773824,55.20659497,-25.88643274,63.21965302,0.5537188332,-6.000777107,-0.1073364075,-0.3811398128,-7.450856852,0.1209173993,497.7285156,398.1738281,895.9023438,1.3795475000000084,-0.3047329999999876,-6.025729999997509,-696.7895000000226
22,0.2359959359,55.18936855,-25.90682722,63.21370666,0.5510724117,-6.00550383,-0.1058617629,-0.3782629015,-7.454547609,0.1205901205,497.7558594,398.1738281,895.9296875,1.4746445999999913,-0.32727880000001097,-5.946360000002926,37.6430999999684
23,0.2341144893,55.17214212,-25.9272217,63.20776031,0.5484259903,-6.010230554,-0.1043871183,-0.3753859903,-7.458238365,0.1202628418,497.7285156,397.5683594,895.296875,1.474644600000005,-0.3272786999999888,-5.946350000002099,128.578100000027
24,0.2322330428,55.1549157,-25.94761618,63.20181395,0.5457795689,-6.014957278,-0.1029124737,-0.3725090791,-7.461929122,0.1199355631,498.0761719,397.1269531,895.203125,1.4746445999999913,-0.3272787000000027,-5.9463599999958205,-56.30770000004759
25,0.2303515963,55.13768928,-25.96801066,63.19586759,0.5431331474,-6.019684002,-0.1014378291,-0.3696321679,-7.465619878,0.1196082843,498.0605469,396.8164063,894.8769531,1.474644600000005,-0.3272787999999971,-5.946360000002926,128.58800000003612
26,0.2284701498,55.12046285,-25.98840513,63.18992124,0.540486726,-6.024410726,-0.09996318448,-0.3667552566,-7.469310635,0.1192810056,498.0742188,397.1171875,895.1914063,1.4746446200000067,-0.3272787000000027,-5.946350000002099,76.89089999996668
27,0.2264493248,55.10386313,-26.00845618,63.18405653,0.5378621965,-6.029296793,-0.09837828672,-0.3638532708,-7.473106723,0.1189250248,498.0332031,396.5097656,894.5429688,1.5848977599999952,-0.35598080000000254,-5.864709999997331,51.25920000000406
28,0.2244284998,55.08726341,-26.02850722,63.17819183,0.5352376669,-6.034182861,-0.09679338896,-0.3609512849,-7.476902811,0.1185690441,498.3417969,396.8183594,895.1601563,1.5848977599999952,-0.35598069999999427,-5.864699999996503,157.91230000002088
29,0.2224076748,55.07066369,-26.04855826,63.17232713,0.5326131374,-6.039068929,-0.0952084912,-0.358049299,-7.4806989,0.1182130633,498.6621094,396.0820313,894.7441406,1.5848977600000091,-0.35598080000000254,-5.864700000003609,141.9581999999764
30,0.2203868498,55.05406397,-26.0686093,63.16646243,0.5299886079,-6.043954996,-0.09362359344,-0.3551473132,-7.484494988,0.1178570825,498.3398438,396.0898438,894.4296875,1.5848977599999952,-0.35598080000000254,-5.864699999996503,142.401800000016
31,0.2183660248,55.03746424,-26.08866034,63.16059772,0.5273640784,-6.048841064,-0.09203869568,-0.3522453273,-7.488291076,0.1175011017,498.6894531,396.0761719,894.765625,1.5848977599999952,-0.35598080000000254,-5.864710000004436,-58.64289999999528
32,0.2161860171,55.021508,-26.10835716,63.15481935,0.5247643516,-6.053889373,-0.09032971136,-0.3493246929,-7.492200382,0.1171102084,498.6621094,395.4667969,894.1289063,1.7089843200000092,-0.39089330000000033,-5.778370000001587,118.89570000005278
33,0.2140060094,55.00555176,-26.12805399,63.14904098,0.5221646248,-6.058937682,-0.08862072704,-0.3464040585,-7.496109687,0.1167193151,499.0117188,394.4375,893.4492188,1.7089843199999954,-0.39089330000000033,-5.7783699999944815,268.93619999998464
34,0.2118260018,54.98959551,-26.14775081,63.14326261,0.519564898,-6.063985991,-0.08691174272,-0.3434834241,-7.500018992,0.1163284218,498.375,394.4277344,892.8027344,1.7089843199999954,-0.39089330000000033,-5.778370000001587,-899.2531000000099
35,0.2096459941,54.97363927,-26.16744764,63.13748425,0.5169651713,-6.0690343,-0.0852027584,-0.3405627898,-7.503928297,0.1159375285,499.0332031,393.3964844,892.4296875,1.7089843200000092,-0.39089330000000033,-5.7783600000007596,571.9852999999375
36,0.2074659864,54.95768303,-26.18714446,63.13170588,0.5143654445,-6.074082609,-0.08349377408,-0.3376421554,-7.507837603,0.1155466352,499.0058594,393.3808594,892.3867188,1.7089843199999954,-0.39089330000000033,-5.778370000001587,-30.00459999998384
37,0.2051098447,54.94239284,-26.20647015,63.12602148,0.5117912065,-6.07929201,-0.08164991821,-0.3347099249,-7.511871549,0.1151143725,499.6367188,393.3886719,893.0253906,1.843855869999994,-0.43226269999999123,-5.684399999999812,292.6025000000436
38,0.202753703,54.92710265,-26.22579584,63.12033708,0.5092169685,-6.084501412,-0.07980606234,-0.3317776944,-7.515905494,0.1146821097,499.6621094,392.7792969,892.4414063,1.8438558700000078,-0.4322627999999995,-5.684399999999812,369.6793000000298
39,0.2003975614,54.91181247,-26.24512153,63.11465268,0.5066427305,-6.089710814,-0.07796220647,-0.328845464,-7.51993944,0.114249847,499.9589844,393.5019531,893.4609375,1.843855869999994,-0.4322627000000051,-5.684399999999812,-209.61540000007517
