Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque X,Front Torque Y,Back Torque X,Back Torque Y
0,19.72431736,13.09196647,-84.10032865,136.1348885,-6.517755484,30.90007232,-0.5198932786,8.183583456,14.8609375,-33.28125,-31.221875,-95.9,-7.503295898,123.2321625,696.4628906,0.1862335205,-2.73046875,6.787322998,699.1933594,2.296554565,-1.03818512,-41.89660645,32.15719604
1,19.68851148,13.07878006,-84.12588157,136.13946413,-6.522422396,30.90237981,-0.5409668496,8.207225291,14.7796875,-33.28125,-31.090625,-96.1,-6.486907959,122.6134186,696.4296875,0.1986236572,-2.7578125,6.343933105,699.1875,2.316085815,-1.070411682,-41.63049316,31.97677612
2,19.6527056,13.06559365,-84.15143449,136.14403977,-6.527089308,30.9046873,-0.5620404207,8.230867126,14.6984375,-33.28125,-30.959375,-96.3,-6.445861816,122.206955,695.3730469,0.6045684814,-2.7734375,6.344726563,698.1464844,2.359054565,-1.06943512,-41.83776855,31.87460327
3,19.61689972,13.05240723,-84.17698741,136.14861541,-6.531756219,30.90699479,-0.5831139918,8.254508962,14.6171875,-33.28125,-30.828125,-96.5,-6.893859863,122.8095551,695.0761719,0.6045684814,-2.7734375,6.792724609,697.8496094,2.359054565,-1.06943512,-41.66687012,31.8374939
4,19.5811347,13.03931266,-84.20093144,136.15236536,-6.535864081,30.9097921,-0.6040899606,8.278476179,14.45,-33.25,-30.628125,-96.5,-7.954406738,123.8595428,695.1269531,0.1863861084,-3.05078125,7.249450684,698.1777344,2.099777222,-0.8863296509,-41.49450684,31.79660034
5,19.54536968,13.02621809,-84.22487547,136.15611531,-6.539971942,30.91258941,-0.6250659295,8.302443396,14.2828125,-33.21875,-30.428125,-96.5,-8.364776611,123.4224091,695.1113281,0.5923309326,-3.06640625,7.701660156,698.1777344,2.143722534,-0.8853530884,-41.46862793,31.79660034
6,19.50960466,13.01312352,-84.2488195,136.15986527,-6.544079803,30.91538672,-0.6460418984,8.326410613,14.115625,-33.1875,-30.228125,-96.5,-8.409759521,123.8245697,694.8242188,0.1863861084,-3.05078125,7.704803467,697.875,2.099777222,-0.8863296509,-41.32312012,31.72421265
7,19.47383964,13.00002895,-84.27276353,136.16361522,-6.548187664,30.91818404,-0.6670178672,8.35037783,13.9484375,-33.15625,-30.028125,-96.5,-8.87286377,125.0940247,694.4492188,0.185760498,-2.71484375,8.155029297,697.1640625,2.27897644,-0.7356948853,-41.35778809,31.61618042
8,19.43807461,12.98693437,-84.29670756,136.16736516999998,-6.552295526,30.92098135,-0.6879938361,8.374345048,13.78125,-33.125,-29.828125,-96.5,-8.848114014,124.487793,694.7460938,0.185760498,-2.71484375,8.130279541,697.4609375,2.27897644,-0.7356948853,-41.22106934,31.50888062
9,19.40254964,12.97383647,-84.31915884,136.1703277,-6.555891642,30.9242785,-0.7088335422,8.398669517,13.684375,-32.99375,-29.60625,-96.4,-9.281646729,124.5052643,694.7441406,0.1862335205,-2.73046875,8.565673828,697.4746094,2.296554565,-1.03818512,-41.20251465,31.50656128
10,19.36702466,12.96073858,-84.34161012,136.17329023,-6.559487759,30.92757565,-0.7296732484,8.422993987,13.5875,-32.8625,-29.384375,-96.3,-9.74017334,125.1315155,694.7695313,0.1862335205,-2.73046875,9.024200439,697.5,2.296554565,-1.03818512,-40.88562012,31.24813843
11,19.33149968,12.94764068,-84.36406139,136.17625275,-6.563083875,30.93087279,-0.7505129545,8.447318457,13.490625,-32.73125,-29.1625,-96.2,-9.625915527,125.1187592,694.0273438,0.1748199463,-3.041015625,9.472290039,697.0683594,2.461105347,-0.9236831665,-41.06750488,31.14535522
12,19.2959747,12.93454278,-84.38651267,136.17921528,-6.566679992,30.93416994,-0.7713526606,8.471642927,13.39375,-32.6,-28.940625,-96.1,-9.616912842,125.7601471,694.3359375,0.1748199463,-3.041015625,9.463287354,697.3769531,2.461105347,-0.9236831665,-40.92297363,31.10751343
13,19.26044973,12.92144488,-84.40896394,136.18217780999998,-6.570276108,30.93746709,-0.7921923667,8.495967396,13.296875,-32.46875,-28.71875,-96.0,-9.649261475,125.9431458,693.9101563,0.6088562012,-3.041015625,9.482299805,696.9511719,2.52507019,-0.9241714478,-41.1217041,31.03903198
14,19.22536957,12.90825337,-84.43002446,136.18439144,-6.573413917,30.94126158,-0.8128513866,8.520660452,13.2796875,-32.371875,-28.70625,-95.9625,-10.22528076,125.9485168,694.6816406,0.5964355469,-2.703125,9.486358643,697.3847656,2.313644409,-1.039649963,-40.91418457,31.14181519
15,19.19028942,12.89506187,-84.45108498,136.18660508,-6.576551725,30.94505606,-0.8335104065,8.545353507,13.2625,-32.275,-28.69375,-95.925,-10.65411377,126.3257599,694.34375,0.1862640381,-3.04296875,9.937103271,697.3867188,2.489425659,-0.8904800415,-40.89074707,30.99667358
16,19.15520926,12.88187036,-84.4721455,136.18881871,-6.579689534,30.94885055,-0.8541694264,8.570046562,13.2453125,-32.178125,-28.68125,-95.8875,-10.65603638,126.9673004,694.9746094,0.1861114502,-2.72265625,9.928009033,697.6972656,2.685958862,-1.04233551,-40.74572754,30.95883179
17,19.1201291,12.86867886,-84.49320601,136.19103235,-6.582827343,30.95264503,-0.8748284464,8.594739617,13.228125,-32.08125,-28.66875,-95.85,-10.64819336,126.9633636,694.3515625,0.1862640381,-3.04296875,9.931182861,697.3945313,2.489425659,-0.8904800415,-40.59973145,30.88656616
18,19.08504895,12.85548735,-84.51426653,136.19324598,-6.585965151,30.95643951,-0.8954874663,8.619432672,13.2109375,-31.984375,-28.65625,-95.8125,-10.19152832,126.9980316,694.9785156,0.1865997314,-2.71875,9.477355957,697.6972656,2.694747925,-0.7376480103,-40.48010254,30.81344604
19,19.05061226,12.84212259,-84.53402194,136.19475033999998,-6.588701581,30.960714,-0.9159251289,8.644488803,13.3234375,-31.909375,-28.78125,-95.575,-11.07421875,127.1893768,694.9824219,0.5920562744,-2.736328125,10.38800049,697.71875,2.729415894,-1.041358948,-40.42736816,30.84555054
20,19.01617557,12.82875782,-84.55377735,136.1962547,-6.59143801,30.96498848,-0.9363627916,8.669544933,13.4359375,-31.834375,-28.90625,-95.3375,-10.51132202,126.5741425,695.1601563,0.580581665,-2.42578125,10.38955688,697.5859375,2.508712769,-1.222267151,-40.4888916,30.63461304
21,18.98173888,12.81539306,-84.57353276,136.19775906,-6.59417444,30.96926297,-0.9568004542,8.694601064,13.5484375,-31.759375,-29.03125,-95.1,-10.06851196,126.5578766,695.7734375,0.5809173584,-2.103515625,9.949554443,697.8769531,2.714035034,-1.06943512,-40.65490723,30.5640564
22,18.94730219,12.80202829,-84.59328817,136.19926342,-6.596910869,30.97353745,-0.9772381169,8.719657195,13.6609375,-31.684375,-29.15625,-94.8625,-9.973388672,127.6002045,695.5820313,0.1870574951,-2.748046875,10.38171387,698.3300781,2.676681519,-1.107765198,-40.42980957,30.69967651
23,18.9128655,12.78866352,-84.61304358,136.20076778,-6.599647299,30.97781194,-0.9976757796,8.744713326,13.7734375,-31.609375,-29.28125,-94.625,-10.53543091,127.5884552,695.9042969,0.1988372803,-2.42578125,10.38320923,698.3300781,2.910324097,-0.9217300415,-40.13830566,30.55441284
24,18.87925387,12.77506177,-84.63156353,136.20160669,-6.60204032,30.98253199,-1.017862239,8.770114941,13.659375,-31.4375,-29.303125,-94.4125,-10.53817749,126.9529266,696.2050781,0.1988372803,-2.42578125,10.38595581,698.6308594,2.910324097,-0.9217300415,-40.28527832,30.44638062
25,18.84564224,12.76146002,-84.65008348,136.2024456,-6.60443334,30.98725203,-1.038048699,8.795516555,13.5453125,-31.265625,-29.325,-94.2,-11.12164307,127.578949,695.5117188,0.1860961914,-2.390625,10.40664673,697.9023438,2.484298706,-0.582862854,-40.63000488,30.45089722
26,18.81203061,12.74785828,-84.66860344,136.20328451,-6.606826361,30.99197208,-1.058235158,8.820918169,13.43125,-31.09375,-29.346875,-93.9875,-11.11575317,128.2165527,695.515625,0.1860961914,-2.390625,10.40075684,697.90625,2.484298706,-0.582862854,-40.33947754,30.34066772
27,18.77841899,12.73425653,-84.68712339,136.20412343,-6.609219381,30.99669213,-1.078421618,8.846319783,13.3171875,-30.921875,-29.36875,-93.775,-11.57409668,127.8242645,695.5585938,0.5962982178,-2.36328125,10.83615112,697.921875,2.50138855,-0.5843276978,-40.32092285,30.33847046
28,18.74480736,12.72065478,-84.70564334,136.20496234,-6.611612402,31.00141218,-1.098608078,8.871721397,13.203125,-30.75,-29.390625,-93.5625,-11.58868408,128.1795197,694.5761719,0.1861114502,-2.72265625,10.86065674,697.2988281,2.685958862,-1.04233551,-40.0201416,30.34127808
