Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque X,Front Torque Y,Back Torque X,Back Torque Y
0,11.67150927,11.53632634,99.27409936,138.20043422,-15.68322299,24.93966893,-2.62088566,9.042428476,7.372656249,-20.434375,-28.359375,-70.4375,-20.87921143,109.2467651,688.1972656,-0.5989685059,-4.7578125,20.05889893,692.9550781,2.556564331,-1.123634338,-50.9029541,19.73178101
1,11.64819243,11.52248498,99.30434133,138.20502645,-15.69305698,24.95104849,-2.635980408,9.061262679,7.296093749,-20.74375,-27.921875,-70.0625,-20.44412231,109.2247009,688.2011719,-0.5986328125,-4.435546875,19.62661743,692.6367188,2.762130737,-0.9708023071,-50.77600098,19.66171265
2,11.6248756,11.50864361,99.3345833,138.20961868,-15.70289098,24.96242806,-2.651075156,9.080096882,7.219531249,-21.053125,-27.484375,-69.6875,-20.40988159,108.8165283,686.921875,-0.1925048828,-5.41015625,19.63119507,692.3320313,3.002853394,-1.129981995,-50.62805176,19.73458862
3,11.60155876,11.49480225,99.36482527,138.21421091,-15.71272498,24.97380762,-2.666169903,9.098931085,7.142968749,-21.3625,-27.046875,-69.3125,-19.39486694,108.839798,687.8476563,-0.180770874,-4.787109375,19.17733765,692.6347656,3.008224487,-1.15927887,-50.50842285,19.66159058
4,11.57824192,11.48096089,99.39506724,138.21880314,-15.72255897,24.98518718,-2.681264651,9.117765288,7.066406249,-21.671875,-26.609375,-68.9375,-19.99801636,109.2538757,687.8964844,-0.5986328125,-4.435546875,19.18051147,692.3320313,2.762130737,-0.9708023071,-50.36242676,19.58920288
5,11.55598869,11.46780556,99.42395694,138.2239547,-15.73170659,24.9965743,-2.696129872,9.13615195,6.863281249,-21.865625,-26.390625,-68.3625,-18.81900024,108.8464813,687.5273438,-0.1912384033,-4.8046875,19.18051147,692.3320313,3.006271362,-1.190284729,-50.36242676,19.58920288
6,11.53373545,11.45465024,99.45284663,138.22910627,-15.74085421,25.00796143,-2.710995092,9.154538612,6.660156249,-22.059375,-26.171875,-67.7875,-18.85855103,109.8908691,687.5546875,-0.5980224609,-4.783203125,19.17459106,692.3378906,2.546798706,-1.189308167,-50.07189941,19.47909546
7,11.51148222,11.44149492,99.48173633,138.23425783,-15.75000182,25.01934855,-2.725860312,9.172925274,6.457031249,-22.253125,-25.953125,-67.2125,-19.39401245,110.3260193,688.0507813,-1.020294189,-4.4609375,19.16281128,692.5117188,2.717208862,-1.002540588,-50.57312012,19.3757019
8,11.48922899,11.4283396,99.51062603,138.23940939,-15.75914944,25.03073567,-2.740725532,9.191311935,6.253906249,-22.446875,-25.734375,-66.6375,-19.36932373,109.4863434,687.4042969,-0.1806182861,-5.107421875,19.16281128,692.5117188,2.811447144,-1.007423401,-50.57312012,19.3757019
9,11.46697576,11.41518428,99.53951573,138.24456096,-15.76829706,25.04212279,-2.755590753,9.209698597,6.050781249,-22.640625,-25.515625,-66.0625,-19.84591675,110.0619507,688.4589844,-0.1806335449,-4.798828125,19.64044189,693.2578125,2.619064331,-1.154884338,-50.18566895,19.43991089
10,11.44588904,11.40275269,99.56711796,138.25032371999998,-15.77680144,25.05352022,-2.77009742,9.227599061,5.977343749,-22.809375,-25.296875,-65.65,-19.96447754,110.1032562,688.1601563,-0.1925201416,-5.099609375,19.18682861,693.2597656,2.810470581,-1.277442932,-50.2130127,19.29464722
11,11.42480232,11.3903211,99.59472018,138.25608648,-15.78530582,25.06491764,-2.784604088,9.245499525,5.903906249,-22.978125,-25.078125,-65.2375,-20.01470947,109.8716125,687.8613281,-0.598449707,-5.39453125,19.19415283,693.2558594,2.959396362,-1.130958557,-50.21252441,19.25949097
12,11.4037156,11.3778895,99.62232241,138.26184924,-15.7938102,25.07631506,-2.799110756,9.263399989,5.830468749,-23.146875,-24.859375,-64.825,-19.98245239,109.899704,689.2050781,-0.5984649658,-5.0859375,19.16293335,694.2910156,2.766525269,-1.278419495,-50.01403809,19.36251831
