Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
0,-3.146648516,80.78426672,-14.18456213,30.7728672,5.826981654,-10.00357907,1.528558191,-3.618806205,1.378244303,-0.9012551862,259.2636719,355.9296875,615.1933594,-0.0,-0.0,0.0
1,-3.151826791,80.77771722,-14.19499203,30.76646737,5.825378638,-10.00663093,1.540307937,-3.614612317,1.368883178,-0.8958804551,259.2910156,355.9296875,615.2207031,11.749746000000005,5.374731099999974,-6.39982999999944
2,-3.157005065,80.77116772,-14.20542192,30.76006754,5.823775622,-10.0096828,1.552057684,-3.610418429,1.359522052,-0.890505724,258.6582031,356.5351563,615.1933594,11.749747000000088,5.374731099999974,-6.39982999999944
3,-3.161544968,80.76492851,-14.21544483,30.75258097,5.82214391,-10.01291154,1.563873223,-3.606591165,1.350248644,-0.8843265507,257.9980469,356.5429688,614.5410156,11.815539000000097,6.179173300000063,-7.48657000000108
4,-3.166084871,80.7586893,-14.22546773,30.7450944,5.820512198,-10.01614028,1.575688762,-3.602763902,1.340975235,-0.8781473775,258.3183594,357.1660156,615.484375,11.815538999999875,6.179173199999943,-7.48657000000108
5,-3.170624774,80.75245008,-14.23549064,30.73760783,5.818880486,-10.01936902,1.587504301,-3.598936638,1.331701827,-0.8719682042,258.0039063,356.8632813,614.8671875,11.815539000000097,6.179173300000063,-7.486569999997528
6,-3.175164676,80.74621087,-14.24551354,30.73012126,5.817248774,-10.02259776,1.59931984,-3.595109375,1.322428418,-0.865789031,258.0039063,357.4648438,615.46875,11.815538999999875,6.179173199999943,-7.48657000000108
7,-3.179704579,80.73997166,-14.25553644,30.72263469,5.815617062,-10.0258265,1.611135378,-3.591282112,1.31315501,-0.8596098577,257.6757813,357.1640625,614.8398438,11.815538000000014,6.179173300000063,-7.48657000000108
8,-3.18361883,80.73402495,-14.26518232,30.71399677,5.813993001,-10.02921376,1.622989383,-3.587855986,1.303967474,-0.8526616353,257.3769531,357.46875,614.8457031,11.854005,6.948222399999926,-8.63791999999819
9,-3.187533081,80.72807824,-14.27482819,30.70535884,5.812368941,-10.03260102,1.634843387,-3.58442986,1.294779939,-0.8457134128,256.40625,357.7734375,614.1796875,11.85400400000014,6.948222500000045,-8.63793000000257
10,-3.191447331,80.72213153,-14.28447407,30.69672091,5.81074488,-10.03598828,1.646697391,-3.581003735,1.285592403,-0.8387651904,256.40625,357.7734375,614.1796875,11.854003999999918,6.948222400000037,-8.637929999999017
11,-3.195361582,80.71618482,-14.29411994,30.68808298,5.809120819,-10.03937554,1.658551395,-3.577577609,1.276404868,-0.8318169679,256.0859375,358.0761719,614.1621094,11.854003999999918,6.948222499999934,-8.637929999999017
12,-3.199275832,80.7102381,-14.30376582,30.67944506,5.807496758,-10.0427628,1.670405399,-3.574151483,1.267217332,-0.8248687455,255.1347656,358.078125,613.2128906,11.85400400000014,6.948222400000037,-8.637920000001742
13,-3.202586427,80.70456227,-14.31307364,30.66960591,5.805913657,-10.04628892,1.682269897,-3.571164741,1.258117204,-0.8171960291,255.1074219,358.078125,613.1855469,11.864498000000001,7.672716400000001,-9.839149999997687
14,-3.205897022,80.69888643,-14.32238146,30.65976676,5.804330556,-10.04981503,1.694134396,-3.568177999,1.249017075,-0.8095233127,254.7792969,358.3828125,613.1621094,11.864498999999862,7.672716400000001,-9.83915000000124
15,-3.209207616,80.69321059,-14.33168928,30.64992761,5.802747455,-10.05334115,1.705998894,-3.565191257,1.239916946,-0.8018505963,254.484375,358.6933594,613.1777344,11.864498000000001,7.672716400000001,-9.83915000000124
16,-3.212518211,80.68753475,-14.3409971,30.64008846,5.801164355,-10.05686727,1.717863393,-3.562204514,1.230816818,-0.7941778799,254.4902344,358.9960938,613.4863281,11.864499000000084,7.672716400000001,-9.839149999997687
17,-3.215828806,80.68185891,-14.35030492,30.63024931,5.799581254,-10.06039339,1.729727891,-3.559217772,1.221716689,-0.7865051635,254.1621094,359.4375,613.5996094,11.864498000000001,7.672716400000001,-9.83915000000124
18,-3.218565293,80.67642932,-14.35932176,30.61917542,5.798068575,-10.06403821,1.741573159,-3.556710645,1.212709084,-0.7781613611,253.5214844,360.046875,613.5683594,11.845268000000075,8.343802399999989,-11.073889999998698
