Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
0,-0.05373720235,51.90750713,-24.82835756,61.97591176,1.787336179,1.0134902,0.199957122,0.8329937673,-5.043456958,0.2354062052,453.7929688,444.15625,897.9492188,-0.0,-0.0,0.0,0.0
1,-0.05530825015,51.89539992,-24.84612563,61.97070378,1.783707154,1.009343942,0.2034343806,0.8317634649,-5.048264729,0.2372022886,454.1210938,443.8671875,897.9882813,3.4772586000000048,1.7960834000000092,-5.207980000001555,575.1564999999346
2,-0.05687929794,51.88329272,-24.86389371,61.9654958,1.780078129,1.005197684,0.2069116392,0.8305331625,-5.0530725,0.238998372,455.0839844,443.4296875,898.5136719,3.4772586000000048,1.7960833999999815,-5.207980000001555,257.435600000008
3,-0.05845034574,51.87118551,-24.88166178,61.96028782,1.776449105,1.001051426,0.2103888977,0.8293028601,-5.057880271,0.2407944554,454.7910156,443.5585938,898.3496094,3.4772584999999965,1.7960834000000092,-5.207980000001555,-192.0761000000084
4,-0.06002139354,51.85907831,-24.89942985,61.95507984,1.77282008,0.9969051678,0.2138661563,0.8280725576,-5.062688041,0.2425905388,455.0722656,443.2382813,898.3105469,3.4772586000000048,1.7960834000000092,-5.20797999999445,-100.83399999996345
5,-0.06159244134,51.8469711,-24.91719792,61.94987186,1.769191055,0.9927589097,0.2173434149,0.8268422552,-5.067495812,0.2443866222,455.6875,442.5039063,898.1914063,3.4772586000000048,1.7960833999999815,-5.207980000001555,253.82189999993443
6,-0.06318998173,51.8353406,-24.93461023,61.94510204,1.765486886,0.9885058623,0.2208533542,0.825562309,-5.072449311,0.2461841242,456.0078125,442.1835938,898.1914063,3.5099392999999868,1.7975020000000064,-4.769819999999925,174.13670000007642
7,-0.06478752212,51.8237101,-24.95202254,61.94033221,1.761782716,0.9842528148,0.2243632936,0.8242823628,-5.077402809,0.2479816263,456.3359375,442.1875,898.5234375,3.5099394000000226,1.7975021000000146,-4.769830000000752,507.58239999993293
8,-0.0663850625,51.81207959,-24.96943485,61.93556239,1.758078546,0.9799997674,0.2278732329,0.8230024166,-5.082356307,0.2497791284,456.3222656,441.8847656,898.2070313,3.5099392999999868,1.797502099999987,-4.769819999999925,81.60940000004757
9,-0.06798260289,51.80044909,-24.98684716,61.93079257,1.754374377,0.9757467199,0.2313831722,0.8217224703,-5.087309805,0.2515766304,457.2910156,440.9667969,898.2578125,3.5099392999999868,1.7975020000000064,-4.769819999999925,619.1221999999925
10,-0.06958014328,51.78881858,-25.00425948,61.92602274,1.750670207,0.9714936725,0.2348931116,0.8204425241,-5.092263303,0.2533741325,457.6132813,440.9667969,898.5800781,3.5099394000000226,1.7975021000000146,-4.769830000000752,-33.940400000005866
11,-0.07120753447,51.77773185,-25.02124674,61.92171643,1.746903421,0.9671316105,0.2384269878,0.8191284084,-5.097327266,0.2551619583,458.2558594,440.8378906,899.09375,3.53387619999998,1.7878257999999758,-4.306310000004032,-220.33109999995304
12,-0.07283492566,51.76664511,-25.038234,61.91741013,1.743136636,0.9627695484,0.241960864,0.8178142928,-5.10239123,0.256949784,458.2558594,440.5234375,898.7792969,3.533876200000008,1.787825700000023,-4.306299999996099,91.86219999992318
13,-0.07446231685,51.75555837,-25.05522126,61.91310382,1.739369851,0.9584074864,0.2454947402,0.8165001771,-5.107455193,0.2587376097,458.5839844,440.5039063,899.0878906,3.533876200000008,1.7878256999999675,-4.306309999996927,365.39010000001326
14,-0.07608970804,51.74447164,-25.07220852,61.90879751,1.735603065,0.9540454244,0.2490286164,0.8151860614,-5.112519156,0.2605254355,459.5351563,439.9042969,899.4394531,3.533876200000008,1.7878258000000313,-4.306310000004032,732.8350000000228
15,-0.07771709923,51.7333849,-25.08919578,61.9044912,1.73183628,0.9496833624,0.2525624926,0.8138719457,-5.117583119,0.2623132612,459.5351563,439.6015625,899.1367188,3.533876200000008,1.7878256999999675,-4.306309999996927,-0.31490000003486784
16,-0.07938082738,51.72290629,-25.10569563,61.90066988,1.72802019,0.9452084776,0.256113951,0.81254023,-5.122722484,0.2640796867,459.5488281,439.6015625,899.1503906,3.551458399999985,1.7664255000000018,-3.821320000000128,-435.83159999991494
17,-0.08104455553,51.71242768,-25.12219548,61.89684855,1.7242041,0.9407335928,0.2596654093,0.8112085143,-5.127861849,0.2658461122,459.8261719,438.6875,898.5136719,3.5514582999999766,1.7664255000000018,-3.8213300000009554,180.54529999994884
18,-0.08270828369,51.70194908,-25.13869533,61.89302723,1.72038801,0.936258708,0.2632168676,0.8098767986,-5.133001214,0.2676125377,460.4765625,438.2480469,898.7246094,3.551458300000032,1.7664255000000018,-3.821320000000128,327.26500000001124
19,-0.08437201184,51.69147047,-25.15519518,61.88920591,1.71657192,0.9317838232,0.266768326,0.8085450829,-5.138140579,0.2693789632,460.8125,438.2480469,899.0605469,3.551458399999985,1.7664255000000018,-3.821320000000128,436.5993999999773
20,-0.08603573999,51.68099186,-25.17169503,61.88538458,1.712755831,0.9273089384,0.2703197843,0.8072133672,-5.143279944,0.2711453887,461.1074219,437.9414063,899.0488281,3.5514582999999766,1.7664255000000018,-3.8213300000009554,89.66250000003129
21,-0.08774520517,51.671183,-25.18765248,61.88206688,1.708904091,0.9227149918,0.2738849144,0.8058811112,-5.148462148,0.2728782901,461.1347656,437.9414063,899.0761719,3.5651301000000357,1.7329013999999865,-3.3176999999966483,-24.824800000033065
22,-0.08945467034,51.66137414,-25.20360992,61.87874918,1.705052352,0.9181210451,0.2774500444,0.8045488553,-5.153644352,0.2746111915,461.8027344,437.6386719,899.4414063,3.565129999999972,1.732901400000042,-3.3177000000037538,-23.668599999950857
23,-0.09116413552,51.65156528,-25.21956737,61.87543148,1.701200612,0.9135270985,0.2810151745,0.8032165994,-5.158826557,0.2763440929,462.1269531,437.3339844,899.4609375,3.5651301000000357,1.7329013999999865,-3.3176999999966483,130.22339999997712
24,-0.09287360069,51.64175642,-25.23552482,61.87211377,1.697348873,0.9089331518,0.2845803045,0.8018843434,-5.164008761,0.2780769943,462.4355469,437.0234375,899.4589844,3.565129999999972,1.7329013999999865,-3.317710000004581,489.0723999999409
25,-0.09458306587,51.63194756,-25.25148226,61.86879607,1.693497133,0.9043392052,0.2881454345,0.8005520875,-5.169190965,0.2798098957,462.0996094,437.0097656,899.109375,3.5651300000000274,1.7329013999999865,-3.3176999999966483,-433.2170999999789
26,-0.09634967971,51.62286613,-25.2668508,61.86599782,1.689623269,0.8996173156,0.2917229454,0.799235878,-5.174386194,0.2814977305,462.7363281,437.0097656,899.7460938,3.5775108999999694,1.6878348000000098,-2.798250000004998,349.44210000003295
27,-0.09811629355,51.6137847,-25.28221934,61.86319958,1.685749405,0.8948954259,0.2953004562,0.7979196684,-5.179581423,0.2831855652,463.3652344,436.5625,899.9277344,3.5775108000000166,1.6878347000000016,-2.7982399999970653,379.50739999996586
28,-0.09988290739,51.60470327,-25.29758789,61.86040133,1.681875541,0.8901735363,0.298877967,0.7966034589,-5.184776652,0.2848734,463.6855469,436.2597656,899.9453125,3.5775108000000166,1.6878348000000098,-2.7982499999978927,-25.949399999944944
29,-0.1016495212,51.59562184,-25.31295643,61.85760308,1.678001677,0.8854516467,0.3024554779,0.7952872493,-5.189971881,0.2865612347,463.6777344,436.2597656,899.9375,3.5775108999999694,1.6878347000000016,-2.798250000004998,-466.1945000000287
30,-0.1034161351,51.58654041,-25.32832497,61.85480483,1.674127812,0.8807297571,0.3060329887,0.7939710398,-5.195167111,0.2882490695,464.3300781,435.9550781,900.2851563,3.5775108000000166,1.6878348000000098,-2.7982499999978927,558.7458999999626
31,-0.1052549208,51.57823966,-25.34306599,61.85253951,1.670245295,0.8758691807,0.3096253617,0.7926868308,-5.200349284,0.2898804333,464.0195313,435.6503906,899.6699219,3.592372999999982,1.6313638000000075,-2.265319999999349,-270.18929999997
32,-0.1070937065,51.56993891,-25.35780701,61.85027419,1.666362778,0.8710086043,0.3132177347,0.7914026218,-5.205531457,0.2915117971,464.9550781,435.3457031,900.3007813,3.592372999999982,1.6313638000000075,-2.265319999999349,257.94919999998456
33,-0.1089324923,51.56163816,-25.37254803,61.84800886,1.66248026,0.866148028,0.3168101077,0.7901184128,-5.21071363,0.293143161,464.9882813,434.9140625,899.9023438,3.5923730000000376,1.6313638999999602,-2.2653300000001764,504.82610000005934
34,-0.110771278,51.55333741,-25.38728905,61.84574354,1.658597743,0.8612874516,0.3204024807,0.7888342038,-5.215895804,0.2947745248,465.6308594,435.3457031,900.9765625,3.592372999999982,1.6313638000000075,-2.265319999999349,-62.971100000027036
35,-0.1126100637,51.54503665,-25.40203007,61.84347822,1.654715226,0.8564268752,0.3239948538,0.7875499948,-5.221077977,0.2964058886,465.6191406,435.0410156,900.6601563,3.5923730999999903,1.6313638000000075,-2.265319999999349,236.1271999999417
36,-0.1145386149,51.53756561,-25.41611119,61.84175694,1.65083694,0.8514166568,0.3276083221,0.7863126646,-5.226225982,0.2979705324,465.6191406,434.7382813,900.3574219,3.6134683000000334,1.5646437999999874,-1.7212799999981598,161.76420000010694
37,-0.116467166,51.53009456,-25.43019231,61.84003567,1.646958654,0.8464064383,0.3312217903,0.7850753343,-5.231373987,0.2995351761,466.2460938,434.4355469,900.6816406,3.6134681999999696,1.5646437000000346,-1.7212700000044379,-173.47270000004755
38,-0.1183957171,51.52262351,-25.44427343,61.8383144,1.643080368,0.8413962198,0.3348352586,0.783838004,-5.236521993,0.3010998199,466.2480469,433.6914063,899.9394531,3.6134683000000334,1.5646437999999874,-1.7212699999973324,124.76709999998548
39,-0.1203242682,51.51515246,-25.45835455,61.83659312,1.639202083,0.8363860014,0.3384487269,0.7826006738,-5.241669998,0.3026644636,466.8964844,433.3710938,900.2675781,3.613468299999978,1.564643699999979,-1.7212799999981598,561.9288999999981
40,-0.1222528194,51.50768141,-25.47243567,61.83487185,1.635323797,0.8313757829,0.3420621952,0.7813633435,-5.246818003,0.3042291073,467.2011719,433.6679688,900.8691406,3.613468299999978,1.5646437000000346,-1.7212700000044379,-339.4809000000123
41,-0.1242886746,51.50108108,-25.48583246,61.8337035,1.631461146,0.8262052782,0.3457052315,0.7801861531,-5.251915347,0.3057189955,468.171875,433.3847656,901.5566406,3.643036300000013,1.4898881999999558,-1.1683500000003733,561.9682000000239
42,-0.1263245299,51.49448075,-25.49922924,61.83253515,1.627598495,0.8210347736,0.3493482677,0.7790089627,-5.257012691,0.3072088837,468.1445313,433.3769531,901.5214844,3.643036200000005,1.4898882000000113,-1.1683500000003733,40.42749999996431
43,-0.1283603852,51.48788043,-25.51262602,61.83136681,1.623735845,0.8158642689,0.3529913039,0.7778317722,-5.262110036,0.3086987719,468.1308594,432.9375,901.0683594,3.643036200000005,1.4898882000000113,-1.1683399999995459,-117.13639999993575
44,-0.1303962405,51.4812801,-25.5260228,61.83019846,1.619873194,0.8106937642,0.3566343402,0.7766545818,-5.26720738,0.3101886601,468.4785156,432.328125,900.8066406,3.643036300000013,1.4898882000000113,-1.1683500000003733,326.3931000000184
45,-0.1324320958,51.47467977,-25.53941958,61.82903011,1.616010543,0.8055232596,0.3602773764,0.7754773914,-5.272304724,0.3116785483,469.1113281,432.0253906,901.1367188,3.643036200000005,1.4898882000000113,-1.1683500000003733,332.221499999946
46,-0.1345913813,51.46898234,-25.55211545,61.82842168,1.612172541,0.8001819981,0.3639587774,0.7743720745,-5.277340552,0.3130873151,469.4042969,432.0253906,901.4296875,3.681400999999973,1.408766799999961,-0.6084299999997711,-32.948199999964345
47,-0.1367506668,51.4632849,-25.56481132,61.82781326,1.608334539,0.7948407366,0.3676401783,0.7732667577,-5.28237638,0.3144960819,470.0449219,432.0253906,902.0703125,3.6814009000000203,1.4087668000000164,-0.6084199999989437,-96.56089999998585
48,-0.1389099523,51.45758746,-25.57750718,61.82720483,1.604496536,0.7894994751,0.3713215793,0.7721614409,-5.287412208,0.3159048487,470.6972656,431.2871094,901.984375,3.681400999999973,1.4087668000000164,-0.6084299999997711,559.447299999988
49,-0.1410692378,51.45189003,-25.59020305,61.82659641,1.600658534,0.7841582136,0.3750029802,0.7710561241,-5.292448035,0.3173136155,470.6816406,430.8535156,901.5351563,3.6814009000000203,1.408766799999961,-0.6084199999989437,-44.4283000000496
50,-0.1432285233,51.44619259,-25.60289891,61.82598798,1.596820532,0.7788169521,0.3786843812,0.7699508072,-5.297483863,0.3187223823,470.6816406,430.6777344,901.359375,3.681400999999973,1.4087668000000164,-0.6084299999997711,129.22390000005635
51,-0.145524437,51.44142074,-25.6148846,61.82594371,1.593013818,0.7732955051,0.3824126064,0.7689272391,-5.302453746,0.3200461724,471.3222656,430.6777344,902.0,3.728225200000046,1.3237900999999996,-0.044270000003621135,-63.8430999999855
52,-0.1478203507,51.43664889,-25.62687028,61.82589944,1.589207103,0.767774058,0.3861408316,0.767903671,-5.307423628,0.3213699625,471.3632813,430.6777344,902.0410156,3.7282251999999905,1.3237900999999996,-0.04426999999651571,116.91439999992781
53,-0.1501162644,51.43187704,-25.63885597,61.82585517,1.585400389,0.7622526109,0.3898690567,0.766880103,-5.31239351,0.3226937526,471.9648438,430.0722656,902.0371094,3.728225099999982,1.3237900999999996,-0.044270000003621135,-164.77399999996578
54,-0.1524121782,51.42710519,-25.65084165,61.8258109,1.581593675,0.7567311638,0.3935972819,0.7658565349,-5.317363393,0.3240175427,472.2734375,429.3203125,901.59375,3.7282251999999905,1.3237900999999996,-0.04426999999651571,568.2799999999588
55,-0.1547080919,51.42233334,-25.66282734,61.82576663,1.577786961,0.7512097168,0.3973255071,0.7648329668,-5.322333275,0.3253413328,472.6132813,429.7539063,902.3671875,3.7282251999999905,1.3237900999999996,-0.044270000003621135,382.7941000000692
56,-0.1571502741,51.41849853,-25.67409976,61.82628774,1.574015839,0.7455018713,0.4011079052,0.7638989578,-5.3272384,0.3265786481,472.9648438,429.7617188,902.7265625,3.7823981000000284,1.237315299999986,0.5211100000011015,42.07579999990685
57,-0.1595924564,51.41466372,-25.68537217,61.82680885,1.570244717,0.7397940259,0.4048903032,0.7629649488,-5.332143525,0.3278159634,473.2851563,429.3125,902.5976563,3.78239800000002,1.2373153000000414,0.5211100000011015,-18.335499999921012
58,-0.1620346386,51.4108289,-25.69664459,61.82732996,1.566473595,0.7340861804,0.4086727013,0.7620309398,-5.33704865,0.3290532786,473.9277344,429.3125,903.2402344,3.782398099999973,1.2373151999999776,0.5211100000011015,-63.47770000002129
59,-0.1644768209,51.40699409,-25.70791701,61.82785107,1.562702474,0.7283783349,0.4124550993,0.7610969307,-5.341953775,0.3302905939,473.9003906,429.0,902.9003906,3.78239800000002,1.237315299999986,0.5211100000011015,53.31060000003163
60,-0.1669190031,51.40315928,-25.71918943,61.82837218,1.558931352,0.7226704895,0.4162374974,0.7601629217,-5.3468589,0.3315279091,474.2207031,428.40625,902.6269531,3.782398099999973,1.2373152000000331,0.5211100000011015,123.46059999993031
61,-0.1695140021,51.40026236,-25.72974994,61.82945671,1.555197415,0.7167749173,0.420079468,0.7593241542,-5.351707056,0.3326783227,474.8554688,428.40625,903.2617188,3.841970600000022,1.1504135999999554,1.0845299999999725,321.02640000005067
62,-0.1721090011,51.39736545,-25.74031044,61.83054125,1.551463478,0.7108793452,0.4239214385,0.7584853867,-5.356555211,0.3338287363,475.4863281,428.40625,903.8925781,3.8419705000000137,1.150413600000011,1.0845400000007999,360.1083999999446
