Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
0,-0.3205832233,55.80003702,-22.01453417,66.84868465,2.806393438,-2.40823443,0.4443664385,-0.7108259737,-3.313993706,0.1123279288,443.1738281,454.6582031,897.8320313,-0.0,-0.0,0.0
1,-0.3193513207,55.80133096,-22.02230248,66.84838469,2.801627286,-2.415573396,0.4434527815,-0.7103205438,-3.319554744,0.1126762912,443.5234375,454.0488281,897.5722656,-0.9136570000000122,0.3483623999999963,-0.2999599999924385
2,-0.3181194182,55.8026249,-22.03007079,66.84808473,2.796861134,-2.422912363,0.4425391245,-0.7098151138,-3.325115782,0.1130246536,443.2226563,454.0449219,897.2675781,-0.9136570000000122,0.3483623999999963,-0.29996000000664935
3,-0.3168875157,55.80391883,-22.03783909,66.84778478,2.792094981,-2.43025133,0.4416254674,-0.7093096839,-3.330676821,0.113373016,443.2226563,454.0449219,897.2675781,-0.9136570999999649,0.3483623999999963,-0.2999499999987165
4,-0.3158070939,55.80689764,-22.04500376,66.84706333,2.787199098,-2.43795546,0.4408909155,-0.7088120771,-3.336362853,0.1137516598,443.4960938,453.7324219,897.2285156,-0.7345519000000467,0.37864380000000863,-0.7214500000003454
5,-0.3147266721,55.80987646,-22.05216843,66.84634188,2.782303215,-2.445659591,0.4401563636,-0.7083144704,-3.342048886,0.1141303036,443.5429688,453.7363281,897.2792969,-0.7345518999999912,0.37864379999999476,-0.7214500000003454
6,-0.3136462504,55.81285527,-22.05933309,66.84562044,2.777407332,-2.453363721,0.4394218117,-0.7078168637,-3.347734918,0.1145089474,444.1914063,453.7519531,897.9433594,-0.7345518999999912,0.37864380000000863,-0.7214399999924126
7,-0.3125658286,55.81583409,-22.06649776,66.84489899,2.772511449,-2.461067852,0.4386872598,-0.707319257,-3.353420951,0.1148875912,444.4609375,453.4472656,897.9082031,-0.7345518999999912,0.37864379999999476,-0.7214500000003454
8,-0.3114854069,55.8188129,-22.07366243,66.84417754,2.767615566,-2.468771983,0.4379527079,-0.7068216502,-3.359106983,0.1152662349,444.7890625,453.140625,897.9296875,-0.7345518999999912,0.37864370000000036,-0.7214500000003454
9,-0.3105807276,55.82341514,-22.08025323,66.84288656,2.762576974,-2.476847569,0.4374257322,-0.7063366712,-3.364909177,0.1156794502,445.109375,453.125,898.234375,-0.526975700000043,0.4132153000000055,-1.2909800000073801
10,-0.3096760483,55.82801738,-22.08684404,66.84159557,2.757538382,-2.484923155,0.4368987564,-0.7058516922,-3.370711371,0.1160926655,445.1328125,453.1230469,898.2558594,-0.5269757999999958,0.4132152999999916,-1.290990000001102
11,-0.3087713691,55.83261963,-22.09343484,66.84030459,2.75249979,-2.492998742,0.4363717807,-0.7053667132,-3.376513564,0.1165058807,444.8242188,452.2265625,897.0507813,-0.5269756999999875,0.41321519999999723,-1.2909799999931693
12,-0.3078666898,55.83722187,-22.10002565,66.8390136,2.747461199,-2.501074328,0.435844805,-0.7048817342,-3.382315758,0.116919096,444.7988281,452.8378906,897.6367188,-0.5269756999999875,0.4132153000000055,-1.290990000001102
13,-0.3069620105,55.84182411,-22.10661645,66.83772262,2.742422607,-2.509149915,0.4353178292,-0.7043967552,-3.388117951,0.1173323113,444.7929688,452.5292969,897.3222656,-0.5269757999999958,0.4132153000000055,-1.2909800000073801
14,-0.3062463982,55.84791578,-22.11268774,66.83575309,2.737226384,-2.517597967,0.4350146333,-0.7039287812,-3.394027801,0.1177830015,445.7519531,452.0839844,897.8359375,-0.3031958999999973,0.4506901999999924,-1.9695299999966664
15,-0.3055307859,55.85400745,-22.11875903,66.83378356,2.732030161,-2.52604602,0.4347114374,-0.7034608073,-3.399937651,0.1182336918,445.4550781,452.5175781,897.9726563,-0.3031958999999973,0.45069030000000065,-1.9695299999966664
16,-0.3048151736,55.86009912,-22.12483031,66.83181403,2.726833938,-2.534494072,0.4344082415,-0.7029928333,-3.405847501,0.1186843821,445.1328125,451.90625,897.0390625,-0.3031958999999973,0.45069030000000065,-1.9695299999966664
17,-0.3040995612,55.8661908,-22.1309016,66.8298445,2.721637715,-2.542942125,0.4341050456,-0.7025248593,-3.41175735,0.1191350724,445.7519531,451.78125,897.5332031,-0.3031958999999973,0.45069030000000065,-1.9695300000108773
18,-0.3033839489,55.87228247,-22.13697288,66.82787497,2.716441492,-2.551390177,0.4338018497,-0.7020568854,-3.4176672,0.1195857627,445.7773438,451.78125,897.5585938,-0.3031958999999973,0.45069030000000065,-1.9695299999966664
19,-0.3028600923,55.87966556,-22.14259832,66.82516704,2.711072344,-2.56020605,0.4337262164,-0.7016096363,-3.423676167,0.1200749956,446.0742188,451.78125,897.8554688,-0.0756333000000442,0.4892328999999973,-2.707929999999692
