Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque X,Front Torque Y,Back Torque X,Back Torque Y
0,11.16034232,28.99344837,-94.72339617,138.05642804000001,-9.742287293,21.0960276,-2.71978387,9.45959616,-2.705078126,-25.484375,-31.09375,-81.25,-22.43533325,110.7268677,673.546875,-0.9973144531,-4.6484375,21.81704712,678.1953125,3.4506073,-0.9451675415,-82.40686035,33.25924683
1,11.13402732,28.98832917,-94.73452019,138.06352892,-9.737343847,21.09086583,-2.737877233,9.496377161,-2.864453126,-25.34375,-30.68125,-81.225,-22.47146606,111.1436462,673.4277344,-1.403259277,-4.63671875,21.81130981,678.0644531,3.406661987,-0.946144104,-82.46911621,33.08334351
2,11.10771231,28.98320997,-94.74564421,138.07062981,-9.7324004,21.08570405,-2.755970597,9.533158163,-3.023828126,-25.203125,-30.26875,-81.2,-23.04476929,111.1519318,673.4785156,-1.415328979,-4.28515625,21.81448364,677.7636719,3.593673706,-0.7610855103,-82.3236084,33.01095581
3,11.08139731,28.97809077,-94.75676823,138.07773069,-9.727456954,21.08054227,-2.77406396,9.569939165,-3.183203126,-25.0625,-29.85625,-81.175,-23.0475769,111.1522522,673.1542969,-1.415649414,-4.609375,21.81448364,677.7636719,3.3881073,-0.9139175415,-82.3236084,33.01095581
4,11.0550823,28.97297158,-94.76789225,138.08483158,-9.722513507,21.0753805,-2.792157324,9.606720166,-3.342578126,-24.921875,-29.44375,-81.15,-23.52700806,111.7273102,672.5488281,-1.415634155,-4.91796875,22.2928772,677.4667969,3.580490112,-0.766456604,-82.14343262,32.97311401
5,11.0287673,28.96785238,-94.77901626,138.09193247000002,-9.71757006,21.07021872,-2.810250687,9.643501168,-3.501953125,-24.78125,-29.03125,-81.125,-23.50210571,112.7690277,672.5527344,-1.825546265,-4.3125,22.29470825,676.8652344,3.577072144,-0.7593765259,-81.55895996,32.86361694
6,11.00122045,28.96222044,-94.78957411,138.09865118,-9.712239125,21.06544929,-2.829013988,9.680562015,-3.58046875,-24.709375,-28.734375,-81.125,-23.52322388,112.3611755,672.5605469,-1.415649414,-4.609375,22.29013062,677.1699219,3.3881073,-0.9139175415,-81.70690918,32.7906189
7,10.9736736,28.9565885,-94.80013195,138.1053699,-9.70690819,21.06067986,-2.84777729,9.717622862,-3.658984375,-24.6375,-28.4375,-81.125,-23.98019409,111.6994934,672.1230469,-1.415649414,-4.609375,22.74710083,676.7324219,3.3881073,-0.9139175415,-81.59680176,32.50741577
8,10.94612675,28.95095656,-94.81068979,138.11208861,-9.701577254,21.05591043,-2.866540592,9.754683709,-3.7375,-24.565625,-28.140625,-81.125,-23.86685181,112.9472961,671.8457031,-1.403778076,-4.30859375,23.2059021,676.1542969,3.19670105,-0.7913589478,-81.27697754,32.57528687
9,10.9185799,28.94532462,-94.82124764,138.11880733,-9.696246319,21.05114099,-2.885303893,9.791744556,-3.816015625,-24.49375,-27.84375,-81.125,-24.44216919,112.9553833,671.2402344,-1.415649414,-4.609375,23.20907593,675.8496094,3.3881073,-0.9139175415,-81.13098145,32.50289917
10,10.89103305,28.93969268,-94.83180548,138.12552604,-9.690915383,21.04637156,-2.904067195,9.828805403,-3.89453125,-24.421875,-27.546875,-81.125,-24.43041992,113.1560211,670.2988281,-1.010025024,-5.25390625,23.23529053,675.5527344,3.419113159,-0.9183120728,-80.97668457,32.4649353
11,10.86234771,28.93349414,-94.84190083,138.13193307,-9.685387597,21.04196784,-2.923419274,9.866146719,-3.92890625,-24.16875,-27.478125,-81.15,-24.42779541,113.1631012,669.8691406,-1.010025024,-5.25390625,23.23266602,675.1230469,3.419113159,-0.9183120728,-80.89318848,32.21676636
12,10.83366238,28.92729561,-94.85199619,138.13834008999999,-9.679859811,21.03756413,-2.942771354,9.903488034,-3.96328125,-23.915625,-27.409375,-81.175,-24.47436523,113.563446,670.2324219,-1.416168213,-4.28125,23.24041748,674.5136719,3.178146362,-0.7591323853,-80.59924316,32.21737671
13,10.80497704,28.92109708,-94.86209154,138.14474712,-9.674332025,21.03316041,-2.962123434,9.94082935,-3.99765625,-23.6625,-27.340625,-81.2,-24.00662231,114.0014191,669.5839844,-1.826705933,-4.62890625,22.79281616,674.2128906,2.956222534,-0.9102554321,-80.18811035,31.99960327
14,10.77629171,28.91489854,-94.8721869,138.15115414000002,-9.668804239,21.02875669,-2.981475513,9.978170665,-4.03203125,-23.409375,-27.271875,-81.225,-23.45791626,113.7332611,668.2128906,-0.9981536865,-4.953125,22.83493042,673.1660156,3.227706909,-0.795753479,-80.08825684,31.78890991
15,10.74760637,28.90870001,-94.88228225,138.15756117,-9.663276453,21.02435298,-3.000827593,10.01551198,-4.066406251,-23.15625,-27.203125,-81.25,-23.46951294,115.1869812,668.2050781,-1.814300537,-4.96484375,22.8276062,673.1699219,3.167160034,-0.7952651978,-80.0892334,31.82394409
16,10.71788466,28.90189905,-94.8920008,138.16372126,-9.657389417,21.02043002,-3.020837856,10.05309749,-4.307812501,-22.775,-27.253125,-81.2125,-23.9236145,115.1992493,667.9296875,-1.814453125,-4.646484375,23.27072144,672.5761719,3.363937378,-0.9471206665,-79.7767334,31.82223511
17,10.68816294,28.89509809,-94.90171934,138.16988135,-9.651502381,21.01650706,-3.04084812,10.09068299,-4.549218751,-22.39375,-27.303125,-81.175,-23.95126343,115.805481,667.6367188,-1.814453125,-4.646484375,23.29837036,672.2832031,3.363937378,-0.9471206665,-79.3314209,31.6388855
18,10.65844122,28.88829712,-94.91143789,138.17604144,-9.645615345,21.0125841,-3.060858383,10.1282685,-4.790625001,-22.0125,-27.353125,-81.1375,-24.38345337,115.8309784,667.5449219,-1.814956665,-4.318359375,23.72976685,671.8632813,3.15397644,-0.7923355103,-79.52038574,31.53378296
19,10.6287195,28.88149616,-94.92115643,138.18220152,-9.639728309,21.00866114,-3.080868647,10.16585401,-5.032031251,-21.63125,-27.403125,-81.1,-24.42456055,115.7709198,666.3105469,-1.815383911,-4.62890625,23.75595093,670.9394531,3.33732605,-0.9495620728,-79.07556152,31.31918335
20,10.59899779,28.8746952,-94.93087498,138.18836161000002,-9.633841273,21.00473818,-3.10087891,10.20343951,-5.273437502,-21.25,-27.453125,-81.0625,-25.02850342,117.6384735,666.0566406,-1.827316284,-4.6015625,23.80078125,670.6582031,3.327804565,-0.612159729,-78.6204834,31.35055542
21,10.56834485,28.86727768,-94.94027309,138.19432805,-9.627612503,21.00131127,-3.121518501,10.24126954,-5.587500002,-21.075,-27.375,-80.9875,-24.57745361,117.6727753,664.6679688,-1.827133179,-5.251953125,23.34771729,669.9199219,3.332199097,-0.9200210571,-78.70812988,31.17538452
22,10.53769191,28.85986015,-94.94967121,138.20029449,-9.621383733,20.99788436,-3.142158092,10.27909958,-5.901562502,-20.9,-27.296875,-80.9125,-23.97357178,117.2820587,664.2480469,-1.433151245,-4.9375,23.34820557,669.1855469,3.137374878,-0.797706604,-78.4786377,30.85482788
