Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
0,6.224072759,-2.208528877,13.30986002,15.57527402,-1.151999407,71.71711196,-93.84319345,130.96601833,-2.130711090093214,102.0266999590151,-0.032458821547547735,-0.7777032299252813,-22.80584741375338,0.11793544612589364,10.03984375,16.509375,1.001171875,-5.065625
1,6.224175969,-2.20641774,13.3122359,15.57159296,-1.143748448,71.76767399,-93.84912296,130.99731325,-2.039697465241653,102.00925345481677,-0.031974552991372154,-0.7742139306619586,-22.858914582481006,0.09743871586214839,11.203125,15.453125,0.9946289053,-4.92578125
2,6.225026985,-2.204175948,13.3148077,15.56825032,-1.136152355,71.81565228,-93.85535172,131.0274489,-2.0831437308868503,101.9450093004193,-0.031940878684700025,-0.7077119917609844,-22.912506253024436,0.07726349870697292,10.7859375,14.8890625,0.7003906241,-4.8859375
3,6.225878,-2.201934156,13.3173795,15.56490767,-1.128556261,71.86363058,-93.86158048,131.05758456,-2.0836215853799507,101.97723400275333,-0.032454010929306304,-0.6765135512889224,-22.96648580557825,0.057488333458496195,10.36875,14.325,0.4061523428,-4.84609375
4,6.226729015,-2.199692364,13.3199513,15.56156503,-1.120960168,71.91160887,-93.86780924,131.08772021,-2.0376930420252846,101.94685657387265,-0.032454010929306304,-0.6765135512889224,-23.020714555186114,0.03819145831699435,9.951562499,13.7609375,0.1119140616,-4.80625
5,6.227580031,-2.197450572,13.32252311,15.55822239,-1.113364074,71.95958716,-93.874038,131.11785587,-2.03571427640636,101.91606864445073,-0.03240109417068634,-0.7109960381264647,-23.07505260047204,0.019450382049763848,9.534374999,13.196875,-0.1823242197,-4.76640625
6,6.228431046,-2.195208779,13.32509491,15.55487975,-1.105767981,72.00756546,-93.88026676,131.14799152,-2.034944577908089,101.91545288312997,-0.032454010929306304,-0.6765135512889224,-23.129359684539974,0.0013414500213377255,9.117187501,12.6328125,-0.4765625008,-4.7265625
7,6.229966551,-2.192847799,13.32773617,15.55192913,-1.098948613,72.05283813,-93.88685427,131.17676937,-2.0370933194615213,101.96019802011413,-0.07760323430751284,-0.7405524554157865,-23.183496062133965,-0.016060592109406486,9.309375001,12.0984375,-0.7181640633,-4.580078125
8,6.231502055,-2.190486819,13.33037743,15.54897851,-1.092129245,72.09811081,-93.89344179,131.20554721,-2.0820084260748026,101.92899957964205,-0.07636369922338872,-0.7066857272717718,-23.237323367976938,-0.03268303384553009,9.501562501,11.5640625,-0.9597656258,-4.43359375
9,6.23303756,-2.188125839,13.33301869,15.54602789,-1.085309876,72.14338348,-93.9000293,131.23432505,-2.0811008228506576,101.94234101537458,-0.0750616261546707,-0.7095592678415671,-23.290705481745995,-0.04845563107625036,9.693750001,11.0296875,-1.201367188,-4.287109375
