Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque,Back Torque
10,3.819188244,20.8117036,44.71647926,138.99414145,-8.914824548,17.3535563,5.014122306,7.238244692,1.650976562,-25.809375,-25.628125,-31.18125,28.5284729,77.14448547,732.1191406,17.8709259,74.05664063,-17.6550293,658.0625,-3.7184964728644716,8.880758015419747
11,3.819959412,20.8508613,44.73470373,139.01770383000002,-8.924386934,17.39157375,5.010173971,7.247355041,1.506054687,-25.634375,-26.084375,-31.440625,28.05407715,77.72389221,733.1679688,17.8709259,74.05664063,-17.18063354,659.1113281,-3.7059652992862895,8.845106379632186
12,3.820730579,20.89001899,44.7529282,139.04126622,-8.933949319,17.4295912,5.006225635,7.256465389,1.361132812,-25.459375,-26.540625,-31.7,28.06774902,78.36312866,733.4902344,17.87127686,74.06835938,-17.1925354,659.421875,-3.6916261286007024,8.809290907999593
13,3.821501747,20.92917668,44.77115266,139.0648286,-8.943511704,17.46760865,5.0022773,7.265575738,1.216210937,-25.284375,-26.996875,-31.959375,28.07818604,78.37278748,734.7128906,17.8712616,74.37890625,-17.20193481,660.3339844,-3.6754145403476866,8.773343127977725
14,3.822272915,20.96833437,44.78937713,139.08839097999999,-8.95307409,17.50562609,4.998328964,7.274686086,1.071289063,-25.109375,-27.453125,-32.21875,28.06051636,78.98542786,736.0664063,17.8712616,74.37890625,-17.18426514,661.6875,-3.657269316582633,8.73729083443202
15,3.822840334,21.00805259,44.80714409,139.11177322,-8.962153839,17.5435605,4.993732752,7.283620549,1.206250001,-25.0375,-27.175,-32.29375,27.48751831,78.99781799,736.0917969,17.85887146,74.40429688,-17.18426514,661.6875,-3.637132865412576,8.701157936750713
16,3.823407753,21.0477708,44.82491106,139.13515546,-8.971233588,17.5814949,4.98913654,7.292555011,1.341210938,-24.965625,-26.896875,-32.36875,27.52963257,80.05847168,736.2460938,17.44866943,74.37695313,-17.20343018,661.8691406,-3.61495164956462,8.664964349692852
17,3.823975172,21.08748901,44.84267802,139.1585377,-8.980313338,17.6194293,4.984540328,7.301489473,1.476171876,-24.89375,-26.61875,-32.44375,27.64474487,79.65026855,737.3203125,17.87158203,74.70117188,-16.765625,662.6191406,-3.5906766157681806,8.628725928141792
18,3.824542591,21.12720723,44.86044498,139.18191993,-8.989393087,17.65736371,4.979944116,7.310423935,1.611132813,-24.821875,-26.340625,-32.51875,28.09518433,80.2756958,737.9199219,17.87158203,74.70117188,-17.21606445,663.21875,-3.5642636206678415,8.59245444579138
19,3.82511001,21.16692544,44.87821195,139.20530217,-8.998472836,17.69529811,4.975347904,7.319358398,1.746093751,-24.75,-26.0625,-32.59375,27.20507813,80.26246643,737.625,17.87159729,74.390625,-16.32699585,663.234375,-3.5356738491698443,8.556157617698702
20,3.825483457,21.20709563,44.89553759,139.22849156,-9.007035749,17.73310798,4.97011781,7.328085859,2.007421876,-24.903125,-25.60625,-32.84375,27.6711731,80.66055298,738.1914063,17.46139526,74.36328125,-16.7701416,663.828125,-3.504874221391647,8.519839166432872
21,3.825856904,21.24726581,44.91286323,139.25168094,-9.015598662,17.77091785,4.964887717,7.336813321,2.268750001,-25.05625,-25.15,-33.09375,27.21099854,80.26863098,738.2207031,17.8712616,74.37890625,-16.33474731,663.8417969,-3.4718377845450497,8.48349893111599
22,3.826230351,21.287436,44.93018886,139.27487032,-9.024161575,17.80872772,4.959657624,7.345540783,2.530078126,-25.209375,-24.69375,-33.34375,27.21276855,80.27101135,738.2050781,17.8709259,74.05664063,-16.33932495,664.1484375,-3.436544086122011,8.447133017973888
23,3.826603799,21.32760618,44.9475145,139.29805971,-9.032724488,17.84653759,4.954427531,7.354268245,2.791406251,-25.3625,-24.2375,-33.59375,27.25762939,79.87208557,737.4472656,18.27690125,73.73242188,-16.34338379,663.7148438,-3.39897952478069,8.410733990173277
24,3.826977246,21.36777637,44.96484014,139.32124909,-9.041287401,17.88434746,4.949197438,7.362995707,3.052734376,-25.515625,-23.78125,-33.84375,26.69696045,79.86447144,738.0605469,18.28833008,74.04101563,-16.34506226,664.0195313,-3.3591376754291136,8.374291093847939
25,3.827196813,21.40828298,44.98174464,139.3442389,-9.049299981,17.92199311,4.943365378,7.371486197,3.312500001,-25.4875,-23.55625,-34.225,26.66467285,80.47428894,738.4003906,18.28852844,74.37304688,-16.32202148,664.0273438,-3.3170195851749464,8.337790516417655
26,3.827416381,21.44878959,44.99864914,139.36722872,-9.057312561,17.95963876,4.937533318,7.379976688,3.572265626,-25.459375,-23.33125,-34.60625,27.06518555,80.86753845,737.9707031,17.88258362,74.38867188,-16.76437378,663.5820313,-3.272634037006092,8.301215672641769
27,3.827635948,21.4892962,45.01555364,139.39021853,-9.06532514,17.99728441,4.931701258,7.388467178,3.832031251,-25.43125,-23.10625,-34.9875,27.62857056,80.8789978,737.9707031,17.87112427,74.38867188,-16.76437378,663.5820313,-3.22599777821382,8.264547513375815
28,3.827855516,21.52980282,45.03245814,139.41320833999998,-9.07333772,18.03493006,4.925869198,7.396957668,4.091796876,-25.403125,-22.88125,-35.36875,27.02932739,81.47807312,738.2871094,17.88209534,74.6953125,-16.74133301,663.5917969,-3.1771357106087965,8.227764851770306
29,3.828075083,21.57030943,45.04936264,139.43619815,-9.0813503,18.07257571,4.920037138,7.405448159,4.351562501,-25.375,-22.65625,-35.75,27.06378174,81.51268005,737.8496094,17.88209534,74.6953125,-16.77578735,663.1542969,-3.126081039539887,8.190844701689741
30,3.828216224,21.6110285,45.06587468,139.45899022999998,-9.088783615,18.1100182,4.91365531,7.41367148,4.503906251,-25.53125,-22.4875,-35.9375,26.68389893,81.53735352,738.125,17.87738037,74.65039063,-16.34494019,663.4746094,-3.0728753787004064,8.153762623399338
31,3.828357364,21.65174757,45.08238673,139.48178231,-9.096216929,18.14746069,4.907273481,7.421894801,4.656250001,-25.6875,-22.31875,-36.125,26.20999146,82.11933899,737.0839844,17.87739563,74.33984375,-15.87207031,662.7441406,-3.017568807759369,8.116493071967675
32,3.828498504,21.69246665,45.09889877,139.5045744,-9.103650244,18.18490319,4.900891653,7.430118122,4.808593751,-25.84375,-22.15,-36.3125,26.66247559,82.14692688,737.4316406,17.87721252,74.99023438,-16.32254028,662.4414063,-2.960219880019907,8.079009744238547
33,3.828639645,21.73318572,45.11541081,139.52736648,-9.111083559,18.22234568,4.894509825,7.438341443,4.960937501,-26.0,-21.98125,-36.5,26.60644531,82.54927063,737.4648438,17.47108459,75.32617188,-16.31936646,662.1386719,-2.9008955776619,8.041285920580199
34,3.828780785,21.77390479,45.13192286,139.55015856,-9.118516874,18.25978817,4.888127996,7.446564764,5.11328125,-26.15625,-21.81249999,-36.6875,25.58813477,82.50689697,737.1425781,17.48223877,75.00390625,-15.86721802,662.1386719,-2.8396712127505412,8.003294798017906
35,3.828946951,21.8147099,45.14808466,139.57276588,-9.125353699,18.29698556,4.881270532,7.454493926,5.14140625,-26.1,-19.95937499,-37.05,25.61434937,82.54133606,737.3496094,17.48240662,75.64648438,-15.90167236,661.703125,-2.77663027304002,7.965009811937088
36,3.829113117,21.85551501,45.16424645,139.59537319999998,-9.132190523,18.33418295,4.874413068,7.462423087,5.16953125,-26.04375,-18.10624999,-37.4125,25.61367798,82.53753662,737.3535156,17.48239136,75.95507813,-15.89996338,661.3984375,-2.71186421248628,7.926404944306952
37,3.829279283,21.89632013,45.18040825,139.61798052,-9.139027348,18.37138034,4.867555604,7.470352249,5.19765625,-25.9875,-16.25312499,-37.775,25.16723633,82.55563354,737.6875,17.48223877,76.2734375,-15.46453857,661.4140625,-2.64547218711715,7.8874550171244255
38,3.829445449,21.93712524,45.19657005,139.64058784,-9.145864173,18.40857772,4.86069814,7.478281411,5.22578125,-25.93125,-14.39999999,-38.1375,24.07089233,82.15112305,737.71875,17.88674927,76.3046875,-15.46453857,661.4140625,-2.577560737441957,7.848135970272553
39,3.829611615,21.97793035,45.21273185,139.66319517,-9.152700997,18.44577511,4.853840676,7.486210573,5.253906251,-25.875,-12.54687501,-38.5,24.078125,82.16195679,737.5878906,17.88674927,76.3046875,-15.47177124,661.2832031,-2.5082434190243705,7.808425123140786
40,3.829928216,22.01870081,45.22859635,139.68564534,-9.158932714,18.48268255,4.846602563,7.493821972,5.359375001,-25.93125,-14.45625001,-38.9,24.48199463,81.73222351,738.2324219,18.29679871,76.9609375,-15.90859985,661.2714844,-2.4376403833625924,7.7683014192944855
41,3.830244817,22.05947128,45.24446084,139.70809552,-9.16516443,18.51959,4.839364449,7.50143337,5.464843751,-25.9875,-16.36562501,-39.3,23.61590576,82.10548401,738.5117188,17.91029358,77.2265625,-15.02096558,661.2851563,-2.365877911936847,7.727745653402134
42,3.830561418,22.10024175,45.26032534,139.73054568999999,-9.171396146,18.55649744,4.832126335,7.509044769,5.570312501,-26.04375,-18.27500001,-39.7,23.58111572,81.69595337,739.1875,18.31982422,77.90234375,-15.02096558,661.2851563,-2.293087907173176,7.686740679627941
43,3.830878019,22.14101222,45.27618984,139.75299587,-9.177627862,18.59340488,4.824888221,7.516656167,5.675781251,-26.1,-20.18437501,-40.1,23.58227539,83.35731506,739.8085938,17.90983582,78.20703125,-15.00842285,661.6015625,-2.2194073449473284,7.645271600766611
44,3.83119462,22.18178269,45.29205434,139.77544604,-9.183859579,18.63031232,4.817650107,7.524267566,5.781250002,-26.15625,-22.09375001,-40.5,23.08752441,82.32868958,740.8261719,18.32722473,78.19140625,-15.03515625,662.6347656,-2.144977693863184,7.603325937506082
45,3.831779684,22.22244048,45.30767173,139.79778327,-9.189476645,18.66688652,4.810145251,7.531540318,6.120312502,-26.365625,-23.66562501,-40.63125,23.65087891,82.34013367,740.8261719,18.31578064,78.19140625,-15.03515625,662.6347656,-2.0699443067766454,7.560893777335737
46,3.832364748,22.26309828,45.32328911,139.82012051,-9.195093712,18.70346072,4.802640395,7.53881307,6.459375002,-26.575,-25.23750001,-40.7625,23.05273438,81.91914368,741.5,18.73677063,78.86523438,-15.03515625,662.6347656,-1.9944557900205064,7.517967902733252
