Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
0,-0.1260203449,65.44149798,-16.06838712,66.55909975,0.7518956232,-5.970130715,0.3749652858,-1.156202838,-6.537537945,0.2373697868,434.4628906,466.7070313,901.1699219,-0.0,-0.0,0.0
1,-0.1243020158,65.42776919,-16.08026521,66.55593969,0.7505470855,-5.973083826,0.3748371471,-1.155920764,-6.538681875,0.2389986292,435.1035156,466.6992188,901.8027344,-0.12813870000000227,1.6288423999999968,-3.160059999999021
2,-0.1225836867,65.41404041,-16.09214329,66.55277964,0.7491985478,-5.976036938,0.3747090083,-1.15563869,-6.539825806,0.2406274716,435.1035156,466.3964844,901.5,-0.12813880000001054,1.6288423999999968,-3.160050000005299
3,-0.1208653577,65.40031162,-16.10402138,66.54961959,0.74785001,-5.978990049,0.3745808695,-1.155356616,-6.540969736,0.242256314,435.7636719,465.7851563,901.5488281,-0.12813879999995503,1.6288423999999968,-3.160049999991088
4,-0.1191699112,65.38531053,-16.11714309,66.5449963,0.7463665101,-5.981869785,0.3744503024,-1.154989712,-6.542147073,0.2438584856,436.3847656,465.3515625,901.7363281,-0.13056710000003413,1.6021716000000075,-4.623290000012048
5,-0.1174744647,65.37030945,-16.1302648,66.54037301,0.7448830102,-5.98474952,0.3743197352,-1.154622809,-6.54332441,0.2454606573,436.7324219,465.0488281,901.78125,-0.1305671999999869,1.602171699999988,-4.623289999997837
6,-0.1157790182,65.35530836,-16.14338651,66.53574972,0.7433995103,-5.987629256,0.3741891681,-1.154255905,-6.544501748,0.247062829,437.0058594,465.3496094,902.3554688,-0.13056709999997862,1.6021717000000157,-4.623289999997837
7,-0.1140835717,65.34030728,-16.15650821,66.53112643,0.7419160104,-5.990508992,0.3740586009,-1.153889002,-6.545679085,0.2486650006,437.6757813,464.6132813,902.2890625,-0.1305672000000424,1.6021715999999797,-4.623289999997837
8,-0.1123881252,65.32530619,-16.16962992,66.52650314,0.7404325104,-5.993388728,0.3739280338,-1.153522098,-6.546856422,0.2502671723,437.7011719,464.3066406,902.0078125,-0.13056709999997862,1.6021717000000157,-4.623289999997837
9,-0.1107243844,65.30878872,-16.18415467,66.52041661,0.7388110346,-5.996206288,0.3738067696,-1.153072769,-6.548085639,0.2518453863,437.96875,463.9902344,901.9589844,-0.12126420000002636,1.5782139999999667,-6.086530000004586
10,-0.1090606436,65.29227124,-16.19867942,66.51433008,0.7371895587,-5.999023848,0.3736855054,-1.15262344,-6.549314855,0.2534236004,438.2832031,463.5761719,901.859375,-0.12126419999997085,1.5782141000000305,-6.086530000004586
11,-0.1073969028,65.27575377,-16.21320417,66.50824355,0.7355680829,-6.001841409,0.3735642412,-1.152174111,-6.550544072,0.2550018144,438.6308594,463.2695313,901.9003906,-0.12126420000002636,1.5782140000000222,-6.0865299999903755
12,-0.1057331621,65.2592363,-16.22772892,66.50215701,0.733946607,-6.004658969,0.373442977,-1.151724781,-6.551773288,0.2565800285,438.9628906,462.9667969,901.9296875,-0.12126419999997085,1.578214099999975,-6.086539999998308
