	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d
8	8.00000	0.02800	99.65376	89.21672	-17.88246	-21.80851	51.09787	-16.15895	20.27917	-35.88779	-4.16032	-9.15844	-0.41623	3.59888	-7.31696	-1.86650	-14.61820	-2.94042	19.64368	-29.68482	-32.80458	38.71902	42.03361	0.44621	0.46463	-0.12738	-0.11559	
9	9.00000	0.03200	99.78896	89.34291	-17.82286	-22.11246	50.78547	-16.35728	20.27395	-36.03031	-3.91724	-8.95704	-0.43831	3.67679	-7.21322	19.13266	103.86285	42.46538	-32.07568	-78.56046	-138.11115	56.73007	48.41505	0.44705	0.46508	-0.06137	-0.07942	
10	10.00000	0.03600	99.99873	88.95691	-19.41599	-22.16006	51.89017	-16.57780	20.10946	-36.59980	-3.70873	-8.83675	-0.21036	3.54329	-6.65337	32.17178	54.44785	-12.71009	-31.18373	9.82731	-65.93564	65.49424	37.41731	0.44793	0.46547	-0.01886	-0.04715	
11	11.00000	0.04000	99.69615	89.09154	-19.05185	-21.99897	52.00163	-15.92592	19.93439	-36.96408	-3.39322	-8.72087	-0.32893	3.65741	-7.03926	40.83369	6.68945	-51.53377	-27.52154	79.13166	22.84526	25.39056	30.29387	0.44852	0.46602	0.03449	-0.14681	
12	12.00000	0.04400	99.58708	88.74029	-20.75299	-21.93451	53.76339	-15.09801	19.45240	-37.80809	-3.50518	-8.60707	-0.15238	3.72895	-6.92139	15.28318	16.44402	-18.03552	5.13840	93.26753	32.49606	5.24165	1.13584	0.44866	0.46611	0.10930	-0.32328	
13	13.00000	0.04800	99.56305	89.13183	-20.76399	-21.90576	54.33688	-14.94980	19.53618	-37.62378	-3.34263	-8.70331	-0.33570	3.71269	-7.02123	-34.61042	3.63559	-6.76683	18.95672	103.49247	22.64933	28.27259	-9.55260	0.44814	0.46596	0.15071	-0.44280	
14	14.00000	0.05200	99.51524	88.89264	-23.13577	-22.07838	56.80142	-13.41309	19.29438	-39.21449	-3.25604	-8.68961	0.19964	3.49222	-6.65141	-68.86587	-24.97681	-16.23223	-29.55465	68.68294	16.40353	10.82704	-1.83795	0.44786	0.46556	0.11595	-0.43069	
15	15.00000	0.05600	99.42502	88.89351	-22.56488	-22.17249	56.55605	-14.06897	19.39147	-38.32380	-3.22880	-8.70811	0.00989	3.49947	-6.72640	-46.53548	-69.21001	23.35005	20.61422	62.56209	48.93718	-18.75431	11.43361	0.44763	0.46540	0.17964	-0.28499	
16	16.00000	0.06000	99.69791	89.05900	-24.04803	-22.45927	58.14580	-12.73175	19.29798	-39.46578	-3.38382	-8.54735	0.45922	3.39871	-6.86107	-16.25983	-50.14722	39.89990	5.88232	6.29873	22.67721	-26.05054	55.53946	0.44790	0.46555	0.22181	-0.11182	
17	17.00000	0.06400	99.74409	88.94118	-22.45529	-22.34900	56.50552	-15.62569	19.68906	-36.67484	-3.43805	-8.20024	-0.06946	3.42230	-6.99841	11.10888	25.43745	68.43643	-12.03241	-87.18392	-24.35689	26.79586	62.34403	0.44857	0.46559	0.17607	-0.01972	
