	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_001.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	117.20667	112.13963	53.79354	-30.37438	-16.56755	-71.07449	22.89167	38.54555	-39.47226	-7.85236	3.66862	6.70987	-3.24681									0.34580	0.37895			1.74400
2	2.00000	0.00400	116.32523	112.26122	55.31083	-31.13844	-14.27355	-71.58252	23.77011	38.26727	-39.35764	-8.31945	3.59959	6.62661	-3.12363	-79.63474	-50.46814	-297.66922	46.48007	632.41449	-178.69302	11.88237	-84.95119	0.34473	0.37884			
3	3.00000	0.00800	115.32467	112.51541	56.45957	-30.76269	-13.79341	-71.81297	24.15039	37.79322	-39.05233	-8.52503	3.86942	6.49536	-3.02145	-22.24554	-52.17736	-159.62660	66.60671	235.59241	-85.78181	56.20066	-94.67910	0.34434	0.37808	0.24975	0.47604	
4	4.00000	0.01200	115.14157	112.77361	57.00881	-30.16841	-13.84674	-72.17471	23.91106	38.12185	-38.63518	-9.07400	4.30975	6.56021	-3.38739	-39.94611	-33.28033	51.55468	53.80691	-73.63038	-15.14254	57.89682	-104.41321	0.34347	0.37716	0.25739	0.54552	
5	5.00000	0.01600	115.74186	112.94318	56.69623	-30.13723	-14.58395	-72.77527	24.27250	38.55045	-38.61858	-9.41978	4.36316	6.53856	-2.99192	-71.16566	-5.40365	202.99536	53.12886	-283.92047	19.57420	36.78812	-74.30008	0.34285	0.37618	0.27570	0.46761	
6	6.00000	0.02000	116.75797	113.18921	55.81119	-29.71564	-15.08108	-73.04795	24.27745	39.07547	-38.49046	-9.74822	4.58266	6.61442	-2.89440	-39.94703	-18.19340	235.76804	69.52177	-335.29272	74.20674	46.48773	-71.64030	0.34236	0.37529	0.29515	0.42016	
