	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_007.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000									5.02403	-3.56478												0.43834	0.42231			4.18800
2	2.00000	0.00400	94.96776	86.41660	13.75222	-20.37323	23.65130	-46.58738	14.43132	8.56900	5.00042	-4.64351	11.68599	3.09712	-7.30254	-18.54574						-4.28163	-210.62820	0.43869	0.42363			
3	3.00000	0.00800	96.60928	86.43492	9.29927	-20.84941	28.20455	-47.41133	13.93922	9.62731	5.00028	-5.24823	11.74676	3.05603	-7.16087	22.22215	70.17060	272.57422	-12.67884	8.82781	-32.78662	-7.97434	-137.79506	0.43837	0.42383	0.04750	-0.53012	
4	4.00000	0.01200	97.10795	86.31216	9.09012	-20.82059	28.08507	-48.45087	14.20139	10.11475	5.00000	-5.74865	11.66085	2.93821	-6.92237	-15.35363	36.49796	53.78260	-31.48398	-128.75119	-138.49841	-13.13465	-77.00581	0.43767	0.42422	0.03221	0.57276	
5	5.00000	0.01600	96.99115	86.18050	11.93683	-21.05683	24.71220	-50.42321	14.89806	11.43843	5.00000	-5.86754	11.24243	3.02379	-6.74183	-43.36509	19.39173	-72.96355	-22.88840	-262.17688	-179.79750	-15.92340	9.50561	0.43747	0.42382	-0.01068	1.22617	
6	6.00000	0.02000	96.40875	86.12907	12.39815	-20.59494	22.89709	-49.64045	14.69258	9.82768	4.99988	-5.67807	11.74442	2.92718	-6.42143	3.73274	-9.33492	-168.83444	6.17612	-364.56787	-155.31497	-6.70275	35.36494	0.43762	0.42351	-0.12626	1.46691	
