	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d
8	8.00000	0.02800	96.15636	81.02074	31.40775	-24.60290	0.11421	-42.58712	31.13616	-11.19703	-8.94008	-10.50970	0.02823	-12.02952	-1.37476	-10.39738	0.82474	-108.72591	19.55788	-40.22571	20.30797	29.08227	18.56344	0.42719	0.39459	-0.29102	0.18079	
9	9.00000	0.03200	95.74938	81.10056	31.66432	-24.58338	-0.48348	-42.48783	30.84138	-11.31411	-8.49457	-10.78204	0.11693	-11.92796	-1.52721	49.02660	30.22215	-87.07890	-13.46854	-67.65298	22.65791	25.75967	-27.96478	0.42651	0.39479	-0.25643	0.24139	
10	10.00000	0.03600	95.46688	80.91285	31.95507	-25.09684	-0.92510	-43.05264	30.73862	-10.61581	-8.73489	-10.73309	-0.05219	-11.75694	-1.48616	21.16056	18.59829	-29.06740	-81.38693	12.89435	46.19858	-42.30465	2.10357	0.42631	0.39456	-0.20609	-0.00424	
11	11.00000	0.04000	95.52033	80.44715	31.65120	-25.51248	-0.37096	-43.22762	30.66307	-10.30897	-8.83239	-10.77786	-0.04928	-11.94090	-1.54491	11.94169	28.09895	-28.60988	-103.44687	86.27009	-12.83755	-17.77476	-3.77046	0.42612	0.39450	-0.17886	-0.43955	
12	12.00000	0.04400	95.23888	80.09714	31.44145	-25.50028	0.22897	-43.78165	31.03500	-10.09137	-8.87725	-10.76723	-0.06169	-12.02405	-1.35780	4.03834	11.96254	-16.72194	-58.49840	111.82150	-13.12370	14.89577	-2.69989	0.42613	0.39451	-0.19218	-0.68596	
13	13.00000	0.04800	95.38837	79.97228	30.83064	-25.01703	1.26528	-43.21427	30.71401	-10.42527	-8.71324	-10.79554	0.19333	-12.15477	-1.46598	-5.98142	-3.63738	6.84059	-52.21384	86.88364	-13.37798	39.96347	-17.21575	0.42606	0.39473	-0.21257	-0.59902	
14	14.00000	0.05200	95.29624	79.68760	30.94919	-25.12544	1.36881	-43.37669	30.70396	-10.54616	-8.55678	-10.90371	0.24122	-12.15008	-1.32064	-31.38765	9.51803	18.06782	-47.66965	25.11942	-77.43424	15.54435	-12.44060	0.42599	0.39492	-0.18007	-0.49606	
15	15.00000	0.05600	95.53931	79.59008	30.50356	-24.72834	1.76333	-43.52313	30.82905	-10.77936	-8.58908	-10.89737	0.19578	-12.23350	-1.11945	-46.87644	-28.19594	66.51314	-17.22715	13.18328	-36.60738	-19.82826	38.45617	0.42582	0.39529	-0.12810	-0.33384	
16	16.00000	0.06000	95.83041	79.55085	30.43093	-24.62851	1.94465	-43.43884	30.71872	-10.78564	-8.71545	-10.59725	0.12536	-12.20121	-1.15165	-22.05666	-43.41922	64.23317	-13.62199	7.58953	-11.86250	-20.41728	0.39182	0.42605	0.39549	-0.09412	-0.06602	
17	17.00000	0.06400	96.05140	79.47866	29.79006	-24.28016	2.47278	-43.04349	30.39180	-11.28704	-8.75507	-10.85829	0.39405	-12.20377	-1.30981	19.36953	-15.66366	72.59798	-15.93194	-39.69108	1.36608	-5.60309	-24.63271	0.42588	0.39521	-0.09418	0.14127	
