	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d
7	7.00000	0.02400	103.47461	107.74014	59.69669	-38.43241	-31.89134	-55.79395	34.27551	17.75810	-1.23074	-39.33219	3.73094	-6.62645	-1.34316	5.32445	23.15875	63.87294	-103.09415	21.72555	-19.08175	12.73703	-21.92171	0.50172	0.46548	-0.08311	-0.63578	
8	8.00000	0.02800	103.65987	107.46812	59.57462	-38.94881	-31.54300	-56.78857	34.17540	18.71488	-1.20975	-39.05736	3.34110	-6.62698	-1.09422	-12.45865	20.02064	75.71207	-18.45197	63.10833	21.21357	-12.51920	-43.48794	0.50232	0.46610	-0.17648	-0.59661	
9	9.00000	0.03200	104.08718	107.59302	59.24300	-38.67891	-31.03231	-56.79777	33.64972	18.75994	-1.25882	-39.13101	3.59705	-6.57230	-1.07318	-43.39077	-62.21428	55.37799	51.23290	140.57584	54.07981	-24.49230	-52.30840	0.50277	0.46642	-0.25310	-0.49951	
10	10.00000	0.03600	104.09515	107.87718	59.42797	-38.87613	-30.30406	-56.19713	33.66545	18.65456	-1.37144	-39.23470	3.73072	-6.42311	-1.25746	-68.04755	-97.36893	22.53694	106.41390	133.71106	80.35810	1.84171	-57.02603	0.50314	0.46654	-0.27702	-0.36850	
11	11.00000	0.04000	104.28717	108.44357	59.16121	-38.67629	-29.89894	-55.66063	33.63914	18.45556	-1.38669	-39.53482	3.92703	-6.14833	-1.31680	-83.30394	-50.29146	76.12643	143.78824	-7.58475	21.81760	-18.79272	-63.65283	0.50319	0.46655	-0.24108	-0.12574	
12	12.00000	0.04400	104.70876	109.02752	58.56437	-38.30250	-29.68941	-55.14277	33.76421	17.95181	-1.74923	-39.89718	4.07976	-6.02479	-1.00623	-60.04092	-36.68022	93.86787	103.58316	-78.72259	9.60093	-30.38137	-50.85210	0.50324	0.46626	-0.17158	-0.08090	
13	13.00000	0.04800	105.04255	109.26768	58.42764	-37.86852	-29.95432	-54.95755	33.79024	17.94830	-1.92410	-40.07491	4.04815	-5.96024	-1.13621	-24.93098	-30.13232	125.31182	84.06852	-110.43526	-1.74606	-15.50324	-38.26815	0.50392	0.46611	-0.17462	-0.00222	
14	14.00000	0.05200	105.71098	109.70390	57.59259	-37.68793	-29.80394	-54.61540	33.63797	17.49919	-2.05274	-40.42233	4.07838	-5.87841	-1.04618	-21.64291	-29.36173	144.86107	78.50819	-104.24494	-16.77462	-46.00449	-25.78531	0.50400	0.46612	-0.21783	0.08345	
15	15.00000	0.05600	106.20062	109.89471	57.08345	-37.25687	-29.72449	-54.29844	33.15965	17.26591	-2.32982	-40.44709	4.29151	-5.79455	-1.21112	-17.15273	-24.82451	116.23593	17.02202	-90.23860	18.02295	-69.19471	-7.71357	0.50465	0.46578	-0.20572	0.05636	
16	16.00000	0.06000	106.65250	109.84095	56.56408	-37.45988	-29.70927	-55.10144	33.04433	18.05097	-2.56522	-40.54289	4.07845	-5.64532	-1.10743	-26.70718	-8.76635	154.76993	-17.47377	-138.73801	34.39148	-87.69714	16.36333	0.50486	0.46557	-0.20497	0.12457	
