	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_003.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	99.01619	83.15031	64.83624	-31.07277	-41.73566	-74.62875	28.98561	46.78993	-16.52240	-6.45212	7.10117	2.10143	-2.90881									0.33189	0.37558			3.36800
2	2.00000	0.00400	98.89864	83.85916	63.87147	-31.89241	-39.84270	-74.05998	28.32834	46.41373	-16.68939	-6.02647	7.14178	2.21863	-2.78358	5.49604	33.48918	-5.17329	104.71605	196.69473	32.36519	-33.86436	85.07243	0.33265	0.37500			
3	3.00000	0.00800	98.96711	83.98788	63.08318	-32.29943	-38.67534	-74.33652	28.01924	46.79573	-16.79572	-5.90435	6.99602	2.20328	-2.68965	11.79920	37.57693	55.72544	45.28289	51.79174	-6.33773	-35.28656	10.20146	0.33273	0.37478	-0.15220	-0.31487	
4	4.00000	0.01200	99.33231	84.22012	62.57019	-31.90109	-38.32684	-73.82592	27.73166	46.15532	-16.97586	-6.08269	7.05579	2.02091	-2.57894	17.62466	25.68931	51.87710	-3.86905	-23.84089	-40.10464	-36.82572	-23.85465	0.33227	0.37471	-0.16658	-0.31127	
5	5.00000	0.01600	99.37971	83.95483	62.31473	-32.25317	-38.21589	-74.07388	28.44671	46.24268	-17.09468	-6.21795	6.53760	2.07520	-2.63360	27.33750	28.03415	55.79509	-78.99959	-48.88148	-57.74771	-26.03753	-16.53037	0.33187	0.37486	-0.14680	-0.31615	
6	6.00000	0.02000	99.77020	83.58887	61.65039	-31.53671	-37.93670	-73.93970	28.38969	45.79309	-17.18810	-6.28975	6.83472	1.93404	-2.57451	19.64174	43.24782	66.99252	-55.39570	-70.05603	-66.48994	-30.80980	-24.66670	0.33162	0.37507	-0.12820	-0.31440	
