	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d
8	8.00000	0.02800	103.05045	89.17194	-1.21017	-15.91926	34.94244	-0.17455	19.92095	-43.29926	-1.53794	-7.24575	-3.13034	0.21571	-4.86453	-12.09253	9.46900	-9.88418	-28.23290	-37.79815	-23.08108	-2.28886	-32.11869	0.53512	0.48647	-0.30074	-0.38850	
9	9.00000	0.03200	103.10899	88.94322	-1.62386	-15.64267	35.07644	-0.85964	19.85200	-42.79454	-1.70050	-7.39232	-3.21613	0.20078	-4.53858	19.45405	4.98704	-0.04562	-78.62043	-31.35417	-13.89369	-7.01148	-42.52481	0.53504	0.48663	-0.18167	-0.43287	
10	10.00000	0.03600	103.05619	88.54282	-1.39732	-15.66241	34.87163	-2.13250	19.71375	-41.56805	-1.62745	-7.58492	-3.34662	0.23843	-5.00060	42.45047	-4.11338	-19.32003	-86.96687	-27.56096	13.08421	15.74425	-32.78492	0.53505	0.48666	-0.08880	-0.34825	
11	11.00000	0.04000	102.94961	88.24720	-2.96147	-15.47309	36.14444	-2.17825	19.56857	-41.44934	-1.57241	-7.65674	-3.18551	0.17953	-4.90282	-32.88820	16.80786	-22.78127	-51.80570	-78.19465	15.56558	2.22112	0.65696	0.53492	0.48676	-0.01986	-0.16159	
12	12.00000	0.04400	102.87379	88.12840	-3.61323	-15.49552	36.38138	-2.54149	19.51220	-41.05818	-1.60962	-7.58803	-3.12739	0.13880	-4.61614	10.17949	7.54968	-31.04854	-31.70178	-90.32018	19.98753	25.77856	-8.88392	0.53479	0.48674	0.03026	0.02162	
13	13.00000	0.04800	102.69759	87.99391	-4.04610	-15.50237	36.46732	-2.43322	19.42977	-41.04908	-1.36611	-7.73484	-2.87818	0.01225	-4.91758	-2.17344	7.40712	-65.85711	-17.93789	-96.05756	28.00532	19.81400	1.29116	0.53448	0.48651	-0.05425	0.02852	
14	14.00000	0.05200	102.34740	87.98440	-3.23991	-15.37313	35.25306	-2.08007	19.24127	-41.27019	-1.45216	-7.57417	-2.90613	-0.10641	-4.52759	-59.83917	32.97998	-68.07158	-5.32707	-111.92329	-2.13380	-1.37901	29.70924	0.53438	0.48647	-0.27945	-0.10382	
15	15.00000	0.05600	102.15067	87.95219	-2.25394	-15.35913	33.84400	-2.48342	19.28307	-41.01859	-1.37686	-7.48323	-3.04276	-0.20196	-4.18155	-17.27676	13.89599	-4.80987	24.31892	-68.17380	15.49647	16.44101	-4.17646	0.53443	0.48630	-0.41140	-0.16841	
16	16.00000	0.06000	102.31155	88.16996	-4.50869	-15.20281	35.93153	0.63267	19.07069	-43.70782	-1.32019	-7.59560	-2.58721	-0.29484	-4.30499	49.28483	8.01537	6.24025	44.81714	-17.35546	26.90055	42.08748	-65.03805	0.53437	0.48643	-0.42134	-0.22717	
17	17.00000	0.06400	102.18439	88.31707	-4.95645	-15.12158	36.31276	1.71215	19.07956	-44.76814	-1.03995	-8.00092	-2.45671	-0.37470	-4.50867	42.68253	31.66390	-23.60823	68.29319	9.38426	20.38470	25.96830	-52.04431	0.53403	0.48679	-0.32265	-0.21682	
