	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d
8	8.00000	0.02800	105.65754	80.10516	34.53831	-19.63217	-4.63715	-66.82453	21.77851	33.72550	-17.61868	-9.76800	6.00494	3.83102	-1.81777	6.97344	11.04796	-62.26732	17.62976	203.83235	-10.01424	15.05966	33.15487	0.33098	0.38037	-0.25220	-0.66052	
9	9.00000	0.03200	105.31627	80.00543	33.92056	-19.71416	-3.28532	-66.53149	21.71292	33.42551	-17.55566	-9.65567	5.83698	3.74318	-1.80351	-2.24094	-19.35790	-15.92495	5.80311	181.80409	-25.26055	27.90627	33.52970	0.33109	0.38027	-0.32640	-0.70980	
10	10.00000	0.03600	105.52694	80.14937	31.78403	-19.47280	-0.58917	-65.70173	21.67744	32.47911	-17.39558	-9.51045	5.91829	3.80154	-1.95503	3.65180	-3.08150	6.16376	-5.25129	116.19413	-53.14109	53.93303	37.23352	0.33125	0.38038	-0.38054	-0.67514	
11	11.00000	0.04000	105.36590	79.96436	30.45276	-19.52729	0.91448	-65.42585	21.45197	31.97399	-17.12421	-9.38940	5.93368	3.63680	-1.85496	17.15870	30.69914	-12.93931	-58.03862	21.05948	-65.20682	51.93952	12.29438	0.33138	0.38064	-0.40087	-0.53615	
12	12.00000	0.04400	105.41958	79.68475	29.15240	-19.30102	2.05911	-65.25634	21.31788	31.54284	-16.98008	-9.45571	5.97497	3.54986	-1.83845	16.24781	18.15118	-8.89563	-56.99359	-31.82065	-58.87424	38.21415	-6.21768	0.33148	0.38129	-0.32017	-0.36769	
13	13.00000	0.04800	105.29484	79.50839	29.98281	-19.32950	1.10254	-65.00942	21.64337	31.11576	-16.81731	-9.44129	5.64001	3.47222	-1.82766	4.21382	23.80255	-22.12753	-65.02041	-65.21270	-67.69159	29.72072	-5.99014	0.33162	0.38193	-0.23313	-0.25262	
14	14.00000	0.05200	105.25092	79.16458	28.97347	-18.83194	1.70733	-64.59402	21.39725	30.38477	-16.73812	-9.43635	5.76858	3.31755	-1.66972	-1.93527	-14.81053	-20.98227	-67.58794	4.23024	-35.47250	20.02253	-11.53431	0.33153	0.38232	-0.20044	-0.18639	
15	15.00000	0.05600	105.10885	78.96711	29.04464	-18.96618	2.02308	-64.02673	21.28598	29.91675	-16.65198	-9.43242	5.76939	3.38918	-1.91837	-2.73820	-16.05826	-96.86781	1.36174	54.34279	-14.16798	2.62594	-6.86461	0.33123	0.38247	-0.29092	-0.12531	
16	16.00000	0.06000	104.47531	79.17548	29.61198	-19.32004	1.53919	-63.49860	20.86935	29.24994	-16.71545	-9.41345	5.57290	3.50617	-1.76915	5.14503	17.53673	-142.84993	54.96224	35.92759	-41.78070	-4.16481	-3.38976	0.33101	0.38214	-0.55330	-0.13684	
17	17.00000	0.06400	103.96566	79.40609	29.02759	-19.57683	2.32555	-62.54631	20.03800	28.19854	-16.68705	-9.45258	5.65759	3.61618	-1.82506	21.22722	-7.63699	-151.07994	18.68591	69.89419	-57.39085	26.40171	19.88260	0.33086	0.38167	-0.79557	-0.18050	
