	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_003.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	82.48953	68.41180	-22.50236	-16.78699	53.36225	-9.34784	18.13663	-39.09741	-3.76768	-0.68321	4.62078	-3.74898	-1.49171									0.43310	0.42077			2.41600
2	2.00000	0.00400	82.13136	67.84785	-19.36291	-16.63428	51.45506	-10.76077	17.89723	-38.56301	-4.19040	-1.00505	4.72515	-3.78082	-1.51890	-62.55854	-66.74886	20.35357	-102.91757	144.24234	-90.90193	-64.74573	-66.74422	0.43221	0.42171			
3	3.00000	0.00800	82.70500	67.58263	-19.17623	-17.01708	51.32773	-11.00486	17.66822	-38.24958	-4.25915	-1.17176	4.74387	-3.75945	-1.50127	-20.75380	-30.36569	116.12403	-13.48765	-11.43798	7.13905	-12.02978	-26.04024	0.43183	0.42237	-0.01887	0.08542	
4	4.00000	0.01200	83.06226	67.73954	-19.22107	-17.50657	51.22726	-10.63426	17.70984	-38.62689	-4.26686	-1.18798	4.70504	-3.71508	-1.57989	6.72349	-6.80108	77.60268	40.53859	-63.01430	9.24252	2.77707	-0.72632	0.43187	0.42277	-0.08259	-0.03172	
5	5.00000	0.01600	83.32617	67.90583	-20.07647	-17.93498	51.68016	-10.57658	17.85427	-38.58369	-4.24106	-1.16322	4.63267	-3.67586	-1.59887	-3.41224	3.27601	45.89713	54.04706	-80.73423	34.54078	6.75543	4.52318	0.43204	0.42306	-0.09194	-0.16494	
6	6.00000	0.02000	83.42962	68.17119	-21.36867	-18.15378	52.62392	-10.20537	17.97282	-38.75852	-4.24614	-1.14410	4.54115	-3.65173	-1.51675	-8.63907	5.73786	1.01758	69.91639	-41.81206	43.60960	-17.35891	7.31443	0.43218	0.42336	-0.13948	-0.29193	
