	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d
8	8.00000	0.02800	97.66177	83.28012	-4.93086	-28.00647	35.43394	-3.48061	20.17437	-28.63016	-5.22653	-5.98361	1.73846	1.07351	1.96979	1.32548	-36.62717	74.58845	105.22245	-52.49529	27.36721	-97.83167	3.99622	0.49475	0.49379	0.27575	0.18446	
9	9.00000	0.03200	97.86930	83.78278	-4.85446	-27.86795	35.24703	-2.53326	20.06661	-29.33971	-5.80821	-6.09947	1.72830	1.06064	1.94553	-12.96891	-50.39339	30.55114	131.22400	-10.65086	63.18705	-143.21461	-0.37664	0.49438	0.49431	0.31044	0.16765	
10	10.00000	0.03600	97.90333	84.32999	-4.34672	-27.75770	34.83199	-1.34343	19.88207	-30.13239	-6.36889	-5.98643	1.68697	1.05446	1.70560	-14.98747	-48.67133	-5.06798	119.73946	16.55356	76.57154	-167.94283	-13.06573	0.49416	0.49466	0.34026	0.11241	
11	11.00000	0.04000	97.82762	84.74072	-3.60740	-27.79529	34.27589	-0.79862	19.75203	-30.35799	-7.15145	-6.20618	1.59515	1.05681	1.70045	-34.70343	-34.32582	-24.88094	88.40468	16.89950	43.93030	-155.37772	-43.56128	0.49375	0.49458	0.36382	0.08827	
12	12.00000	0.04400	97.70409	85.03187	-2.81906	-27.94024	33.61577	-1.23106	19.79944	-29.88652	-7.61118	-6.33560	1.46299	1.04726	1.72276	12.84919	-18.36267	-38.02130	69.22426	2.29333	-37.45988	-69.58137	-14.42760	0.49333	0.49475	0.28958	0.11350	
13	13.00000	0.04800	97.52348	85.29352	-1.82265	-28.17362	32.71773	-2.54266	20.25505	-29.01803	-7.70422	-6.30879	1.31863	1.01369	1.47515	24.77911	-11.64263	-64.02617	12.26742	2.03092	-54.81531	-61.86146	-17.76183	0.49356	0.49464	0.28635	0.13532	
14	14.00000	0.05200	97.19292	85.12334	-0.38067	-28.48499	31.48369	-4.56817	20.62780	-27.19641	-8.10415	-6.47321	1.20379	0.97678	1.44571	3.44490	-13.14852	-94.21575	-77.55888	15.23913	-47.72416	-116.61516	-10.39349	0.49351	0.49499	0.35536	0.11430	
15	15.00000	0.05600	96.77005	84.67359	1.25355	-28.78825	30.13716	-7.13314	21.13286	-25.10522	-8.63915	-6.39629	1.14837	0.97682	1.34557	15.16545	-14.91821	-84.10255	-110.99261	7.60662	-101.04799	-138.07687	17.51202	0.49401	0.49531	0.34339	0.08157	
16	16.00000	0.06000	96.51642	84.23578	2.33643	-28.90061	29.16302	-9.78885	21.71467	-23.13541	-9.20798	-6.33671	1.13578	1.02453	1.19842	24.31933	-17.60013	-9.26439	-82.37737	-28.81055	-86.11144	-87.64283	33.75502	0.49431	0.49559	0.39361	0.09746	
17	17.00000	0.06400	96.69513	84.01657	2.38508	-28.78428	28.91622	-11.70566	21.94917	-21.54394	-9.33949	-6.11924	1.12215	1.10180	1.02653	-6.72614	-29.44710	102.84644	13.29615	-62.46289	-111.18894	-94.43900	22.81535	0.49442	0.49589	0.28416	0.16966	
