	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_010.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	95.24017	75.09035	-7.07616	-18.50490	37.78627	-9.06748	20.16936	-33.94193	-15.16791	-8.79836	3.72170	2.95721	-0.77918									0.32998	0.37765			2.44800
2	2.00000	0.00400	92.87350	75.73204	0.81974	-17.57044	30.63037	-11.02735	20.93721	-33.36036	-14.72338	-8.68583	3.15253	2.95170	-0.57983	4.35895	30.51411	-460.94031	69.63923	83.43645	-221.29704	88.44283	31.36587	0.33050	0.37767			
3	3.00000	0.00800	91.55917	75.64383	3.60112	-16.96208	28.29450	-11.02169	20.95195	-33.88475	-14.47653	-8.67330	3.06562	3.05888	-0.60667	3.91494	21.62234	-205.21077	-25.17169	82.57622	-116.15084	46.45258	-5.02091	0.33086	0.37763	-0.49050	0.00031	
4	4.00000	0.01200	91.23009	75.53104	5.02032	-17.15831	27.27325	-11.03472	20.95652	-34.28268	-14.35571	-8.72965	2.94716	3.03474	-0.47308	3.11687	12.01345	-54.58418	-53.74221	92.31747	-42.70715	13.78046	-16.59716	0.33112	0.37747	-0.37616	-0.07783	
5	5.00000	0.01600	91.12406	75.21338	5.44851	-17.25783	27.26763	-11.00495	20.66396	-34.24179	-14.36301	-8.74669	2.88086	3.13630	-0.55899	6.22966	1.40297	4.54050	-106.76541	86.80805	30.15432	-10.46123	-6.59741	0.33124	0.37738	-0.22728	0.08170	
6	6.00000	0.02000	91.26612	74.67513	5.51603	-17.37819	27.49405	-11.50691	20.34037	-33.59874	-14.43141	-8.72407	2.86852	3.06448	-0.52035	6.68719	18.35505	44.30544	-81.83542	53.45321	76.83082	-19.51850	6.83200	0.33121	0.37721	-0.07331	0.22853	
