	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d
8	8.00000	0.02800	81.97649	94.28358	6.13872	-16.13296	30.86027	7.77766	22.35472	-38.92030	-7.50468	5.00000	-17.74522	-5.62068	2.00217	0.51985	11.84971	48.11245	-69.35554	3.59395	78.06575	-28.06008	-11.06130	0.39019	0.32505	-0.24803	0.11829	
9	9.00000	0.03200	82.24008	94.07537	7.44852	-16.50193	29.62396	5.95524	22.51880	-37.10385	-7.65574	5.00000	-18.16394	-5.65561	2.19953	-0.34029	24.47247	53.43430	42.36858	-23.84651	23.53535	-35.42155	-6.85006	0.39047	0.32467	0.06022	0.09704	
10	10.00000	0.03600	82.40262	94.62230	5.96913	-16.20411	30.83190	7.75577	22.69526	-38.70929	-7.78281	5.00000	-18.02979	-5.63045	2.18905	4.92644	0.00262	80.12386	120.89511	-18.61200	-8.96690	-18.86348	16.42040	0.39027	0.32449	0.26279	0.13631	
11	11.00000	0.04000	82.87982	95.03771	4.56053	-16.36407	32.24858	9.39709	22.95478	-40.35081	-7.85653	5.00000	-17.88772	-5.66838	2.16196	-12.82406	-7.47556	55.23271	102.83938	19.43769	-49.39395	-4.86897	17.55699	0.39007	0.32404	0.34574	0.16906	
12	12.00000	0.04400	82.84425	95.44285	3.89456	-16.14140	32.97836	10.87290	23.16968	-41.97342	-7.86095	5.00000	-17.88332	-5.79370	2.22923	-17.35726	23.84183	-52.00798	32.50050	64.26088	-80.35768	8.31464	-10.15321	0.38991	0.32398	0.26667	0.14608	
13	13.00000	0.04800	82.47136	95.29852	6.60278	-16.42383	30.80091	9.58895	23.33606	-41.17223	-7.77939	5.00000	-18.27250	-5.93861	2.49238	-18.88160	14.21315	-58.97952	-8.52905	75.83633	-40.18127	-0.76816	-5.41943	0.38982	0.32385	0.10081	0.09986	
14	14.00000	0.05200	82.36359	95.36918	6.64647	-16.35743	30.94527	9.55236	23.42670	-41.08133	-7.87182	5.00000	-18.43047	-6.00275	2.49089	-22.83548	-0.71130	-32.99215	-75.31006	15.88339	11.53662	-29.81374	6.74323	0.38960	0.32384	-0.10119	0.02397	
15	15.00000	0.05600	82.20679	94.69347	5.07270	-16.13428	32.39648	9.23258	23.14515	-40.75246	-8.05117	5.00000	-18.33099	-5.98644	2.66731	1.94351	19.85639	-22.81430	-106.39797	-12.24210	-16.56250	-8.12628	-9.37661	0.38950	0.32363	-0.16113	-0.07043	
16	16.00000	0.06000	82.18150	94.51837	3.54987	-16.01661	33.82134	9.43002	23.08921	-41.10151	-7.95541	5.00000	-18.08072	-5.94347	2.64050	41.95605	14.24746	-27.43374	-88.35374	10.90360	-41.28904	14.68271	3.09120	0.38956	0.32368	-0.06265	-0.12938	
17	17.00000	0.06400	81.98576	93.98360	5.13750	-16.25167	32.42184	7.65812	22.94371	-39.63320	-7.95372	5.00000	-18.30726	-5.87653	2.44616	34.41447	8.14978	10.78737	-69.65192	23.18427	-66.99073	8.50413	4.77430	0.38925	0.32353	0.06605	-0.09611	
18	18.00000	0.06800	82.26978	93.95912	4.65111	-16.36677	32.94836	7.50393	22.96932	-39.86485	-7.88758	5.00000	-18.25016	-5.88110	2.42154	17.18540	-13.60345	56.87615	-29.99855	23.10288	-79.11959	17.54018	-5.86398	0.38933	0.32334	0.17733	0.01951	
19	19.00000	0.07200	82.44296	93.74294	3.99016	-16.38504	33.70714	7.25959	22.81396	-39.89902	-7.78448	5.00000	-18.21169	-5.86309	2.19741	14.29769	-17.39115	30.01498	23.79994	47.00610	-78.04743	25.97875	12.12118	0.38934	0.32338	0.18148	0.15438	
20	20.00000	0.07600	82.50467	94.14877	4.74063	-16.49531	33.23878	6.62116	23.38739	-39.67562	-7.66020	5.00000	-18.36902	-5.94656	2.16935	2.74900	-10.61440	-1.96981	61.62574	62.45275	-31.72356	32.48112	4.72981	0.38960	0.32388	0.10648	0.21283	
