	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d
8	8.00000	0.02800	81.79960	67.61246	-18.22437	-16.99584	47.15052	-28.43815	14.55526	-16.97979	1.91602	3.35982	6.36466	-2.56057	-5.81884	0.09205	6.92209	-9.77105	16.27340	32.35131	0.93249	-21.46350	2.57336	0.48325	0.44900	0.00932	0.23752	
9	9.00000	0.03200	81.61454	67.69601	-17.78624	-17.12092	46.70754	-27.83916	14.40046	-17.53752	1.83981	3.25360	6.30796	-2.67191	-5.70182	8.80959	16.58747	-52.43241	11.54802	35.06068	-23.42147	-18.51685	-50.00298	0.48293	0.44898	0.05500	0.10131	
10	10.00000	0.03600	81.36885	67.69706	-17.34250	-17.23750	46.58867	-27.37820	14.29152	-18.19367	1.76310	2.91427	6.41876	-2.72027	-5.75188	13.57054	-10.20223	-46.47343	-1.34632	53.85376	-36.46617	-5.57669	-58.94881	0.48189	0.44902	0.06299	-0.01648	
11	11.00000	0.04000	81.24935	67.68523	-16.30581	-17.22177	45.72417	-28.65256	14.33887	-17.04116	1.79690	2.68516	6.14875	-2.65728	-5.88263	15.38767	-17.06183	-1.66628	16.97695	-17.86606	-21.94460	14.59512	-36.22183	0.48131	0.44889	-0.01886	0.01178	
12	12.00000	0.04400	81.38244	67.83106	-17.64541	-17.11655	46.73527	-27.56461	14.26694	-18.18859	1.89077	2.52812	6.36225	-2.69815	-6.00602	22.29025	33.39317	-21.45306	-10.97258	-167.41531	-49.32974	11.41692	-40.80786	0.48084	0.44895	-0.12825	0.34144	
13	13.00000	0.04800	81.08046	67.59411	-14.86608	-16.73022	43.00565	-30.19558	14.63153	-15.94172	1.90013	2.30023	5.82267	-2.70554	-5.78032	-5.55888	30.60792	1.85610	-55.80299	-190.11542	10.57801	24.38291	9.19145	0.48048	0.44903	-0.16753	0.48984	
14	14.00000	0.05200	81.39918	67.36491	-16.22330	-16.68424	43.85497	-29.70672	14.51056	-16.03004	2.09036	2.59369	6.04441	-2.77898	-5.71417	-12.34660	5.13916	66.52040	-72.54846	-152.53831	109.62428	46.13380	52.86692	0.48128	0.44891	-0.08062	0.47733	
15	15.00000	0.05600	81.60915	67.01383	-17.28468	-16.67139	44.10155	-29.47979	14.12871	-15.75793	2.26201	2.75106	6.25536	-2.78479	-5.66044	16.32590	-9.17270	76.21751	-69.05885	-138.21997	93.33682	19.48990	24.81520	0.48177	0.44878	0.02481	0.46605	
16	16.00000	0.06000	82.01627	66.80853	-18.23187	-16.70520	44.67382	-29.32630	14.14397	-15.65192	2.23052	2.83734	6.41681	-2.84100	-5.93137	18.53604	-14.97975	67.30082	-52.23297	-127.63305	23.17002	7.54762	16.27697	0.48210	0.44860	0.09410	0.36431	
17	17.00000	0.06400	82.14444	66.59508	-18.34353	-16.64449	44.09464	-30.00023	14.22278	-15.06791	2.30934	2.93570	6.37068	-2.87294	-5.93587	19.24240	-7.23239	68.74109	15.93170	-92.36498	21.17468	-30.68611	-1.91142	0.48229	0.44848	0.15622	0.16670	
