	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_005.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	69.57433	89.59196	30.99496	-20.79716	14.66064	10.55122	22.89894	-50.80242	-1.54693	-3.91452	-22.69121	-2.94727	-1.48423									0.38505	0.33647			3.06000
2	2.00000	0.00400	68.93038	90.13841	31.77668	-21.12196	15.02455	12.09133	23.95834	-52.96097	-1.82444	-5.17245	-22.68466	-2.81928	-1.35664	-3.60529	19.59585	-90.57169	60.66383	211.63542	-32.62971	-89.97501	-236.01266	0.38575	0.33617			
3	3.00000	0.00800	68.87186	90.07019	31.62404	-21.34711	15.76499	13.16789	24.31666	-53.45786	-2.14177	-5.86788	-22.62901	-2.78604	-1.28171	-35.80180	-20.02118	60.71241	-70.59786	65.47691	114.39190	-83.78620	-119.40273	0.38638	0.33632	-0.06112	0.04145	
4	4.00000	0.01200	69.44132	89.57307	30.33289	-21.30925	16.89255	13.05002	24.37913	-52.92144	-2.47339	-6.14933	-22.53656	-2.82914	-1.22926	-56.72708	-40.69156	15.88180	-171.47621	28.19965	119.41279	-76.55403	-37.82331	0.38694	0.33666	-0.28893	0.00592	
5	5.00000	0.01600	68.98898	88.69857	30.46922	-21.35053	17.06662	12.36920	24.01493	-51.77446	-2.75850	-6.16026	-22.40975	-2.90951	-1.16814	-59.61896	-38.30939	-57.00025	-231.23717	39.49928	122.27824	-65.92455	22.04674	0.38730	0.33692	-0.44093	-0.05517	
6	6.00000	0.02000	68.99170	87.72298	30.67894	-21.46019	16.88631	11.48304	23.38055	-50.51133	-2.99005	-5.95266	-22.25689	-2.98159	-1.08583	-42.98365	-18.13753	-28.57706	-197.97452	42.53190	91.76881	-49.84875	71.97992	0.38729	0.33685	-0.42450	-0.13320	
