	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d
8	8.00000	0.02800	79.54147	69.02412	48.29910	-22.00819	-11.68415	-46.56149	15.63540	9.77275	-31.88645	-4.25329	6.90543	-0.69743	-0.61073	2.41573	-12.73719	-144.09071	67.72313	-28.22743	-137.33740	33.86202	32.35014	0.28873	0.33350	-0.40750	0.02281	
9	9.00000	0.03200	78.96408	69.15018	49.34974	-22.25416	-12.53715	-46.19658	16.27104	8.69983	-31.83823	-4.15152	6.73420	-0.54532	-0.84739	-7.76642	-5.34082	-129.32207	25.54460	13.82885	-142.97807	55.00943	23.03643	0.28874	0.33340	-0.33570	-0.06955	
10	10.00000	0.03600	78.51424	69.24831	49.59258	-22.71539	-12.77247	-46.19078	16.39517	8.27269	-31.61814	-4.05108	6.55384	-0.59401	-0.58346	-15.80360	34.45336	-43.65644	14.77187	-6.61924	-9.44352	78.42789	27.70200	0.28880	0.33325	-0.12209	-0.15061	
11	11.00000	0.04000	78.62008	69.28363	48.91754	-22.37482	-12.19110	-45.05069	15.60018	7.52431	-31.35614	-3.91822	6.80371	-0.64899	-0.44751	-13.48985	-15.30083	15.80977	-107.03339	23.69443	56.07531	70.91638	20.69015	0.28919	0.33311	0.01223	-0.11994	
12	12.00000	0.04400	78.64066	68.41396	48.29230	-22.31590	-11.38097	-45.77604	15.56763	8.32494	-31.20571	-3.88790	6.96647	-0.56352	-0.60453	-6.29224	-50.65136	-15.27499	-196.54947	58.75467	61.81090	50.70800	-1.27953	0.28950	0.33327	0.04832	-0.10475	
13	13.00000	0.04800	78.49799	67.68561	48.03495	-22.32279	-10.90461	-46.18388	15.43358	9.11028	-31.08157	-3.94753	7.12262	-0.49150	-0.80466	6.80850	-17.66281	-13.72238	-104.07364	13.92824	100.71224	49.39608	-13.85087	0.28976	0.33349	0.05788	-0.12100	
14	14.00000	0.05200	78.53088	67.58617	47.70509	-22.10129	-10.72602	-45.68326	15.11426	9.04037	-30.90183	-4.02663	7.22962	-0.64066	-0.80246	20.76031	5.67534	44.79743	-6.65815	-34.54169	36.76834	69.02827	-19.77240	0.28991	0.33349	0.01043	-0.12556	
15	15.00000	0.05600	78.85500	67.62896	46.49845	-21.68587	-9.75695	-44.98063	15.17062	8.24189	-30.57606	-4.12794	7.44401	-0.54679	-0.92625	26.84495	29.52742	70.57611	51.95199	-55.76772	8.59404	92.63892	-27.74472	0.28998	0.33335	-0.02397	-0.13661	
16	16.00000	0.06000	79.09652	68.02239	45.98086	-21.50266	-9.57073	-44.65393	14.93871	8.11644	-30.14209	-4.25104	7.30116	-0.68561	-0.78591	20.51251	37.92006	82.93148	47.07778	-41.17582	3.66651	98.95396	-31.08077	0.29001	0.33317	0.00673	-0.12580	
17	17.00000	0.06400	79.51795	67.96413	45.41394	-21.56338	-9.07765	-45.52837	15.32278	8.80007	-29.66677	-4.35599	7.01486	-0.73672	-0.79758	4.73371	16.10156	75.74050	26.10254	10.75371	-20.67362	80.35292	-15.08120	0.29013	0.33323	0.10166	-0.06069	
