	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d
7	7.00000	0.02400	75.85988	91.15646	12.37141	-15.85414	26.46543	18.83604	24.13900	-57.04271	-4.14004	-7.52783	-23.27950	-2.23255	-1.01874	26.43322	14.77578	8.82076	-81.43632	41.03197	-50.88096	21.41281	5.66297	0.38278	0.32807	-0.07019	-0.00102	
8	8.00000	0.02800	75.79425	90.85504	11.26792	-16.00389	27.75981	18.50987	24.01054	-56.72390	-4.09882	-7.44458	-23.25041	-2.17047	-1.04540	17.80117	15.23801	-32.53490	-35.18383	72.45112	11.58575	-7.44819	49.59119	0.38334	0.32857	-0.29070	0.01680	
9	9.00000	0.03200	75.59963	90.87601	10.82293	-16.39913	28.53458	18.03753	24.16414	-56.22067	-4.16614	-7.15134	-23.17037	-2.11862	-1.04203	8.97917	8.34307	-108.91264	-1.05830	135.45694	29.55416	-23.70723	90.37859	0.38359	0.32900	-0.36704	0.05199	
10	10.00000	0.03600	74.92658	90.84985	11.68962	-17.19030	28.44295	17.97080	24.21380	-55.99545	-4.23628	-6.71826	-23.05754	-2.08904	-1.05663	11.06116	5.11072	-117.38382	-25.94794	112.21266	21.87946	-8.96822	108.73952	0.38350	0.32920	-0.30951	0.03650	
11	11.00000	0.04000	74.64689	90.66341	12.04539	-17.61480	28.26281	17.92826	24.20533	-55.94598	-4.16603	-6.25927	-22.94830	-2.06676	-1.09984	16.63835	9.32788	-116.46317	-60.32874	48.65207	-56.65774	27.39263	103.13206	0.38313	0.32901	-0.13028	-0.07902	
12	12.00000	0.04400	73.99525	90.36945	14.14634	-18.05878	26.49474	17.12603	24.14284	-55.67799	-3.92757	-5.85774	-22.85513	-2.02576	-1.12999	16.86109	15.82479	-118.54430	-142.11197	30.94093	-105.92770	55.57245	78.71600	0.38267	0.32852	0.00162	-0.13689	
13	13.00000	0.04800	73.69385	89.52226	15.18745	-18.31229	25.52126	16.58327	23.79641	-55.56641	-3.62825	-5.58771	-22.76377	-1.96723	-1.12917	10.08772	18.90779	-59.44663	-237.31956	38.61392	-50.58096	61.08940	33.35959	0.38237	0.32792	-0.02622	-0.09028	
14	14.00000	0.05200	73.53982	88.46116	15.94245	-18.68427	25.09806	16.53057	23.07808	-55.53962	-3.37352	-5.55472	-22.66766	-1.90754	-1.09033	5.54128	19.54863	-14.38668	-222.48918	77.14736	-73.12829	38.80605	-5.81690	0.38250	0.32758	0.05941	-0.00306	
15	15.00000	0.05600	73.58684	87.74540	15.79340	-18.93171	25.56276	15.85418	22.61171	-55.47839	-3.31070	-5.61903	-22.58492	-1.86099	-1.04487	13.90650	20.28041	-31.63843	-105.97879	-14.60101	-137.15401	4.45273	-19.84788	0.38293	0.32769	0.21116	-0.00265	
16	16.00000	0.06000	73.27873	87.61340	15.39202	-18.56335	25.50206	15.74750	22.55654	-55.91521	-3.39146	-5.72516	-22.54744	-1.83441	-1.05368	31.05837	20.83908	-60.89870	47.76927	-29.88183	-112.87366	-14.91791	-5.14720	0.38344	0.32807	0.20716	0.03494	
