	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d
8	8.00000	0.02800	106.22043	93.10465	-29.79778	-21.65262	58.72361	12.37036	16.32972	-46.12625	-15.93442	-12.55935	9.16480	2.14763	-2.62610	-36.56563	5.24798	45.98179	49.64955	-31.23579	-10.39595	14.09945	23.74440	0.43693	0.44479	-0.20689	0.08607	
9	9.00000	0.03200	106.39799	93.54513	-31.32787	-22.00104	59.98234	15.61495	16.50549	-49.54156	-15.59535	-12.26715	9.63361	2.15657	-2.33104	-34.08498	-0.27705	-55.94400	87.38902	-25.32116	-24.65899	22.59021	42.08471	0.43729	0.44502	-0.24988	0.06225	
10	10.00000	0.03600	105.77339	93.81009	-28.32540	-21.67684	57.15369	15.25004	16.69968	-49.08669	-15.74141	-12.22183	9.24400	2.16229	-2.35860	-36.09487	-5.92838	-125.85497	68.07493	-54.86620	4.69418	-40.05758	44.16363	0.43753	0.44527	-0.17706	0.13477	
11	11.00000	0.04000	105.39111	94.08015	-28.12338	-21.68599	56.57101	17.56474	16.59875	-51.37129	-15.94598	-11.91575	9.38367	2.25963	-2.07735	-21.98839	28.13638	-110.48082	16.69479	-73.43546	-4.32910	-22.14958	34.27356	0.43829	0.44534	-0.00303	0.18669	
12	12.00000	0.04400	104.89226	93.94387	-26.48668	-21.49935	54.85512	16.83843	16.55970	-50.64206	-15.94447	-11.95136	9.33218	2.12376	-1.96805	-0.21442	-29.69064	-65.21507	-17.21352	40.14942	87.77460	7.82847	3.14896	0.43835	0.44547	0.17009	0.11118	
13	13.00000	0.04800	104.87022	93.95633	-26.55428	-21.56995	55.43382	18.91495	16.46355	-51.96340	-15.89012	-11.89370	9.66391	2.09526	-2.33069	-6.96941	-47.93859	-19.68189	-41.03954	98.07688	138.24231	8.13279	-10.41428	0.43860	0.44583	0.31570	-0.01802	
14	14.00000	0.05200	104.72634	93.60342	-23.47443	-21.44637	52.83480	14.93469	16.19477	-47.70625	-15.85418	-12.03482	9.09071	2.07211	-2.28146	-6.07426	-16.17623	27.68941	-54.20333	73.53696	95.74881	2.72804	-38.90881	0.43858	0.44609	0.36492	-0.09699	
15	15.00000	0.05600	105.12445	93.52915	-25.70292	-21.56048	55.23080	15.79472	16.06079	-48.20454	-15.83815	-12.20327	9.35879	2.07666	-2.38650	-8.51876	-12.54476	58.07446	-0.59332	62.98562	51.23296	1.99801	-28.10332	0.43825	0.44645	0.27620	-0.11026	
16	16.00000	0.06000	105.20170	93.58783	-27.98991	-21.62005	57.53626	16.67317	15.99783	-48.96737	-15.79701	-12.25920	9.66247	2.18892	-2.34293	-27.36454	17.84428	14.62133	56.70689	-9.77426	-16.92062	29.66797	32.94715	0.43803	0.44685	0.06132	-0.09796	
17	17.00000	0.06400	105.26967	93.98074	-31.43937	-21.67077	60.48301	19.22730	16.07020	-51.64048	-15.51208	-11.93336	9.95663	2.38655	-2.06036	-14.95416	-20.08379	-54.03114	77.41306	52.67530	-7.61378	-6.32691	21.73000	0.43829	0.44711	-0.14719	-0.21797	
18	18.00000	0.06800	104.73260	94.21017	-31.11364	-21.49864	60.86190	20.69074	16.04488	-52.88933	-15.81936	-12.07841	9.90022	2.60863	-2.39808	15.39798	-56.41947	-161.84283	21.75377	138.59969	1.16990	-15.91717	-11.82028	0.43800	0.44723	-0.23952	-0.33353	
19	19.00000	0.07200	103.97444	94.16569	-29.39905	-20.99861	59.68914	19.48163	16.09497	-51.87562	-15.65849	-12.02925	9.61620	2.65335	-2.61006	-6.30290	26.90814	-135.29022	10.74648	42.16201	-79.57395	45.11461	46.29139	0.43810	0.44725	-0.22114	-0.27107	
20	20.00000	0.07600	103.64747	94.29275	-28.38234	-20.85205	58.64960	18.37663	16.20714	-51.30289	-15.41833	-11.70956	9.51239	2.60456	-2.10147	-9.36382	-48.87554	-37.47137	-18.51882	131.46104	17.47829	32.74254	24.21301	0.43849	0.44738	-0.08180	-0.17995	
21	21.00000	0.08000	103.68450	94.02136	-26.16119	-20.95036	57.71422	18.11597	16.15585	-50.42521	-15.36224	-11.84641	9.52647	2.56218	-2.92288	-6.47187	-26.31377	25.23066	-14.56841	97.74911	9.04957	28.04251	4.09986	0.43849	0.44734	0.04661	-0.06987	
22	22.00000	0.08400	103.84045	94.17840	-25.43582	-21.13794	56.68051	17.81047	16.25293	-50.68640	-15.19560	-11.68757	9.59133	2.43295	-2.27197	3.11751	78.28701	62.77719	25.99618	-37.15893	-111.02349	72.74164	10.83709	0.43875	0.44729	0.06237	-0.05742	
23	23.00000	0.08800	104.18591	94.21861	-24.41581	-21.52932	55.78828	16.88594	16.32438	-50.13262	-14.82398	-11.76247	9.53865	2.40920	-2.32490	0.78707	0.71914	127.33956	-17.33343	40.06111	-77.10530	114.36982	40.24402	0.43871	0.44736	0.00399	-0.14670	
24	24.00000	0.09200	104.85857	94.04364	-23.58184	-21.94493	55.27400	15.39240	16.27686	-48.98271	-14.31103	-11.33890	9.32622	2.37089	-2.25005	-26.03825	-9.70733	123.24343	-23.19138	57.44825	-58.96544	42.02748	62.49595	0.43897	0.44756	-0.06934	-0.29123	
25	25.00000	0.09600	105.17661	94.01891	-24.20342	-22.13303	56.04810	14.30859	16.15559	-48.12989	-14.53414	-11.22923	9.11599	2.41034	-2.17854	-13.51015	3.39916	75.96137	-7.98108	71.73296	-8.57839	3.58874	37.05457	0.43968	0.44726	-0.11545	-0.41523	
26	26.00000	0.10000	105.46377	93.95872	-25.07936	-22.37544	57.23605	16.00449	16.00902	-49.64003	-14.33314	-11.00743	9.24969	2.28295	-2.12223	-6.38135	-8.75070	32.57497	-25.22666	74.59974	59.56131	39.64967	29.63514	0.43985	0.44753	-0.08714	-0.32176	
27	27.00000	0.10400	105.44277	93.81416	-25.18459	-22.25836	57.55207	16.64968	15.77660	-49.90385	-14.22710	-10.95137	9.26572	2.30890	-2.20623	-10.37356	-41.49885	-9.65177	1.06677	55.73193	101.28584	14.64027	13.00515	0.44014	0.44777	-0.02137	-0.09278	
28	28.00000	0.10800	105.38570	93.96787	-23.28770	-21.98757	56.02164	15.68111	15.87227	-48.51819	-14.21497	-10.88891	8.98585	2.38226	-2.35795	-24.17208	7.28521	-67.79451	26.81553	-25.19841	34.90177	-20.27695	-10.14287	0.44040	0.44788	0.00620	0.19379	
29	29.00000	0.11200	104.89931	94.02998	-22.56718	-21.61836	54.92554	16.07145	15.90179	-49.06826	-14.37969	-11.05482	9.10901	2.49058	-1.94619	-17.70714	30.79784	-147.47673	72.59171	-43.77672	-5.65198	4.50297	7.88417	0.44014	0.44796	-0.02762	0.44086	
