	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d
8	8.00000	0.02800	88.16590	78.95661	10.41058	-14.44770	27.64325	-25.54970	20.09983	-21.15887	-20.04879	-7.09226	3.68311	4.87025	-2.98784	-16.55202	-8.70737	-21.23416	-11.91138	-35.26194	47.87821	1.48358	25.68198	0.34450	0.37755	0.15466	0.08240	
9	9.00000	0.03200	88.06477	78.97905	11.17104	-14.54160	26.93171	-25.82841	20.23327	-20.70681	-19.93822	-6.91262	3.57726	4.94778	-2.94367	0.57883	-10.74583	-35.08136	-16.59643	27.20740	40.07042	27.65240	58.74308	0.34466	0.37737	0.20579	0.10951	
10	10.00000	0.03600	87.88165	78.82637	13.00218	-14.78614	25.35333	-26.91981	20.54294	-19.55325	-19.69205	-6.59586	3.30572	5.11344	-3.07396	18.30176	-17.46235	-5.98620	-29.00688	54.26077	43.77827	42.04493	72.94708	0.34532	0.37708	0.20114	0.05648	
11	11.00000	0.04000	88.01736	78.74521	11.13689	-14.55315	27.39879	-25.84768	20.39789	-20.33829	-19.42585	-6.28662	3.63939	5.09177	-3.26462	27.40847	-4.69484	-1.14592	-37.80476	32.27933	33.44600	41.65095	70.98080	0.34601	0.37671	0.14643	-0.02810	
12	12.00000	0.04400	87.87207	78.52680	11.58783	-14.63082	26.97976	-26.50111	20.51388	-19.67792	-19.17153	-5.96115	3.49684	5.15012	-3.36984	23.98588	37.95459	-35.81429	-49.76207	-35.98482	-54.78469	27.46536	62.78717	0.34680	0.37639	0.01098	-0.05499	
13	13.00000	0.04800	87.72652	78.34687	10.06722	-14.56538	28.14635	-26.02759	20.47309	-20.60797	-19.04365	-5.69851	3.84455	5.08485	-3.17821	15.63399	10.49314	11.28696	-13.52813	-37.03930	-64.24696	13.32057	49.34994	0.34725	0.37613	-0.07430	-0.05130	
14	14.00000	0.05200	87.96230	78.41505	10.70817	-14.69475	27.53446	-26.61297	20.84358	-20.08729	-18.95989	-5.48732	3.58712	5.10340	-3.41622	7.46084	-0.09209	54.35892	33.43969	-44.48031	-43.90229	9.71142	25.64778	0.34763	0.37606	-0.14218	-0.03059	
15	15.00000	0.05600	88.16060	78.61617	10.45677	-14.65911	27.41357	-26.32641	20.94217	-20.67923	-18.92522	-5.44880	3.58821	4.91568	-3.21018	13.90408	12.21113	35.16868	91.56464	-8.17340	-17.88811	-4.54176	13.68549	0.34768	0.37614	-0.17641	-0.03527	
16	16.00000	0.06000	88.24849	79.14796	10.91312	-14.93540	27.27149	-24.84458	20.66343	-21.88379	-18.99922	-5.37936	3.71728	4.95334	-3.42804	14.07070	2.00161	15.97714	97.13351	31.17339	9.15557	-30.00242	1.27178	0.34801	0.37643	-0.09552	-0.05788	
17	17.00000	0.06400	88.28730	79.39885	11.54422	-14.99104	26.61146	-25.26184	20.82867	-21.60096	-19.20134	-5.48814	3.53261	4.87324	-3.29798	-6.08284	2.72199	-3.37290	38.07026	29.53533	15.49032	-49.01974	-28.77426	0.34788	0.37665	0.03047	-0.07488	
