	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_001.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	44.21766	76.14281	-7.45867	-24.29389	27.82134	-20.33963	20.84828	-36.02536	-31.14834	-14.19962	5.55491	3.43984	-2.39672									0.33726	0.37980			7.36800
2	2.00000	0.00400	46.17867	75.98122	-12.45186	-24.90377	32.64352	-18.46859	20.44856	-37.68599	-31.45307	-14.57175	6.42603	3.51089	-2.51757	23.92296	24.31661	426.73679	-36.69781	57.22717	-4.05866	-85.55686	-41.01396	0.33755	0.37943			
3	3.00000	0.00800	47.62904	75.86774	-14.56938	-25.59785	34.73610	-18.33013	20.36797	-37.93978	-31.84749	-14.53461	6.74910	3.67787	-2.48231	3.30013	-1.00730	328.10300	11.18058	-90.23148	-23.55161	-25.84454	10.48137	0.33791	0.37905	-0.03861	0.34217	
4	4.00000	0.01200	48.80442	76.06603	-16.10681	-25.76316	35.21762	-17.72490	20.21928	-38.57209	-31.66500	-14.48567	6.92477	3.92859	-2.59079	-14.58133	-37.13580	254.28423	5.58543	-171.06091	28.71395	28.59910	36.33292	0.33847	0.37928	-0.04577	0.50585	
5	5.00000	0.01600	49.66265	75.92209	-15.97765	-25.71538	34.63821	-17.25914	20.08361	-38.71415	-31.61670	-14.23509	6.83230	3.92002	-2.66364	-24.87365	-40.55192	179.71739	-17.18897	-141.00591	46.12900	18.88881	58.30270	0.33909	0.37999	-0.02031	0.65510	
6	6.00000	0.02000	50.24377	75.91674	-14.95691	-25.58082	33.05315	-17.84490	20.27206	-38.09042	-31.51098	-14.01078	6.50472	3.94825	-2.68846	-2.78806	-20.34259	81.98324	-1.81768	-157.39748	19.46797	5.97253	85.07306	0.34005	0.38087	-0.06934	0.71941	
