	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_002.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	96.44428	88.15455	31.00768	-25.14763	0.77306	-53.27655	16.65738	13.98305	0.40328	1.02901	3.13198	5.63574	-9.00944									0.45420	0.42877			3.98000
2	2.00000	0.00400	97.13672	87.60804	27.87653	-24.40007	5.33262	-54.23659	16.56573	13.89013	0.51081	0.13773	3.01495	5.70708	-9.61198	88.88076	-39.80786	169.12654	-111.03673	352.07040	-166.67426	26.90781	-190.37337	0.45362	0.43034			
3	3.00000	0.00800	97.81474	87.24932	24.78702	-23.61226	9.25527	-54.26710	16.17767	13.59910	0.54632	-0.44583	3.10808	5.69835	-10.03525	28.48797	-26.72496	167.85977	-29.18752	152.65448	-35.99539	3.76770	-119.96707	0.45322	0.43125	-0.37812	-1.72014	
4	4.00000	0.01200	98.49237	87.36372	22.97081	-23.69292	11.04234	-54.04542	16.28938	13.41774	0.52926	-0.78717	2.89920	5.79665	-10.05083	2.17214	-11.52881	160.88469	21.24893	-58.63692	37.27453	-5.24303	-26.95298	0.45298	0.43156	-0.21197	-0.69430	
5	5.00000	0.01600	99.09980	87.41208	22.03252	-23.88473	11.31044	-53.77573	16.50371	13.42543	0.52347	-0.67566	2.71757	5.77561	-10.11196	-21.03407	-2.35571	127.62404	-12.50691	-246.92999	77.31884	-20.50480	42.33150	0.45326	0.43183	-0.04439	-0.06577	
6	6.00000	0.02000	99.49376	87.25993	21.62683	-24.01063	10.29628	-54.17060	16.75445	14.15564	0.39000	-0.51429	2.42733	5.67149	-9.85575	-30.06046	50.89388	76.69057	5.27457	-371.64325	76.15647	-33.38587	75.90407	0.45371	0.43219	0.02898	0.02344	
