	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Haeoreum_006.c3d
8	8.00000	0.02800	92.53449	86.00201	5.81030	-22.41879	28.87537	-34.75042	14.54284	-3.37507	2.42998	-6.01497	7.78269	8.99885	-7.89225	2.68140	-33.03315	-203.35283	38.19988	-96.52068	-40.28036	35.23959	-4.41778	0.43386	0.42146	-0.38173	1.37860	
9	9.00000	0.03200	91.64156	85.87592	9.38230	-22.16160	25.21322	-35.12568	14.45708	-2.98048	2.69785	-6.02760	7.72263	9.10138	-8.18989	-10.22499	-26.70621	-213.64456	-67.26105	-143.45676	-18.20852	19.48065	-9.71074	0.43385	0.42145	-0.21613	1.72902	
10	10.00000	0.03600	90.84261	85.46503	12.67151	-21.99205	21.37247	-36.02578	14.40215	-2.28530	2.72648	-6.09264	7.87408	9.14708	-8.03600	-38.50569	-0.73097	-231.53590	-73.49416	-218.99110	-23.98780	-14.51013	8.94757	0.43376	0.42141	-0.02561	1.87940	
11	11.00000	0.04000	89.81282	85.28702	15.91404	-21.63516	17.40652	-35.83042	14.25184	-2.49004	2.61867	-5.95648	8.09277	9.27997	-7.92475	-38.27708	-7.41203	-148.02528	-41.87900	-206.84975	-25.34564	-4.57931	-21.77156	0.43385	0.42112	0.12396	1.68579	
12	12.00000	0.04400	89.63548	85.13094	17.65000	-21.43786	15.08961	-35.83707	14.03825	-2.67030	2.68339	-6.26620	8.36883	9.22147	-7.83341	-20.03506	14.32073	-63.51245	-59.29635	-149.60587	-107.70776	34.90193	-54.70515	0.43286	0.42057	0.19767	1.26299	
13	13.00000	0.04800	89.27406	84.81634	20.30561	-21.85380	12.12234	-37.07985	14.48241	-2.14038	2.87724	-6.39396	8.41538	9.06144	-7.67031	-8.12457	25.59333	-30.94066	-47.73942	-78.84058	-159.51620	60.91095	-38.55616	0.43209	0.41963	0.13185	0.78129	
14	14.00000	0.05200	89.37968	84.74802	20.96993	-22.14712	11.37220	-36.53926	14.61832	-3.26554	3.11531	-6.57504	8.70768	8.81245	-7.58524	28.78610	30.00405	96.34635	21.12789	8.18673	-162.35165	84.42462	-21.86169	0.43124	0.41859	-0.01040	0.22917	
15	15.00000	0.05600	90.02901	84.98532	20.10740	-22.66915	12.36727	-35.60271	14.74632	-4.86804	3.48718	-6.56846	8.97545	8.51824	-7.69725	28.98148	37.70185	135.09256	21.88717	40.38626	-155.39648	60.64431	-25.79013	0.43103	0.41807	-0.18132	-0.20048	
16	16.00000	0.06000	90.45929	84.92313	19.82547	-23.16088	12.74896	-36.73961	14.93521	-4.31508	3.52994	-6.77860	8.79845	8.49224	-7.51138	-25.75819	6.11030	185.94409	17.29838	42.52295	-89.59203	6.40117	-48.64299	0.43063	0.41788	-0.29410	-0.44496	
17	17.00000	0.06400	91.53109	85.12345	16.43837	-22.81820	16.08118	-34.92539	14.50063	-6.24050	3.49218	-6.95420	9.16332	8.58878	-7.45267	-45.78477	-14.40094	229.48099	34.74060	38.28894	-59.21427	-7.92070	-44.87642	0.43035	0.41790	-0.31571	-0.58604	
