	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d
8	8.00000	0.02800	87.09562	107.56898	27.15690	-20.73044	17.78942	17.36659	25.06638	-56.81221	-0.16259	-44.40696	-14.80698	-1.69750	1.79299	-27.05178	-5.78218	130.84590	65.91893	-24.69939	-29.68114	50.23431	-30.94577	0.44902	0.34036	0.16261	0.07077	
9	9.00000	0.03200	87.57951	107.90217	26.86874	-20.71344	18.19286	19.20090	25.02204	-58.49274	0.01307	-44.68824	-14.58128	-1.76406	1.75119	-9.42380	-33.60682	99.50449	34.65311	77.09292	52.27396	25.91236	-54.60838	0.44932	0.34091	0.06682	0.09212	
10	10.00000	0.03600	87.88878	107.85588	28.40490	-21.49747	17.24177	19.37124	24.69161	-58.21128	0.14875	-44.85092	-14.84616	-1.75124	1.65140	-29.82500	-6.63879	69.24142	41.49288	41.30042	85.11176	4.18313	-31.38270	0.44978	0.34104	-0.07460	0.05575	
11	11.00000	0.04000	88.13187	108.23872	27.95772	-21.35855	17.50752	19.85131	24.83240	-58.40234	0.10040	-44.93898	-14.74897	-1.68903	1.96096	-33.87989	17.95469	53.05870	79.64517	2.00709	101.66772	-10.33422	-48.61662	0.45012	0.34119	-0.14846	0.01713	
12	12.00000	0.04400	88.31074	108.49547	28.64571	-21.69518	17.03396	20.88775	24.51829	-58.77569	0.08933	-45.24319	-14.95098	-1.60902	2.07441	-4.04856	17.99895	37.99598	54.56689	-1.38097	110.40054	-25.76017	-85.38144	0.45059	0.34069	-0.18954	0.00689	
13	13.00000	0.04800	88.43544	108.68104	29.37929	-21.75778	16.17535	20.11518	24.30836	-57.75668	-0.05197	-45.62219	-15.32373	-1.56400	2.17575	5.58389	-4.94438	62.86832	28.05619	-32.23135	76.04056	8.72572	-80.08322	0.45082	0.34037	-0.19364	0.00805	
14	14.00000	0.05200	88.80985	108.71958	29.00755	-21.59232	16.44025	18.95083	24.10927	-56.40048	0.22355	-45.88084	-15.45668	-1.51880	2.02954	12.75103	-18.44298	74.59464	16.97487	-31.81556	61.54560	33.11609	-84.28720	0.45123	0.34023	-0.20610	0.03849	
15	15.00000	0.05600	89.03359	108.81950	29.09892	-21.82917	16.18165	17.72424	23.88397	-55.08287	0.29665	-46.28075	-15.64587	-1.50286	1.96319	-4.75007	-34.32182	62.34050	39.37414	-20.85056	40.88034	-10.10494	-97.24204	0.45172	0.34007	-0.12744	0.03032	
16	16.00000	0.06000	89.30934	109.03111	27.80166	-21.56350	17.39409	18.20946	23.93129	-55.39611	0.17179	-46.67152	-15.18204	-1.56305	1.82397	-14.13183	-16.61157	55.87189	31.68372	-11.17071	-21.77587	23.63987	-83.65912	0.45245	0.33986	0.06041	0.00288	
17	17.00000	0.06400	89.47711	109.07043	27.71922	-21.69338	17.37547	17.96215	23.94127	-55.47434	0.44872	-46.97502	-14.95515	-1.72647	1.93430	15.80972	-3.48717	37.54406	5.54904	-8.18926	-63.56787	75.88346	-69.41408	0.45328	0.34005	0.26586	-0.09225	
