	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_001.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000									1.01900	3.68389												0.48570	0.44873			4.73200
2	2.00000	0.00400	84.55627	66.94531	-8.05075	-15.17114	40.01412	-37.81335	14.21680	-7.44116	1.10500	4.13468	4.29991	-1.35527	-6.72354	35.06825						-11.63081	29.18676	0.48639	0.44896			
3	3.00000	0.00800	84.71447	66.94947	-10.46646	-15.06451	42.61913	-37.01035	14.16541	-8.48010	1.01621	4.05015	4.39650	-1.24156	-6.66183	22.43008	13.88116	28.07717	0.52906	138.55424	-27.58095	-16.12046	-20.76186	0.48631	0.44902	-0.48180	-0.91719	
4	4.00000	0.01200	84.77800	66.94856	-12.85341	-15.14178	45.76258	-35.37400	13.95794	-10.02599	1.00692	3.96526	4.55371	-1.34723	-6.78499	10.31252	2.68998	12.22369	-14.23735	155.07791	-58.20609	-1.92116	-49.50244	0.48612	0.44899	-0.47194	-0.96035	
5	5.00000	0.01600	84.80662	66.82937	-14.12889	-15.36313	47.39379	-36.22975	14.16375	-9.70318	0.98797	3.57146	4.28701	-1.26493	-6.71820	3.33608	-19.29648	-18.41259	-51.60617	145.86411	-48.91382	10.57143	-68.21367	0.48555	0.44887	-0.45394	-0.83044	
6	6.00000	0.02000	84.60316	66.53764	-15.90199	-15.56920	49.87144	-34.42852	13.86918	-11.33417	1.05169	3.33822	4.59387	-1.44568	-6.96099	-5.39689	-18.72717	-60.04399	-73.93788	74.79985	-58.84448	19.64131	-49.09118	0.48505	0.44868	-0.41232	-0.61341	
