	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d
8	8.00000	0.02800	63.03159	75.97944	22.18892	-14.28675	18.61334	4.62357	11.27630	-38.39397	-5.12392	-0.28295	-20.15232	-10.47205	4.85771	23.79221	11.43645	-63.45146	69.14577	113.73083	-70.28159	39.80765	24.72099	0.38037	0.29865	0.49017	0.19686	
9	9.00000	0.03200	62.68469	76.20368	25.66911	-14.92554	15.67248	2.77633	11.53424	-36.83204	-4.96456	-0.16737	-20.51338	-10.60175	4.86556	20.90571	33.60469	-67.02541	64.37627	95.25518	-38.70070	48.62014	30.96112	0.38017	0.29829	0.33869	0.23895	
10	10.00000	0.03600	62.49244	76.48262	25.24486	-15.18188	16.41946	4.16267	11.58327	-38.25186	-4.76525	-0.00606	-20.20164	-10.52864	4.93599	-0.65612	5.02678	-10.31664	57.61490	107.84762	27.69444	63.61669	43.12424	0.37991	0.29793	0.30309	0.31234	
11	11.00000	0.04000	62.60592	76.65818	25.60758	-15.48772	16.59371	4.27024	11.63482	-38.07353	-4.48773	0.19794	-20.20012	-10.67538	4.93528	-8.34733	-16.11064	50.39107	63.13602	58.36468	35.27145	62.67459	60.71355	0.37916	0.29774	0.42799	0.38855	
12	12.00000	0.04400	62.89080	77.01582	23.73924	-15.13552	18.33744	5.59505	11.81789	-39.37279	-4.29386	0.48542	-20.00437	-10.71821	4.90817	-8.11069	0.74007	60.93052	90.60612	-39.07724	-26.11631	54.47354	74.82355	0.37827	0.29744	0.57619	0.45745	
13	13.00000	0.04800	63.09338	77.40234	23.20495	-14.95595	18.59857	5.20395	11.95915	-39.19635	-4.07276	0.79079	-20.26559	-10.60360	5.02984	-0.32300	2.99430	31.03288	65.51372	-132.90785	-4.76939	52.38367	66.64764	0.37703	0.29725	0.62620	0.47332	
14	14.00000	0.05200	63.14769	77.52340	21.54738	-14.10871	19.39443	7.21458	11.91938	-40.99464	-3.88275	1.00936	-20.31696	-10.65082	4.95119	11.96592	0.50721	-45.11642	-11.28796	-83.01404	-18.99569	45.11932	63.02863	0.37587	0.29689	0.55115	0.43030	
15	15.00000	0.05600	62.72631	77.31741	21.97871	-14.05425	19.11851	7.91933	11.95928	-42.00541	-3.70665	1.28888	-20.28489	-10.59519	4.96058	10.81382	3.64110	-110.48671	-31.57891	65.32259	-72.75961	53.60740	64.84480	0.37475	0.29615	0.45197	0.34428	
16	16.00000	0.06000	62.26366	77.26627	23.08814	-14.21992	18.42228	8.92162	12.03492	-43.24647	-3.43635	1.52720	-20.22555	-10.63093	4.88795	6.99408	-13.00714	-134.93462	-54.54987	111.66135	-44.20974	79.40546	60.31929	0.37412	0.29526	0.25658	0.23460	
17	17.00000	0.06400	61.64640	76.90575	25.39219	-14.66874	16.70456	7.46316	11.91520	-41.91273	-3.04946	1.77425	-20.23811	-10.65564	4.79192	10.74690	-41.10421	-114.58073	-141.15433	82.28111	24.71161	94.94476	63.95276	0.37339	0.29475	-0.04350	0.20292	
