	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_010.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	66.84161	86.80807	28.81090	-22.01764	18.62277	17.23836	20.85675	-54.07129	-6.14310	-6.22414	-24.46340	-2.84411	-0.74569									0.39664	0.34750			2.79600
2	2.00000	0.00400	67.15961	86.06303	29.61200	-21.19368	16.53407	13.60762	20.80860	-51.58801	-6.42496	-5.92286	-24.62392	-2.78481	-0.87114	-1.79015	-24.24286	8.64299	-113.09494	-230.20584	-186.90021	-65.99240	72.31501	0.39588	0.34663			
3	3.00000	0.00800	66.91693	85.88225	30.03547	-20.70167	15.63943	11.91264	20.96264	-50.58881	-6.57403	-5.56090	-24.67469	-2.72100	-0.93982	-0.14707	0.94702	-21.36218	9.96749	-118.50237	-94.87993	-10.22366	64.68559	0.39538	0.34618	0.24599	-0.06926	
4	4.00000	0.01200	66.98964	86.14363	29.46494	-20.34620	15.72566	12.13669	21.13175	-50.97186	-6.47922	-5.35763	-24.65506	-2.65221	-0.87741	4.99313	21.28877	32.11600	90.06235	-65.62971	-41.07638	39.50315	26.80667	0.39529	0.34600	0.04491	0.09066	
5	5.00000	0.01600	67.17348	86.60418	28.93013	-20.57823	16.15083	12.26641	21.37851	-51.24749	-6.27438	-5.33642	-24.61051	-2.57669	-0.82009	15.65017	32.66031	43.62305	134.11888	-5.03613	-41.79666	55.34974	-11.74846	0.39534	0.34609	0.03701	0.09745	
6	6.00000	0.02000	67.33784	87.21658	28.66678	-21.04045	16.43317	12.39909	21.60696	-51.55050	-6.06295	-5.46634	-24.57842	-2.48178	-0.74743	15.54175	35.36014	-45.95033	123.78302	25.77448	4.28168	44.44028	-28.26406	0.39552	0.34602	0.04465	0.01517	
