	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d
8	8.00000	0.02800	87.22510	89.50705	3.18209	-19.97841	24.60062	-2.27915	17.99145	-24.65662	-22.43929	-3.65415	7.29312	5.59942	-5.31348	9.98652	-41.09772	169.65988	7.99508	-128.13554	-14.73590	11.69919	21.64835	0.38442	0.43125	0.07207	0.24035	
9	9.00000	0.03200	87.86436	89.70135	1.04683	-19.76327	25.90588	-1.22617	18.27577	-25.79906	-22.41939	-3.59877	7.58411	5.52164	-5.43901	30.10087	13.04047	114.27687	37.85319	-204.60838	-25.81278	-13.60290	-28.80267	0.38407	0.43118	0.13098	0.26193	
10	10.00000	0.03600	88.13584	89.80223	0.38771	-19.39422	25.59210	-2.55850	18.66978	-24.59941	-22.49932	-3.83395	7.47021	5.46156	-5.44651	39.86430	66.76364	7.99855	-0.03970	-215.58696	-41.35379	-14.15379	-60.43026	0.38347	0.43102	0.14573	0.35496	
11	11.00000	0.04000	87.91589	89.70251	0.86700	-18.80606	24.34735	-4.72991	19.12105	-22.81273	-22.51466	-4.01300	7.35249	5.30932	-5.20942	20.28320	21.11595	-93.93929	-77.92890	-106.93230	27.80339	12.97941	-49.98675	0.38323	0.43095	0.18008	0.33508	
12	12.00000	0.04400	87.38459	89.16946	2.46657	-18.43569	22.76869	-6.30463	19.09617	-20.83543	-22.41394	-4.17501	7.14915	5.41429	-5.43318	-13.09216	-23.49110	-96.37031	-89.67262	-31.24707	84.75874	18.93227	-39.22394	0.38336	0.43100	0.27546	0.17996	
13	13.00000	0.04800	87.14472	88.98525	1.84008	-17.94144	23.17613	-5.70140	19.03845	-21.21703	-22.41375	-4.29914	7.34262	5.41329	-5.30023	-53.24433	-15.05359	-88.86543	-69.38020	-42.62778	63.69884	-3.56117	-0.58382	0.38353	0.43119	0.40716	0.10274	
14	14.00000	0.05200	86.67394	88.61314	2.12912	-17.64424	22.74706	-5.65585	18.60467	-20.93860	-22.52393	-4.18859	7.49635	5.57644	-5.14405	-78.91954	-71.28078	-114.66621	-56.68334	5.14477	76.81410	-20.20043	52.35583	0.38384	0.43154	0.41257	0.09123	
15	15.00000	0.05600	86.23052	88.51241	3.31461	-17.67432	21.81211	-5.88598	18.48778	-20.42713	-22.66083	-3.92100	7.51972	5.82663	-5.25027	-69.08247	-74.10131	-104.80744	-38.52656	40.98296	28.57694	-29.68305	85.14455	0.38411	0.43186	0.18458	0.11228	
16	16.00000	0.06000	85.84843	88.29847	4.75224	-17.50103	20.57441	-6.98515	18.42222	-19.45012	-22.79906	-3.57412	7.34779	5.84091	-5.18359	-35.29566	-19.62429	-63.72888	61.64145	14.67881	-72.30966	-38.21504	81.15303	0.38444	0.43208	-0.14943	0.22636	
17	17.00000	0.06400	85.72025	88.99827	5.40619	-17.29998	19.93471	-6.38155	18.92700	-20.53372	-22.93044	-3.35418	7.31202	5.78285	-5.12222	1.78912	26.29907	-18.37937	189.56525	-46.21302	-151.13953	-39.38724	32.00635	0.38465	0.43211	-0.40780	0.33617	
