	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d
8	8.00000	0.02800	76.76855	67.94878	-0.84497	-19.50110	40.36775	-17.88197	16.55695	-32.45747	0.98488	1.32704	7.72634	-8.32995	-3.52799	-13.61217	-27.36665	-76.51379	-44.07245	6.00119	92.41971	-23.01323	54.40176	0.43081	0.40053	0.27279	-0.03878	
9	9.00000	0.03200	76.49747	67.57787	-0.20779	-19.08424	39.74305	-18.93420	16.25725	-31.21037	0.86897	1.48979	7.72559	-8.27008	-3.60423	-9.47440	-28.18479	-43.60397	-16.02502	-22.18511	29.23097	-34.34929	18.57564	0.43084	0.40064	0.18480	-0.31089	
10	10.00000	0.03600	76.41884	67.81647	-0.96660	-18.69304	40.30850	-19.12171	16.37177	-31.03386	0.71011	1.48049	7.70876	-8.20596	-3.67345	-24.43697	-20.62575	16.64915	19.59014	-63.28481	13.80918	-27.10323	-4.79903	0.43079	0.40088	0.20940	-0.37093	
11	11.00000	0.04000	76.63066	67.72929	-2.88325	-18.27326	41.77337	-20.46515	16.43755	-29.63149	0.65291	1.44382	7.70310	-8.14143	-3.58260	-6.44097	-8.26725	118.15810	23.91955	-82.93457	-4.81701	-24.18841	-57.07076	0.43181	0.40005	0.17526	-0.20741	
12	12.00000	0.04400	77.36412	68.02215	-4.96785	-18.34108	43.44448	-20.31649	16.48968	-29.92599	0.51629	1.00068	7.71101	-8.08361	-3.68681	18.08855	-0.54495	109.02393	61.61032	-37.55196	-44.36541	-10.16799	-98.49255	0.43040	0.40149	0.06709	-0.10044	
13	13.00000	0.04800	77.49088	68.22238	-5.97722	-18.42770	44.41044	-20.19028	16.59252	-30.24999	0.57093	0.62531	7.73405	-8.05615	-3.71928	15.93669	-2.53357	72.39399	-8.30546	26.68121	-60.36975	18.03666	-79.42151	0.43005	0.40166	0.05326	0.03337	
14	14.00000	0.05200	77.94362	67.95384	-5.58206	-18.84177	44.24273	-20.67286	16.45598	-30.06741	0.66057	0.34317	7.77893	-8.07607	-3.83682	22.85172	-11.54011	76.80118	-38.00629	71.34892	-25.20802	18.77284	-46.39989	0.42977	0.40161	0.04431	0.08733	
15	15.00000	0.05600	78.11328	67.93707	-5.14841	-19.21416	44.19691	-20.09807	16.39851	-30.54051	0.72112	0.24240	7.85375	-8.13637	-3.99867	-0.43411	-22.57231	79.79874	-10.89861	74.15124	33.89677	16.18548	0.76600	0.42960	0.40136	0.06425	-0.00479	
16	16.00000	0.06000	78.56887	67.87280	-5.31068	-19.76426	44.57804	-19.91853	16.37613	-30.51978	0.79059	0.34964	7.94297	-8.20030	-4.02778	-23.01942	-30.01594	40.28627	19.81118	85.87131	19.92231	-4.76134	21.31861	0.43030	0.40025	-0.00621	-0.01260	
17	17.00000	0.06400	78.44890	68.09110	-3.87319	-20.37750	43.68911	-19.21798	16.59065	-31.22528	0.68314	0.43153	8.00744	-8.22035	-4.06715	-26.50415	-27.58684	-7.14296	38.39419	102.71845	15.65684	-25.25782	6.52992	0.43018	0.39998	-0.04443	-0.08588	
