	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_009.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	65.46690	81.66954	6.23095	-12.95549	29.84616	-4.66784	11.26220	-21.75179	-10.98232	0.10619	-21.01142	-12.01116	6.86275									0.38757	0.30583			3.02400
2	2.00000	0.00400	65.58407	78.43204	10.37996	-13.78749	27.56366	-11.84854	11.01300	-15.93359	-10.47780	0.28670	-21.16573	-12.21145	6.74878	-10.90770	-34.37626	-30.53440	-559.15076	311.08774	-350.67990	116.62901	45.45840	0.38673	0.30533			
3	3.00000	0.00800	65.20765	77.22945	14.28889	-14.20405	24.51146	-14.77953	11.14281	-14.62979	-10.05437	0.42816	-21.55747	-12.21008	6.61114	-28.99622	-18.54815	14.00642	-139.32716	81.41743	-313.03833	95.53695	35.25087	0.38608	0.30499	1.53007	0.56703	
4	4.00000	0.01200	65.69524	77.32425	12.81085	-14.09408	25.85497	-11.35873	10.96164	-18.91886	-9.70904	0.56046	-21.45959	-12.25652	6.79946	-30.75608	-7.60029	51.52405	48.18438	-116.61783	-72.00757	62.54819	29.16710	0.38561	0.30454	0.84974	0.65916	
5	5.00000	0.01600	65.63758	77.63931	12.40694	-13.61758	25.40306	-10.57639	10.87277	-19.33236	-9.55191	0.68254	-21.62715	-12.21267	6.77675	-26.50086	-20.57410	29.42281	144.43942	-220.04974	145.52084	48.52251	9.71530	0.38518	0.30380	0.28415	0.62279	
6	6.00000	0.02000	65.93359	78.48589	10.13120	-13.13971	26.70064	-7.25253	10.71753	-21.78849	-9.32175	0.66872	-21.59364	-12.09860	6.79053	-18.79800	-14.38961	96.54441	177.56752	-200.63864	216.40353	58.24356	-7.38796	0.38491	0.30290	0.31210	0.52701	
