TIME,TORSO_PELVIC_ANGLE_Z,LT_ELBOW_ANGLE_X,LT_SHOULDER_ANGLE_Z,LT_SHOULDER_ANGLE_X,LT_SHOULDER_ANGLE_Y,RT_KNEE_ANGLE_X,RT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,LT_ELBOW_ANGULAR_VELOCITY,LT_SHOULDER_ANGULAR_VELOCITY
2.968,15.499387445728166,95.15557646999713,185.06707100271393,1.0108201306796643,82.93333412581518,36.59319339562696,402.2028253019684,26.72755501111962,35.54981215875119,522.8251175084084,836.1385015719852,1681.1341024124888,203.50147117965128
2.972,15.016778012751892,88.23926759769635,182.94809888152852,0.2446397050768598,81.9879200105996,34.85547384874886,447.7083425949897,29.525966062313657,35.15466069774579,476.71674384012806,773.5743594517692,1778.6961968397645,700.8660982041887
2.976,14.61369243501028,81.0710740498561,178.73832223601875,-0.24056299828906091,80.81878593648577,32.938206800971315,491.7161011052247,32.156461511740154,34.68071835830167,422.2951522363661,707.8309383171845,1815.1131086074563,1228.0866138459028
2.98,14.271823391542203,73.89993576914638,172.42487505232236,-0.4832477158889385,79.52046575468746,30.855376967815037,532.6675695173184,34.62249749003291,34.14401842461974,360.8750317098435,640.8375655331506,1786.1142766242674,1761.4261938071286
2.984,13.969947488753904,66.97672138155119,164.1081236823783,-0.5481612243234987,78.20313010467746,28.627968047352354,569.0038048045003,36.935518598342156,33.556096504643975,294.35057556683495,574.6979028529497,1692.411525959457,2273.421706722147
2.988,13.684845210136771,60.53309628871535,154.00675816706894,-0.5254446640922982,76.98572350523165,26.283270217800283,599.2564179241468,39.112570665199996,32.923571065798086,225.0982750734742,511.5379791003681,1540.0853248026149,2734.9000711363847
2.992,13.392486491387187,54.760604420341686,142.45134835663762,-0.5272096381151419,75.98823721405923,23.85362138836821,622.1455493490305,41.17372805843239,32.24826701635179,155.80881968226188,453.3539158239904,1340.4682469727152,3117.4681327505687
2.996,13.06932529511309,49.792331503054896,129.86525203353807,-0.6814051127251907,75.32378941661842,21.374613748913504,636.6722607639214,43.13966014387679,31.527831949556045,89.26817347536216,401.87780142385924,1109.4489906741167,3396.1949658509748
3.0,12.693556417244837,45.68968890732197,116.73352954683826,-1.1231838342306069,75.0911868423381,18.88288018310518,642.1921799812657,45.02962890590401,30.756721815168813,28.115500086995496,358.4751902753513,866.1721521331795,3552.084593019308
3.004,12.246221890391737,42.43668159387908,103.56272442814175,-1.984460503006693,75.36857766895191,16.413652960678856,638.4600682050626,46.860124420484816,29.92739687113119,-25.39060901181615,324.0804160516675,631.2148298222461,3573.8850179232118
