TIME,TORSO_PELVIC_ANGLE_Z,LT_ELBOW_ANGLE_X,LT_SHOULDER_ANGLE_Z,LT_SHOULDER_ANGLE_X,LT_SHOULDER_ANGLE_Y,RT_KNEE_ANGLE_X,RT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,LT_ELBOW_ANGULAR_VELOCITY,LT_SHOULDER_ANGULAR_VELOCITY
2.28,14.81599903437802,109.93056080460582,64.49846377380723,57.72920333456786,61.536251656855256,63.050539266990675,84.43583708196822,5.332165842269263,5.784627840099919,695.1695475966243,852.3943429264478,20.448198210906078,-1353.3982210810163
2.284,14.099153526711044,109.74027791875339,70.3838002639356,57.17921683963598,60.02940492313691,62.872335348080746,26.002677372405582,5.084558897786423,6.503510276179656,690.2818350151716,872.9626701929141,78.27857711531617,-1431.6627179854208
2.288,13.308712926875874,109.31097674756562,76.72156833857183,56.35437737516568,58.99072399357562,62.87982104566201,-27.516744009425476,4.944656554711922,7.242058061332067,684.0832393390373,887.2351757190587,135.38138806965287,-1501.3911249181515
2.292,12.465944735639289,108.66168867375309,83.48916245100882,55.17936573567061,58.468405504756376,63.0548061496135,-71.41726296310446,4.919976271807706,8.003060176313994,675.9165986626232,894.6042983176719,183.78759247265563,-1556.936692617338
2.296,11.591977715904495,107.84309304251076,90.63119408528486,53.59897135742815,58.48242142744914,63.36182770945166,-101.83675577305455,5.013583538465643,8.791780654453616,665.4374222663125,894.5979403839589,216.62160172463214,-1594.0492891621614
2.3,10.708703211575266,106.92974816638242,98.06303766211917,51.587874821622236,59.026337311221255,63.75127348281032,-116.16624688180522,5.224390705230359,9.615286233302358,652.8135182074852,887.1056509420561,229.6361361168633,-1610.718923434583
2.304,9.839242356277822,106.00685745012238,105.67906219947204,49.15704276788915,60.07147669276564,64.16426637773166,-113.3621830625639,5.547917133708623,10.481205837047565,638.7562484867761,872.5543435595674,222.24822305984205,-1607.683210294391
2.308,9.007591778119487,105.15411310107704,113.36467554021047,46.355048563091025,61.57202119757363,64.53890996457554,-94.12798187321381,5.97731990566991,11.396079316650194,624.3720613479667,851.9571156799715,197.8805801914882,-1588.4332499776203
2.312,8.237359767777145,104.42959871653333,121.01026259980982,43.26349552564923,63.469837957265185,64.81730184291538,-60.92602707119376,6.504436794744065,12.363578256847163,610.8745021333748,826.808875646745,163.59404419710017,-1558.6244828601164
2.316,7.549765938109238,103.85642764233361,128.52420258914591,39.98710551060146,65.69826695251052,64.95251236159629,-17.78022188137756,7.120603916128365,13.382943067313132,599.2371320363275,798.861212854934,129.1587816036414,-1524.9190921778882
2.32,6.961251154814571,103.41395357361246,135.84181728318515,36.6404251253567,68.18458714617275,64.91454722201169,30.15252667994878,7.817120156743512,14.447957377647839,589.8859113397757,769.8492418642064,105.80016464694417,-1493.419320081103
2.324,6.481140242903,103.0343892305231,142.9275756053723,33.333927980702796,70.85130270319662,64.69426100633886,77.22104597935942,8.585384509618777,15.546680971253984,582.5222261417856,741.250410151492,104.84984250161912,-1467.953602417606
2.328,6.109847603138846,102.60486616573344,149.76908984698053,30.162266300126714,73.61671503711885,64.30435934925043,118.05410204965833,9.41686300519903,16.662016053088582,576.1379894916583,714.1331273792729,136.45888643841053,-1448.5222907205325
2.332,5.838118113399536,101.97453958734347,156.3630657219138,27.19665010186993,76.3954490437061,63.77704378135586,148.3522475712681,10.303096393486335,17.77302730995017,569.237565026966,689.1171130577934,208.44020744678926,-1430.1957999283097
2.336,5.647711775213468,100.96623158930213,162.695025327494,24.48216895698995,79.09964077275161,63.15844290192549,165.561968594846,11.235927376273416,18.856806013225793,560.2245967544508,666.4333423514622,325.2511887737353,-1402.7040939605465
2.34,5.513721679160351,99.39209883763694,168.71601870559678,22.039713178500946,81.64134884119724,62.50060524091931,169.30493274582528,12.208034904170827,19.890578777069095,547.8569073618496,646.047713548073,487.1285953148943,-1350.884172579353
2.344,5.408361333998737,97.07266335213714,174.32052413648327,19.871258248155936,83.93646592653533,61.852364936981175,161.4633790589034,13.213753302092265,20.853718547505164,531.6372676272091,627.8002944770931,689.43746191167,-1256.0700448366003
2.348,5.305651247760759,93.85811636605882,179.33022308400447,17.966753857968115,85.910067486216,61.25071213288859,145.8702650295767,14.250053742575863,21.729326918655076,512.0108183183052,611.5105427648094,922.3591579577993,-1098.408694912795
2.352,5.186120022839943,89.65013314040266,183.48821182504872,16.310723280878367,87.50281947345916,60.714317126957965,127.6221625472765,15.317483823793811,22.505136146862178,490.2897795213095,597.009436548524,1171.0772843646973,-859.9505186409962
2.356,5.040545877173936,84.4217347180674,186.46732681618178,14.886905081652749,88.67779997951132,60.24053098762115,112.11824065110599,16.420801504780034,23.173630631270463,468.3111015846607,584.0838181408944,1416.5920856705286,-528.1908559347601
2.36,4.871943818787544,78.23229416849999,187.89450425078613,13.679797293991152,89.42685329878967,59.80654466530461,104.0080974238128,17.56902065680383,23.731485036530316,447.92255816915065,572.3537566323208,1637.205109025694,-99.55530970068706
2.364,4.695384462153287,71.2348256251832,187.39052176952302,12.672706989983638,89.7753887292889,59.37454220827107,106.27435289159169,18.7746413312274,24.178596368885128,430.45240679924655,561.139265334149,1810.5997362148123,417.8237482544132
2.368,4.535682223467648,63.673243562949224,184.62137564014824,11.842775492967535,89.78442833575855,58.89980977145696,119.66215685992725,20.05199163751598,24.517074194974825,416.3235573560467,549.3912483781078,1916.3419105608139,1002.7410738551365
2.372,4.423384869951844,55.86822065472864,179.3544355359975,11.15434294167617,89.54881205939405,58.3400733221963,142.59592714109564,21.414837264272666,24.750503512115724,404.9233522350692,535.749521889132,1938.5547379146665,1621.5711259925106
2.376,4.389752647970864,48.191500986621826,171.51004274441317,10.552774417297826,89.19087678923341,57.66403074202744,171.6077843253139,22.873645401234807,24.88363015072944,394.7552770238542,518.7480040674884,1868.4602969293437,2231.2827424019374
2.38,4.461514480307577,41.03006619080375,161.19811927064816,9.961224723953809,88.8496491967426,56.857238600930685,202.1690338734851,24.433032269661506,24.922416047266445,383.81241941380796,497.12967667040743,1706.4046683929603,2784.714566118345
2.384,4.656153723385928,34.743479770225264,148.73037672088324,9.282457861582389,88.66652284361425,55.92419027372731,229.70653315717828,26.089921521569853,24.874257624169285,370.05466265184486,470.18657587816585,1462.902794477754,3237.4191914287835
2.388,4.978343414744947,29.619900651877053,134.60236737727047,8.406611127968908,88.76929389335665,54.886395442715866,250.54164451714104,27.832800172106218,24.748103674909146,351.85831148037863,438.0237861184027,1158.2399362648503,3554.7646562170335
