TIME,TORSO_PELVIC_ANGLE_Z,LT_ELBOW_ANGLE_X,LT_SHOULDER_ANGLE_Z,LT_SHOULDER_ANGLE_X,LT_SHOULDER_ANGLE_Y,RT_KNEE_ANGLE_X,RT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,LT_ELBOW_ANGULAR_VELOCITY,LT_SHOULDER_ANGULAR_VELOCITY
2.572,28.665621398136768,108.18630279680428,78.74511583437253,49.12281059988838,85.37696837822314,43.57663156257067,-142.26978189449596,15.660903309890248,-7.066638176530415,610.4666652115831,782.8932992635638,47.30937667218449,-789.8874036244816
2.576,28.011842423474327,108.0072311152597,81.90501151308878,49.24735197432608,85.0652680287894,44.3222748149504,-146.15562864808567,14.359839355041995,-6.162365542951648,618.1622871649438,818.8516372887191,45.77411068811621,-796.1857358955453
2.58,27.256237638444272,107.82696400478035,85.12468025390969,49.14404126912102,84.76020370362465,45.085060293777715,-139.4492887905102,13.037399319726001,-5.154600344846848,622.1119173595837,846.8093014436357,47.784018359194945,-808.20276082721
2.584,26.420288990818694,107.62972147509679,88.43708212473838,48.76747107342496,84.50585026623156,45.807592785075926,-122.01049794253541,11.716101069129946,-4.0483116252781,623.4608467867229,867.9652136745938,52.911531023308285,-827.6172537820499
2.588,25.523853778683154,107.40575285769812,91.87693152446354,48.082886997816374,84.33158601820055,46.4337138247784,-94.5923622542823,10.430564270444487,-2.8529758618010796,623.0250520083663,883.7281834995213,58.90643198604006,-854.766053599558
2.592,24.583614216278054,107.15789244819861,95.47464763633727,47.067279831591115,84.25254049740025,46.91427307010929,-58.769463564588,9.224284684018999,-1.581892936096329,621.1379383400553,895.2429832621814,62.30703880680288,-888.7795458336973
2.596,23.61299103842533,106.90486847305974,99.25195523272554,45.70821789860146,84.27310373284888,47.21178652539481,-16.759796247270433,8.144758650566025,-0.2511689739899653,617.6473037283412,903.0693740287096,59.34511468949742,-928.0369918094002
2.6,22.623197675405763,106.68050353953134,103.22022266721338,44.001562314577505,84.39225751148003,47.30330136785585,28.839537486233162,7.237847779349982,1.1214092978804466,612.0444949561428,907.1039538811438,46.96383935842495,-970.824199595221
2.604,21.624773368683,106.52871247381036,107.38197955845125,41.94955289477956,84.60909326009396,47.1811123018117,75.36204840440676,6.542402486838486,2.517438285419402,603.6822975863298,906.757042403146,23.765877508578363,-1016.0235467763938
2.608,20.628869401091514,106.49492062812354,111.73530056095164,39.560530798408955,84.92689342860675,46.85134875894429,120.37613879134395,6.086110964490764,3.918787686945256,592.0263418956978,901.3196359197435,-9.264363116524361,-1063.643780353978
