TIME,TORSO_PELVIC_ANGLE_Z,RT_ELBOW_ANGLE_X,RT_SHOULDER_ANGLE_Z,RT_SHOULDER_ANGLE_X,RT_SHOULDER_ANGLE_Y,LT_KNEE_ANGLE_X,LT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,RT_ELBOW_ANGULAR_VELOCITY,RT_SHOULDER_ANGULAR_VELOCITY
8.0,27.40900461335552,110.25714274672899,46.00168814128358,59.5388773423126,62.34577277446695,44.87373360872632,-201.2846404199402,-17.160765115066088,6.3718098433203885,586.6630233716025,957.5593862229126,128.9779633228639,-1645.932995217551
8.004,25.842774665690115,109.61984817192322,52.59267261997416,59.76554064630749,62.48055050920492,45.75621776466491,-264.0189651882251,-18.216525684155823,8.448005474159668,592.3007476785115,974.721877443396,190.43253012669467,-1685.167582845684
8.008,24.247722583684038,108.74132848513024,59.53697948154854,59.42864108711585,62.87843496347808,46.842203911079864,-302.48049443925265,-19.173535028694538,10.558505725293037,591.4477030333661,977.773182337036,244.88272626667043,-1702.9017352857843
8.012,22.65323324001424,107.66497963968042,66.74619437618476,58.50500813443845,63.544153116496496,48.03641135414661,-315.54373073710343,-19.990064529217943,12.692819703462181,585.0942197043508,970.2288897078436,284.2698400206209,-1697.03560420216
8.016,21.0788584104481,106.46734773243855,74.11127415663626,57.00237145460633,64.4521557623,49.245297381958174,-305.2197220132866,-20.618281296964966,14.842661433213133,574.4480600071721,956.4772284816784,301.08198038466696,-1667.0596729192175
8.02,19.53323095307076,105.25275001468597,81.51133882354956,54.956354113704194,65.55047913784472,50.38697164598324,-276.1760745351552,-21.007995732556108,17.00190914475562,560.6411823259479,940.7767651780493,289.9186726919414,-1614.4073027709023
8.024,18.015615099138476,104.14187765442718,88.8253144296559,52.42363099105541,66.77042829537385,51.39856251656843,-234.91015975007565,-21.11133057027996,19.165610877012167,544.5738084276671,926.4016315857365,248.74048627068922,-1542.6385500744957
8.028,16.519754697179124,103.25625855159223,95.94484180751401,49.47269516344471,68.04013469512144,52.24047907516446,-188.7406680001937,-20.88758660420989,21.328231926544614,526.9265511955427,915.1028691073282,179.54729509202642,-1457.35220331675
8.032,15.039174704214101,102.70123844542682,102.7863445033977,46.174148203490674,69.29892552737444,52.897602361961766,-144.77488477526967,-20.307503099529807,23.48160644731934,508.2958309385325,906.9759388680231,88.3755297862598,-1365.7563882392774
8.036,13.572600620310201,102.55025958874316,109.3000129722884,42.592643419498735,70.50912740014105,53.37777209116743,-108.98290311939358,-19.35622182272514,25.613233737869415,489.3551394731807,900.74109040606,-15.335705005361246,-1275.9081309022029
8.04,12.127873013251738,102.8327338094991,115.47389514289831,38.78236483976946,71.6624888095372,53.708049419496014,-85.48577537618232,-18.03448847522948,27.705536835542986,470.93939385203,894.3506665911191,-119.83416846225985,-1195.7279773500975
8.044,10.72292243047557,103.52693379224594,121.33226529454052,34.787044849372485,72.77970968876932,53.92928433283216,-76.14334938743733,-16.35791700786531,29.73641373528058,453.99361642950646,885.7472356300464,-212.3616503459736,-1131.9583035453463
8.048,9.383159698195554,104.55834422151712,126.92865100346042,30.644139228699895,73.90327190239391,54.08961066573837,-80.4949608476998,-14.35448906136624,31.68094052791055,439.39881659351295,873.5455430757216,-280.4445648771847,-1089.2270695771406
8.052,8.135826013926268,105.80305879836796,132.33481935252746,26.391425470602734,75.08540422907406,54.237622478020796,-96.05136147825574,-12.060834150182107,33.5136444295094,427.7521249108907,857.436175653668,-312.9824604657677,-1069.307260658853
8.056,7.002954615653623,107.09519133205404,137.62726458037014,22.073639257610562,76.37416391307023,54.4160581178009,-118.86744796847987,-9.518149140820679,35.21057225890413,419.2040641841853,838.2118002005553,-301.01959558427444,-1070.5762915328337
8.06,5.995125035831753,108.2369466737514,142.87232842687038,17.747130284705555,77.80098333002394,54.656748667813446,-144.26839682168924,-6.768719784003967,36.75052954079261,413.4323405564376,817.4558977728182,-238.18020565496346,-1087.6446829058402
8.064,5.107931102081912,109.01010825066571,148.11051679551753,13.481574649098498,79.37244597441273,54.97736497101101,-167.58172947710767,-3.8537506986058885,38.11527782100417,409.77271904516346,797.0450831566383,-120.86991283764542,-1111.1678088033334
8.068,4.322206609134831,109.18831733666138,153.34045810808286,9.358820762087557,81.06764718355326,55.380182028713705,-184.7497001819021,-0.8125980116267185,39.28894763558212,407.46402709276873,778.6529653258752,51.563359545399074,-1127.9400777184358
8.072,3.607942620383147,108.5503313038212,158.50349282494327,5.469500175522808,82.84089829098677,55.852754301715144,-192.7448644342956,2.317180423314576,40.257229884675056,405.9247122218597,763.4034072753667,276.5368315007062,-1121.4273881292675
8.076,2.9308576766938463,106.89488442542128,163.47079544581058,1.9081341858689818,84.62851839228422,56.370129218449165,-189.76660340830105,5.49988371659149,41.00693017742695,404.97305849953835,751.7373809977537,547.7669039027398,-1072.881481935844
8.08,2.2599937629128113,104.05754865416877,168.03573982006648,-1.232660985830362,86.35821798778201,56.89806860643958,-175.24342433875682,8.702586557856769,41.52624696621405,404.92385109203,743.4725063279641,854.7373223450136,-963.1002633220962
8.084,1.5745921027315135,99.92925715976976,171.91454724135488,-3.8684842419266916,87.95968931819917,57.39672405127454,-149.69500742621543,11.897114615065684,41.80581298973619,406.526564538149,737.9776752030932,1182.3071041347564,-774.7665358660724
