TIME,TORSO_PELVIC_ANGLE_Z,RT_ELBOW_ANGLE_X,RT_SHOULDER_ANGLE_Z,RT_SHOULDER_ANGLE_X,RT_SHOULDER_ANGLE_Y,LT_KNEE_ANGLE_X,LT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,RT_ELBOW_ANGULAR_VELOCITY,RT_SHOULDER_ANGULAR_VELOCITY
3.644,25.794850811516383,80.95757646404039,64.42055905494627,44.57867537360339,82.44770485470873,38.14811843714608,-337.6218151502821,8.842753214384924,-13.027295819785206,530.3425741372196,390.2335747431881,-695.423105217463,-647.4638883602486
3.648,26.218946884933125,83.78278303373138,66.91849819852541,45.45788125266407,80.9673134487991,39.472356628876696,-319.4951542843664,8.269662934127853,-12.794958901509977,523.6346410425024,404.6022995370381,-712.7866547200299,-655.0367749781298
3.652,26.534845502116703,86.6571942284041,69.44158286566466,46.29518759571738,79.43042568336716,40.701828672924634,-292.20213583612656,7.632691071183577,-12.489219089996032,511.5583732993981,423.7153424219267,-719.0343495185837,-667.3422467540273
3.656,26.706550765504733,89.53099210118808,71.99808659609677,47.11054169785358,77.88559778545373,41.804004360689675,-259.0320811342621,6.921592723973043,-12.106576615739357,495.83290568773197,449.23986433909835,-712.0385032242125,-682.8151607641985
3.66,26.699687672723446,92.34835690747974,74.59038180584521,47.93053136261997,76.38584695907127,42.761906366341194,-223.9695927055335,6.130789243919846,-11.643427590249777,478.50025639734605,482.1194873812781,-691.1214837573415,-700.5170202672562
3.664,26.48574888562034,95.05397177922697,77.21854570879091,48.78456631595364,74.98342833033516,43.576083685954835,-191.23773035033855,5.26076693717644,-11.09631670123785,461.6843065858122,522.1039930475416,-657.2905317981933,-719.9143939301014
3.668,26.04710198852685,97.59999645003418,79.88291373355449,49.69931255699224,73.72462022878481,44.26442459509754,-164.77609660643145,4.318917808899006,-10.462385284032026,447.3238839728354,567.4627881472786,-613.2071127926513,-740.4668950000173
3.672,25.381751292542237,99.95234966319438,82.58488200300259,50.692326932382194,72.6449273766076,44.85972581809898,-147.73214036035586,3.319709381637244,-9.739901828378837,436.921174518385,615.0000259398826,-562.8684844988012,-761.1988038272352
3.676,24.5066240299648,102.09515297470566,85.32593116447698,51.76618889973075,71.7652967013764,45.40528553709756,-142.04352978482282,2.284106189641993,-8.928782951910941,431.3542347188141,660.4250627232145,-511.0384155919741,-780.43285000664
3.68,23.458270344122983,104.03246686033123,88.10550009979669,52.90444417590153,71.09003909504607,45.949105343441786,-148.17523269836914,1.2382149597666205,-8.031051377175174,430.79462122629707,699.0396195616877,-462.524818590976,-795.8073050053861
3.684,22.29033552905184,105.78695008365695,90.91873152556644,54.07034955195072,70.60703071379197,46.537509317368254,-165.0513834145689,0.2111964878723297,-7.051191814653483,434.74678173707775,726.6081670208199,-421.43982593882134,-804.5909115617969
3.688,21.06786538018755,107.39565656017486,93.75507997025868,55.20884942406197,70.29039334237662,47.209074362546524,-190.19383005501854,-0.767406760693298,-5.996332422094582,442.1927699026254,740.2131497988962,-390.5781987067886,-804.1968219891721
3.692,19.859237742657907,108.90369202463762,96.59834970696379,56.251593394181384,70.10530091187928,47.98970500961099,-220.05033364383127,-1.6706287601745773,-4.876123601112137,451.7989630909113,738.8879607620743,-371.0180408436356,-792.7259502153479
3.696,18.72706828588325,110.35678456647346,99.42811968532203,57.12428980572736,70.01400756162944,48.88950081271255,-250.46842712945585,-2.4768740900560964,-3.7021680515951023,462.1341112207299,723.8750357216226,-361.9993848093366,-769.3690006180468
3.7,17.719678840191822,111.7939437684985,102.22198329425349,57.755374494447004,69.98186341569794,49.90179064253701,-277.2476861750157,-3.172033451490157,-2.4869235292137417,471.86127181865163,698.4556641466655,-361.08501334006587,-734.5583854892179
3.704,16.86460647817726,113.24130261192586,104.95780174823051,58.08482624001681,69.98212289209553,51.00437966250545,-296.6862610675622,-3.7504905967128894,-1.2421500879849683,479.88764809788,667.4041943948744,-364.56450856614975,-689.8532161494242
3.708,16.165237234645648,114.70800775558291,107.61531169341276,58.071885591799976,69.9987263000968,52.162711876105014,-306.0330078671175,-4.2148134316196435,0.022840712211263502,485.47144326539427,636.1945519960108,-368.03522847273246,-637.6219193468673
3.712,15.601100105779604,116.18472396495089,110.17683374196854,57.70040229089704,70.02677082058752,53.334355004899535,-303.7724497137676,-4.574208155561839,1.3027221230785238,488.28760174613046,610.1157006252917,-367.0817567876542,-580.6310212321498
3.716,15.131774844533336,117.64499168066595,112.62728706684828,56.98064429353218,70.07088995751022,54.47404167532548,-289.70815487343896,-4.8420728616143505,2.597002334001376,488.448270593097,593.4454199500516,-357.96789108744355,-521.6518221577867
3.72,14.703811928345937,119.04931500459561,114.95402805587933,55.94679259144196,70.14212433121217,55.5385068452269,-264.8597405049999,-5.033142156036159,3.90980285765493,486.466997997419,588.8080936035889,-338.2450556973918,-463.1709854689072
3.724,14.259567483268494,120.35144631176072,117.14709280027809,54.65007287113117,70.25407839700026,56.49053694339868,-231.2288062195352,-5.160737029584497,5.248418979011294,483.1562389008081,596.8108677775723,-307.1728500290537,-407.24973887647093
3.728,13.746493523658348,121.50590309473542,119.2002281906554,53.14841928161886,70.41925919143678,57.301910663592686,-191.5024827894189,-5.234551034327639,6.62084857838945,479.4603506106549,616.0106558658696,-265.8545421565197,-355.5297755463662
