TIME,TORSO_PELVIC_ANGLE_Z,LT_ELBOW_ANGLE_X,LT_SHOULDER_ANGLE_Z,LT_SHOULDER_ANGLE_X,LT_SHOULDER_ANGLE_Y,RT_KNEE_ANGLE_X,RT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,LT_ELBOW_ANGULAR_VELOCITY,LT_SHOULDER_ANGULAR_VELOCITY
3.52,25.123125251923593,95.43650321100426,30.900831878517018,98.0394417794052,72.33456332545454,56.27505334083469,27.523383764194108,7.52018796544073,7.92355072911276,758.8972942973215,1047.594292201778,508.06317660229655,-1994.6539506946624
3.524,23.979795103921433,93.44765946125895,39.44726709029645,96.46486866094156,70.48417524282218,56.3410513598726,-32.12830409032635,7.159374837695042,9.088989230215084,715.258125131622,988.8503525350299,482.47074832936124,-1999.2409684789473
3.528,22.936237380404727,91.6074469011794,48.287877661908105,94.2019697692439,68.81375650078178,56.590274508801016,-80.63465979185787,6.891896997947477,10.262692479654804,661.5505914262095,914.429138782239,433.89865527713306,-1998.39454564286
3.532,22.006920697057833,90.00000209980587,57.41840750050948,91.24166517430552,67.42847736595883,56.97849505812686,-115.34495636893158,6.72190198946722,11.416495683186357,601.822457889604,832.9951903568613,365.74503942301027,-1993.3177577645133
3.536,21.18584241665531,88.69564998675736,66.81494097130498,87.61019380418203,66.42636875126652,57.45417829881841,-135.1723799185107,6.655597260172767,12.521739773818606,540.767294651391,754.2343939112911,281.649069159572,-1985.2153136607978
3.54,20.447345987306925,87.75052553415573,76.4315494745902,83.3759985556124,65.8890897718245,57.964641316077675,-140.46456890652118,6.701282045772997,13.552522494146091,483.1475990490573,687.3396537383829,185.44439733871044,-1975.4911728834943
3.544,19.750720239639158,87.20557014478753,86.20262950153524,78.65014454324762,65.87327332654408,58.461087225227594,-132.66561066860493,6.868989210332921,14.488977015102082,433.2134127658357,639.5855409835727,81.44834630610461,-1965.896143411806
3.548,19.047721191846307,87.08372490134941,96.04967627348611,73.57928861938524,66.40388053290197,58.9019278295338,-113.88502302146667,7.169643928587251,15.319838422465153,394.21735417402687,615.2573382774381,-25.059092406316715,-1958.4962495321665
3.552,18.291576507228193,87.3849704608082,105.89091764305998,68.33199809234263,67.47063119682751,59.254271063929984,-86.4802514300926,7.613741273131535,16.043626697789897,368.10281186416364,615.1303157326874,-127.3916059682507,-1955.3774573668684
3.556,17.445690136865732,88.0798281714983,115.65125192740935,63.08090917567015,69.02795426987959,59.493828180144575,-52.726026759671186,8.209679632671804,16.668023098500147,355.40454989175026,636.5896229478452,-217.25824883747097,-1958.0707989008035
3.56,16.49027371907322,89.10265221051291,125.26955787708971,57.9843267074374,70.99830288367501,59.60373088585893,-14.607654048332014,8.961991452476095,17.207395206456813,355.36584632904714,674.3494834001762,-284.9341746754094,-1966.7539486670446
3.564,15.425606823834489,90.34632920417886,134.7007911772075,53.17102449468801,73.2782719107276,59.572835422471066,26.258228314530314,9.869752765040351,17.6788554054142,366.24610385643064,721.5966137853021,-319.8285804168289,-1979.3473889548711
3.568,14.271503789867134,91.65996356611441,143.91128749014402,48.73112050873743,75.7467302313928,59.3940283527075,68.60381256590549,10.92544339142748,18.097616853232996,385.75715071846844,771.2857616048631,-311.4218851004923,-1990.6688726669745
3.572,13.063532436152041,92.85097297847015,152.86714439053844,44.71423097535757,78.27406437878825,59.062857734859826,111.44200377852863,12.11449422641326,18.47263200164041,411.52638318368776,817.2911764047553,-250.52235035309238,-1991.838113245966
