TIME,TORSO_PELVIC_ANGLE_Z,RT_ELBOW_ANGLE_X,RT_SHOULDER_ANGLE_Z,RT_SHOULDER_ANGLE_X,RT_SHOULDER_ANGLE_Y,LT_KNEE_ANGLE_X,LT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,RT_ELBOW_ANGULAR_VELOCITY,RT_SHOULDER_ANGULAR_VELOCITY
7.368,27.30010700494094,107.1714847961312,77.5873641679786,51.658823464331306,76.27411105017158,44.48335936723031,-348.0701716688438,0.3786164329756354,-7.706827284143252,469.4228010963469,663.459562046034,-409.65818330501804,-738.1123437505045
7.372,26.423940912653897,108.74525085280949,80.53150579481947,52.01198723901096,75.91691263621057,45.82404269934448,-326.2892735231517,-0.5820212279893124,-6.8637433311865,465.9395635711609,686.5072086898706,-375.135317676374,-775.6776722690114
7.376,25.45037562402992,110.18113315157724,83.63322904968192,52.31513223977369,75.67019331155306,47.05462133214782,-299.859467366998,-1.4780409637941738,-5.930804561415318,468.01439270471326,709.4048270948073,-341.7040201858781,-811.5050240345838
7.38,24.40687053234425,111.48877062594825,86.87860038140145,52.5783680319607,75.53621732346458,48.160787280315375,-270.36861255073904,-2.300733926574056,-4.919925691048409,475.60576305542054,730.9086840848702,-312.1723113660246,-842.0552426845901
7.384,23.325151320472088,112.68888009076237,90.24169224788251,52.79781652046882,75.51278885304464,49.13644043440078,-239.46403182094215,-3.0458514946387356,-3.845837048930636,487.83526762143964,749.4462154343602,-288.9724783452513,-863.9242292384346
7.388,22.23837751972739,113.81055579970041,93.68602983198049,52.95591954668548,75.59291824513369,49.983348353670266,-208.66690864974973,-3.7123957230187496,-2.7246432070038535,503.21849209667806,763.630442161779,-273.5781050172197,-874.3764627392486
7.392,21.17728567818793,114.88639826718064,97.16765225077589,53.02468086727793,75.76487724130887,50.70982145414592,-179.21059995111864,-4.301053037441571,-1.5718148724577623,519.9706501373088,772.7524112762268,-266.09654089523616,-871.8071118063873
7.396,20.16588666201931,115.94650592253032,100.63940266662829,52.97099966270482,76.01240421519245,51.328587182191775,-151.92130615679596,-4.8125094476141825,-0.39989993391479545,536.3004938768145,777.0773737645643,-265.16587514378995,-856.0098706212796
7.4,19.217623018538546,117.0127205013784,104.05574502187393,52.7627368253086,76.31487149214526,51.85417942325825,-127.15633503118659,-5.2459072259018775,0.7835707594295795,550.6324339731236,777.8281011327247,-268.187791973163,-828.1835629428763
7.404,18.333029188023318,118.09443542215752,107.37731469154404,52.37393700074206,76.6474321697203,52.300249417333276,-104.8110783658805,-5.5977190322847,1.9774321689311096,561.7342066420164,776.8406057534276,-271.82819997226284,-790.6849090051334
7.408,17.499758246736363,119.18683499358166,110.5745249047522,51.7878407241536,76.98141567882818,52.6772292467844,-84.39976582743508,-5.861294537974805,3.1870274513093126,568.7593454683355,775.9906158570163,-272.6516727773463,-746.5984072456373
7.412,16.695320756663897,120.2718117541154,113.62978262109054,50.996944369338316,77.28542239983473,52.99073409117275,-65.20446807857881,-6.027235207651693,4.422927222428112,571.2320680575483,776.5740181393306,-267.7361535558574,-699.2286886004277
7.416,15.89215058647712,121.32119554455004,116.5381257042191,50.00020961706675,77.5275974713555,53.240978715842196,-46.47042318965736,-6.084570033059497,5.698341407196684,569.0059135006891,778.848546972878,-255.13623197105204,-651.6219130262197
7.42,15.063909250440995,122.30146784261314,119.3063111658226,48.7983490455238,77.67937752441372,53.42331307645418,-27.608095109950252,-6.022491399646906,7.02566969218809,562.2196955137896,781.8961270242119,-234.1130743644402,-606.2003693683974
7.424,14.191516595543044,123.17890990841192,121.950547520685,47.388730224396625,77.7205668157707,53.529769661135866,-8.35250417662369,-5.832243526181198,8.41288001837874,551.2616054146366,783.862609681663,-205.10807909261067,-564.566099660837
7.428,13.267410722698543,123.9241431812201,124.49322517992967,45.761691661301185,77.6449891430844,53.55130145133601,11.164379656292041,-5.508689265795581,9.860495805552683,536.7420924559476,782.5115404701917,-169.48791119276427,-527.5079574030013
7.432,12.297003553086595,124.51520621463061,126.95922321089114,43.89982162775434,77.46540158008216,53.480230547359916,30.45111494488764,-5.0511254939843795,11.359874289631838,519.4724124004911,775.9307830972626,-129.1217052706076,-495.2281689638416
7.436,11.297077058142383,124.93860061232618,129.37263532955166,41.78099647840912,77.21613078528219,53.312375413264064,48.79595968711522,-4.463062341005136,12.893174661081751,500.4468084787247,763.1834182113112,-85.86753946920045,-467.77118758750595
7.44,10.2917254052892,125.18807259800565,131.7549026734551,39.384872665831026,76.95220698776836,53.04840160888697,65.47002321952735,-3.750917641386258,14.43500687148115,480.8270626844062,744.7090282656981,-41.05135275871542,-445.57624528299084
7.444,9.30712136201594,125.26125189691213,134.1251533338296,36.701381682640005,76.7446128305919,52.69412437125581,79.94084351318931,-2.9218813237051684,15.955335190765796,461.9244617032625,722.3523524251762,4.976356324059439,-429.9975843299783
